interleave_depth,fixed_interval,seed,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,new_due_count,repeated_due_detections,memory_busy_cycles,busy_per_mille,busy_percent
3,1089,1,fixed,50000,45,11520,60,60,0,0,0,0,11580,231,23.1
3,1089,2,fixed,50000,45,11520,60,60,0,0,0,0,11580,231,23.1
3,1089,3,fixed,50000,45,11520,60,60,0,0,0,0,11580,231,23.1
3,1089,4,fixed,50000,45,11520,60,60,0,0,0,0,11580,231,23.1
3,1089,5,fixed,50000,45,11520,57,57,0,0,0,0,11577,231,23.1
3,1089,6,fixed,50000,45,11520,60,60,0,0,0,0,11580,231,23.1
3,1089,7,fixed,50000,45,11520,60,60,0,0,0,0,11580,231,23.1
3,1089,8,fixed,50000,45,11520,60,60,0,0,0,0,11580,231,23.1
3,1089,9,fixed,50000,45,11520,60,60,0,0,0,0,11580,231,23.1
3,1089,10,fixed,50000,45,11520,60,60,0,0,0,0,11580,231,23.1
3,2400,1,fixed,50000,20,5120,57,57,0,0,0,0,5177,103,10.3
3,2400,2,fixed,50000,20,5120,57,57,0,0,0,0,5177,103,10.3
3,2400,3,fixed,50000,20,5120,57,57,0,0,0,0,5177,103,10.3
3,2400,4,fixed,50000,20,5120,54,54,0,0,0,0,5174,103,10.3
3,2400,5,fixed,50000,20,5120,57,57,0,0,0,0,5177,103,10.3
3,2400,6,fixed,50000,20,5120,56,56,10,2,2,8,5176,103,10.3
3,2400,7,fixed,50000,20,5120,60,60,0,0,0,0,5180,103,10.3
3,2400,8,fixed,50000,20,5120,50,50,30,2,2,28,5170,103,10.3
3,2400,9,fixed,50000,20,5120,60,60,0,0,0,0,5180,103,10.3
3,2400,10,fixed,50000,20,5120,54,54,0,0,0,0,5174,103,10.3
