event_id,event_type,time_cycle,address,fault_mask,pair_id,pair_role,cluster_id,cluster_role,cluster_interleave_depth,cluster_injection_skew,preferred_cycle,actual_cycle,cycle_shift
12,cluster,350,110,0008000000,,,4,group_0_of_3,3,0,350,350,0
13,cluster,350,111,0000000002,,,4,group_1_of_3,3,0,350,350,0
14,cluster,350,112,0200000000,,,4,group_2_of_3,3,0,350,350,0
39,cluster,1505,87,0000000400,,,13,group_0_of_3,3,0,1505,1505,0
40,cluster,1505,88,0100000000,,,13,group_1_of_3,3,0,1505,1505,0
41,cluster,1505,89,0000004000,,,13,group_2_of_3,3,0,1505,1505,0
0,cluster,4408,130,0000000080,,,0,group_0_of_3,3,0,4408,4408,0
1,cluster,4408,131,0080000000,,,0,group_1_of_3,3,0,4408,4408,0
2,cluster,4408,132,0010000000,,,0,group_2_of_3,3,0,4408,4408,0
15,cluster,6830,253,0800000000,,,5,group_0_of_3,3,0,6830,6830,0
16,cluster,6830,254,0000004000,,,5,group_1_of_3,3,0,6830,6830,0
17,cluster,6830,255,0000400000,,,5,group_2_of_3,3,0,6830,6830,0
18,cluster,7062,235,0000040000,,,6,group_0_of_3,3,0,7062,7062,0
19,cluster,7062,236,0000000002,,,6,group_1_of_3,3,0,7062,7062,0
20,cluster,7062,237,0004000000,,,6,group_2_of_3,3,0,7062,7062,0
30,cluster,7372,212,0000000800,,,10,group_0_of_3,3,0,7372,7372,0
31,cluster,7372,213,0000800000,,,10,group_1_of_3,3,0,7372,7372,0
32,cluster,7372,214,0800000000,,,10,group_2_of_3,3,0,7372,7372,0
9,cluster,7986,52,0000100000,,,3,group_0_of_3,3,0,7986,7986,0
10,cluster,7986,53,0000000002,,,3,group_1_of_3,3,0,7986,7986,0
11,cluster,7986,54,0400000000,,,3,group_2_of_3,3,0,7986,7986,0
57,cluster,10514,234,4000000000,,,19,group_0_of_3,3,0,10514,10514,0
58,cluster,10514,235,0000000002,,,19,group_1_of_3,3,0,10514,10514,0
59,cluster,10514,236,0000004000,,,19,group_2_of_3,3,0,10514,10514,0
3,cluster,15380,107,0000000040,,,1,group_0_of_3,3,0,15380,15380,0
4,cluster,15380,108,0080000000,,,1,group_1_of_3,3,0,15380,15380,0
5,cluster,15380,109,0000000002,,,1,group_2_of_3,3,0,15380,15380,0
54,cluster,20788,211,0080000000,,,18,group_0_of_3,3,0,20788,20788,0
55,cluster,20788,212,0000400000,,,18,group_1_of_3,3,0,20788,20788,0
56,cluster,20788,213,0004000000,,,18,group_2_of_3,3,0,20788,20788,0
51,cluster,35591,218,0000000008,,,17,group_0_of_3,3,0,35591,35591,0
52,cluster,35591,219,0040000000,,,17,group_1_of_3,3,0,35591,35591,0
53,cluster,35591,220,0000800000,,,17,group_2_of_3,3,0,35591,35591,0
36,cluster,35631,189,0080000000,,,12,group_0_of_3,3,0,35631,35631,0
37,cluster,35631,190,0000000002,,,12,group_1_of_3,3,0,35631,35631,0
38,cluster,35631,191,0040000000,,,12,group_2_of_3,3,0,35631,35631,0
21,cluster,38988,95,0000040000,,,7,group_0_of_3,3,0,38988,38988,0
22,cluster,38988,96,0000000080,,,7,group_1_of_3,3,0,38988,38988,0
23,cluster,38988,97,0000200000,,,7,group_2_of_3,3,0,38988,38988,0
33,cluster,44148,44,0010000000,,,11,group_0_of_3,3,0,44148,44148,0
34,cluster,44148,45,0100000000,,,11,group_1_of_3,3,0,44148,44148,0
35,cluster,44148,46,0000000040,,,11,group_2_of_3,3,0,44148,44148,0
6,cluster,45172,221,4000000000,,,2,group_0_of_3,3,0,45172,45172,0
7,cluster,45172,222,0000000001,,,2,group_1_of_3,3,0,45172,45172,0
8,cluster,45172,223,0010000000,,,2,group_2_of_3,3,0,45172,45172,0
24,cluster,45387,97,0000080000,,,8,group_0_of_3,3,0,45387,45387,0
25,cluster,45387,98,0000040000,,,8,group_1_of_3,3,0,45387,45387,0
26,cluster,45387,99,2000000000,,,8,group_2_of_3,3,0,45387,45387,0
45,cluster,48631,235,0000020000,,,15,group_0_of_3,3,0,48631,48631,0
46,cluster,48631,236,0800000000,,,15,group_1_of_3,3,0,48631,48631,0
47,cluster,48631,237,4000000000,,,15,group_2_of_3,3,0,48631,48631,0
48,cluster,48633,196,0100000000,,,16,group_0_of_3,3,0,48633,48633,0
49,cluster,48633,197,0000000100,,,16,group_1_of_3,3,0,48633,48633,0
50,cluster,48633,198,0200000000,,,16,group_2_of_3,3,0,48633,48633,0
27,cluster,48640,201,2000000000,,,9,group_0_of_3,3,0,48640,48640,0
28,cluster,48640,202,0000000004,,,9,group_1_of_3,3,0,48640,48640,0
29,cluster,48640,203,0040000000,,,9,group_2_of_3,3,0,48640,48640,0
42,cluster,48649,118,0002000000,,,14,group_0_of_3,3,0,48649,48649,0
43,cluster,48649,119,0100000000,,,14,group_1_of_3,3,0,48649,48649,0
44,cluster,48649,120,0000400000,,,14,group_2_of_3,3,0,48649,48649,0
