strategy,fixed_interval,run_count,scrub_cycles_mean,scrub_cycles_std,busy_percent_mean,busy_percent_std,unique_uncorrectable_mean,unique_uncorrectable_std,corrected_mean,corrected_std,uncorrectable_detections_mean,uncorrectable_detections_std
fixed,5,30,749.133333,0.339935,24.986667,0.033993,3.700000,1.530795,519.533333,13.487607,815.833333,312.957194
fixed,10,30,749.066667,0.249444,24.990000,0.030000,3.900000,1.619671,518.266667,14.233607,842.633333,302.621930
fixed,15,30,749.066667,0.249444,24.990000,0.030000,4.000000,1.632993,520.700000,14.780956,779.900000,308.905093
fixed,20,30,749.000000,0.000000,24.993333,0.024944,3.800000,1.641138,523.233333,9.824063,757.266667,244.879281
fixed,25,30,748.966667,0.179505,24.986667,0.033993,3.800000,1.492202,521.300000,12.030932,809.300000,296.182506
fixed,30,30,748.933333,0.249444,24.986667,0.033993,3.700000,1.417745,519.800000,13.011277,830.533333,334.869600
fixed,40,30,748.666667,0.471405,24.976667,0.042295,3.600000,1.496663,520.366667,12.750120,824.533333,328.254549
fixed,60,30,748.133333,0.339935,24.966667,0.047140,3.666667,1.556349,522.500000,14.110871,788.966667,337.146109
fixed,80,30,632.000000,0.000000,21.186667,0.033993,4.200000,1.423610,507.533333,14.172117,852.766667,254.974990
fixed,100,30,504.000000,0.000000,17.066667,0.047140,4.033333,1.538036,491.633333,17.369482,808.533333,263.204323
fixed,150,30,335.000000,0.000000,11.563333,0.048189,5.133333,1.586050,445.666667,16.172679,817.833333,219.788396
fixed,200,30,250.000000,0.000000,8.800000,0.036515,5.500000,2.320201,402.366667,18.580426,814.366667,134.802938
table,,30,581.833333,0.859586,19.606667,0.044222,4.100000,1.700000,512.766667,15.493404,720.566667,247.071472
threshold,,30,749.066667,0.249444,24.990000,0.030000,3.900000,1.619671,518.266667,14.233607,842.633333,302.621930
