seed,fixed_interval,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,memory_busy_cycles,busy_percent
1,20,fixed,50000,582,9312,518,518,492,2,0,9830,19.600000
1,,table,50000,355,5680,472,472,799,5,1295,6152,12.300000
1,,threshold,50000,448,7179,482,482,949,4,776,7661,15.300000
1,30,fixed,50000,521,8336,496,496,601,4,0,8832,17.600000
1,40,fixed,50000,471,7536,506,506,459,4,0,8042,16.000000
1,60,fixed,50000,396,6336,476,476,828,4,0,6812,13.600000
1,80,fixed,50000,341,5458,467,467,749,4,0,5925,11.800000
1,100,fixed,50000,300,4800,448,448,710,4,0,5248,10.400000
1,150,fixed,50000,230,3680,437,437,570,3,0,4117,8.200000
1,200,fixed,50000,187,2992,395,395,571,4,0,3387,6.700000
2,20,fixed,50000,582,9312,521,521,423,5,0,9833,19.600000
2,,table,50000,355,5680,454,454,728,5,1295,6134,12.200000
2,,threshold,50000,448,7168,500,500,458,4,776,7668,15.300000
2,30,fixed,50000,521,8336,478,478,906,5,0,8814,17.600000
2,40,fixed,50000,471,7541,486,486,599,4,0,8027,16.000000
2,60,fixed,50000,396,6336,454,454,860,3,0,6790,13.500000
2,80,fixed,50000,341,5458,470,470,468,5,0,5928,11.800000
2,100,fixed,50000,300,4800,429,429,589,6,0,5229,10.400000
2,150,fixed,50000,230,3682,393,393,727,7,0,4075,8.100000
2,200,fixed,50000,187,2992,367,367,726,7,0,3359,6.700000
3,20,fixed,50000,582,9312,520,520,572,3,0,9832,19.600000
3,,table,50000,355,5680,481,481,799,4,1295,6161,12.300000
3,,threshold,50000,447,7163,487,487,909,2,776,7650,15.300000
3,30,fixed,50000,521,8336,488,488,1134,3,0,8824,17.600000
3,40,fixed,50000,471,7541,485,485,905,5,0,8026,16.000000
3,60,fixed,50000,396,6336,474,474,906,4,0,6810,13.600000
3,80,fixed,50000,341,5464,445,445,1019,5,0,5909,11.800000
3,100,fixed,50000,300,4800,438,438,889,4,0,5238,10.400000
3,150,fixed,50000,230,3681,398,398,780,4,0,4079,8.100000
3,200,fixed,50000,187,2992,383,383,767,5,0,3375,6.700000
4,20,fixed,50000,582,9312,520,520,618,3,0,9832,19.600000
