strategy,fixed_interval,run_count,scrub_cycles_mean,scrub_cycles_std,busy_percent_mean,busy_percent_std,unique_uncorrectable_mean,unique_uncorrectable_std,corrected_mean,corrected_std,uncorrectable_detections_mean,uncorrectable_detections_std
fixed,20,30,582.133333,0.339935,19.520000,0.040000,6.700000,2.437895,464.700000,17.474076,1057.766667,261.844061
fixed,30,30,521.000000,0.000000,17.533333,0.047140,6.800000,2.413849,455.100000,12.119818,1023.433333,210.469583
fixed,40,30,471.333333,0.471405,15.936667,0.048189,7.133333,2.513077,446.933333,15.119377,992.833333,213.944554
fixed,60,30,396.000000,0.000000,13.493333,0.035901,6.400000,2.303620,429.233333,17.534125,1004.700000,239.879713
fixed,80,30,341.333333,0.471405,11.713333,0.042687,6.766667,2.319243,415.800000,17.305876,938.900000,194.418166
fixed,100,30,300.000000,0.000000,10.350000,0.050000,7.300000,2.325941,397.833333,17.563377,912.166667,168.346089
fixed,150,30,230.033333,0.179505,8.053333,0.049889,7.500000,2.247221,364.700000,21.826818,845.133333,162.237836
fixed,200,30,187.000000,0.000000,6.606667,0.044222,7.900000,2.270830,333.300000,18.827551,812.600000,116.574325
table,,30,300.166667,0.372678,10.383333,0.045338,6.666667,2.195956,398.833333,20.010136,928.233333,217.889220
threshold,,30,300.033333,0.179505,10.380000,0.040000,6.700000,1.917464,401.400000,17.993703,910.100000,167.454342
