address,first_cycle,second_cycle,gap,first_level,second_level,max_level,first_interval,second_interval
14,54,286,232,1,1,1,60,60
14,5136,5266,130,2,2,2,30,30
14,5670,5918,248,1,2,2,60,30
14,5918,6003,85,2,2,2,30,30
14,9077,9156,79,1,1,1,60,60
14,10431,10585,154,1,1,1,60,60
14,14291,14409,118,1,2,2,60,30
14,44524,44684,160,0,0,0,120,120
14,44684,44926,242,0,0,0,120,120
13,3596,3776,180,1,2,2,60,30
13,3776,3984,208,2,2,2,30,30
13,8254,8554,300,4,1,4,5,60
13,19272,19340,68,1,1,1,60,60
13,23166,23448,282,0,0,0,120,120
13,25205,25466,261,0,1,1,120,60
13,25466,25632,166,1,1,1,60,60
13,25632,25841,209,1,0,1,60,120
13,37735,37825,90,4,0,4,5,120
13,48648,48916,268,5,0,5,2,120
15,336,552,216,1,2,2,60,30
15,2426,2675,249,1,1,1,60,60
15,6830,6986,156,2,2,2,30,30
15,6986,7254,268,2,2,2,30,30
15,9375,9589,214,1,1,1,60,60
15,10691,10844,153,1,1,1,60,60
15,13333,13558,225,1,1,1,60,60
15,17229,17309,80,1,1,1,60,60
15,41311,41602,291,0,0,0,120,120
6,5798,5975,177,1,2,2,60,30
6,10129,10220,91,1,1,1,60,60
6,10220,10363,143,1,1,1,60,60
6,10376,10590,214,1,1,1,60,60
6,11952,12245,293,1,1,1,60,60
6,17004,17213,209,1,1,1,60,60
6,30558,30692,134,0,0,0,120,120
6,31632,31754,122,0,0,0,120,120
6,40775,40968,193,0,0,0,120,120
8,1838,1997,159,2,1,2,30,60
8,2858,3152,294,2,2,2,30,30
8,4213,4408,195,1,2,2,60,30
8,4840,4989,149,2,2,2,30,30
8,7313,7478,165,2,2,2,30,30
8,9804,9895,91,1,1,1,60,60
8,9895,10096,201,1,1,1,60,60
8,19320,19596,276,1,1,1,60,60
8,31381,31596,215,0,0,0,120,120
8,31596,31678,82,0,0,0,120,120
8,48168,48273,105,0,0,0,120,120
10,1881,1957,76,1,1,1,60,60
10,2458,2735,277,1,2,2,60,30
10,4445,4594,149,2,1,2,30,60
10,4623,4915,292,2,2,2,30,30
10,4915,5091,176,2,2,2,30,30
10,7423,7613,190,2,2,2,30,30
10,7652,7721,69,2,2,2,30,30
10,7721,7858,137,2,2,2,30,30
10,7875,8015,140,2,2,2,30,30
10,9424,9612,188,1,1,1,60,60
10,10356,10557,201,1,1,1,60,60
10,22321,22524,203,0,0,0,120,120
10,23995,24263,268,1,1,1,60,60
10,24263,24431,168,1,1,1,60,60
10,24431,24659,228,1,1,1,60,60
1,2354,2640,286,2,1,2,30,60
1,3170,3286,116,2,2,2,30,30
1,5197,5283,86,2,2,2,30,30
1,6260,6477,217,2,2,2,30,30
1,6477,6560,83,2,2,2,30,30
1,7694,7820,126,2,2,2,30,30
1,12643,12842,199,1,2,2,60,30
1,15772,16009,237,1,1,1,60,60
1,16045,16110,65,1,1,1,60,60
1,23691,23977,286,0,1,1,120,60
1,29248,29325,77,0,0,0,120,120
1,41510,41621,111,0,0,0,120,120
1,43655,43761,106,0,0,0,120,120
12,1064,1167,103,1,1,1,60,60
12,5230,5417,187,2,2,2,30,30
12,5457,5680,223,2,1,2,30,60
12,11240,11464,224,1,1,1,60,60
12,11887,12053,166,1,1,1,60,60
12,14875,15033,158,1,1,1,60,60
12,15033,15227,194,1,1,1,60,60
12,17199,17343,144,1,1,1,60,60
12,25479,25729,250,1,2,2,60,30
12,26123,26270,147,0,0,0,120,120
12,26270,26555,285,0,0,0,120,120
12,32095,32263,168,0,3,3,120,10
12,33552,33665,113,0,1,1,120,60
12,33665,33858,193,1,1,1,60,60
12,38212,38444,232,3,0,3,10,120
12,43339,43594,255,0,0,0,120,120
2,7226,7442,216,2,2,2,30,30
2,7865,8035,170,2,2,2,30,30
2,25506,25583,77,0,0,0,120,120
2,25583,25819,236,0,0,0,120,120
2,37209,37284,75,0,0,0,120,120
2,38909,39062,153,4,0,4,5,120
5,4491,4650,159,2,2,2,30,30
5,5862,6116,254,2,2,2,30,30
5,8877,9158,281,1,1,1,60,60
5,9158,9317,159,1,1,1,60,60
5,10341,10530,189,1,3,3,60,10
5,12015,12161,146,1,1,1,60,60
5,12161,12269,108,1,1,1,60,60
5,12269,12346,77,1,1,1,60,60
5,12771,12914,143,1,1,1,60,60
5,14182,14264,82,1,1,1,60,60
5,14309,14458,149,1,2,2,60,30
5,14458,14753,295,2,1,2,30,60
5,14753,14932,179,1,1,1,60,60
5,14932,15114,182,1,1,1,60,60
5,15114,15297,183,1,1,1,60,60
5,18829,19099,270,1,1,1,60,60
5,19503,19786,283,1,1,1,60,60
5,19786,20038,252,1,1,1,60,60
5,21223,21409,186,0,0,0,120,120
5,32409,32610,201,0,0,0,120,120
5,48628,48769,141,5,0,5,2,120
0,5144,5372,228,2,2,2,30,30
0,5428,5615,187,2,2,2,30,30
0,8064,8237,173,2,5,5,30,2
0,32221,32471,250,0,0,0,120,120
4,3404,3477,73,1,1,1,60,60
4,6416,6546,130,2,2,2,30,30
4,8624,8741,117,1,1,1,60,60
4,11055,11327,272,1,1,1,60,60
4,11327,11444,117,1,1,1,60,60
4,27721,27811,90,0,0,0,120,120
4,37486,37763,277,0,1,1,120,60
4,44622,44908,286,0,0,0,120,120
11,1261,1462,201,2,1,2,30,60
11,1490,1609,119,1,1,1,60,60
11,6670,6924,254,2,2,2,30,30
11,7449,7544,95,2,2,2,30,30
11,10862,11088,226,1,1,1,60,60
11,13084,13313,229,1,1,1,60,60
11,13313,13457,144,1,1,1,60,60
11,14176,14407,231,1,2,2,60,30
11,20354,20497,143,1,0,1,60,120
11,33608,33822,214,2,0,2,30,120
11,39372,39445,73,0,0,0,120,120
11,47503,47640,137,0,0,0,120,120
11,49348,49486,138,0,0,0,120,120
9,2434,2636,202,1,2,2,60,30
9,4192,4277,85,2,2,2,30,30
9,4277,4346,69,2,2,2,30,30
9,8097,8236,139,2,6,6,30,1
9,8236,8339,103,6,2,6,1,30
9,12065,12128,63,1,1,1,60,60
9,18783,19065,282,1,1,1,60,60
9,22169,22301,132,0,0,0,120,120
9,22301,22440,139,0,0,0,120,120
9,34224,34349,125,0,4,4,120,5
3,2915,3167,252,2,2,2,30,30
3,14295,14401,106,1,2,2,60,30
3,19581,19680,99,1,1,1,60,60
3,41925,42083,158,0,0,0,120,120
3,43633,43859,226,0,0,0,120,120
7,5167,5261,94,2,2,2,30,30
7,10091,10297,206,1,1,1,60,60
7,10297,10432,135,1,1,1,60,60
7,12323,12523,200,1,1,1,60,60
7,16234,16338,104,1,1,1,60,60
7,16338,16439,101,1,1,1,60,60
7,21607,21742,135,0,0,0,120,120
7,44980,45187,207,0,0,0,120,120
7,46710,46976,266,0,0,0,120,120
7,48638,48787,149,6,0,6,1,120
