adaptive_strategy,fixed_interval,fixed_busy_percent,fixed_unique_uncorrectable,fixed_uncorrectable_detections,relation_to_adaptive
table,60,24.966667,3.666667,788.966667,tradeoff
table,70,24.136667,3.966667,812.466667,tradeoff
table,80,21.186667,4.200000,852.766667,tradeoff
table,100,17.066667,4.033333,808.533333,tradeoff
table,120,14.303333,4.600000,822.533333,tradeoff
table,150,11.563333,5.133333,817.833333,fixed_dominated_by_adaptive
table,200,8.800000,5.500000,814.366667,fixed_dominated_by_adaptive
table,240,7.383333,5.566667,787.900000,tradeoff
table,300,5.976667,6.000000,774.533333,tradeoff
threshold,60,24.966667,3.666667,788.966667,tradeoff
threshold,70,24.136667,3.966667,812.466667,tradeoff
threshold,80,21.186667,4.200000,852.766667,tradeoff
threshold,100,17.066667,4.033333,808.533333,tradeoff
threshold,120,14.303333,4.600000,822.533333,tradeoff
threshold,150,11.563333,5.133333,817.833333,fixed_dominated_by_adaptive
threshold,200,8.800000,5.500000,814.366667,tradeoff
threshold,240,7.383333,5.566667,787.900000,tradeoff
threshold,300,5.976667,6.000000,774.533333,tradeoff
