seed,fixed_interval,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,memory_busy_cycles,busy_percent
1,60,fixed,50000,748,11980,525,525,667,4,0,12505,25.000000
1,,table,50000,246,3936,426,426,694,4,1295,4362,8.700000
1,,threshold,50000,284,4544,469,469,583,4,776,5013,10.000000
1,70,fixed,50000,723,11576,539,539,571,4,0,12115,24.200000
1,80,fixed,50000,632,10112,523,523,482,4,0,10635,21.200000
1,100,fixed,50000,504,8065,508,508,447,3,0,8573,17.100000
1,120,fixed,50000,419,6709,453,453,1042,4,0,7162,14.300000
1,150,fixed,50000,335,5360,483,483,501,3,0,5843,11.600000
1,200,fixed,50000,250,4013,411,411,724,5,0,4424,8.800000
1,240,fixed,50000,208,3340,403,403,589,5,0,3743,7.400000
1,300,fixed,50000,167,2672,344,344,629,4,0,3016,6.000000
2,60,fixed,50000,748,11979,529,529,483,3,0,12508,25.000000
2,,table,50000,246,3936,432,432,647,4,1295,4368,8.700000
2,,threshold,50000,284,4544,440,440,613,5,776,4984,9.900000
2,70,fixed,50000,723,11574,527,527,381,6,0,12101,24.200000
2,80,fixed,50000,632,10112,507,507,562,5,0,10619,21.200000
2,100,fixed,50000,504,8065,499,499,541,3,0,8564,17.100000
2,120,fixed,50000,419,6709,484,484,512,5,0,7193,14.300000
2,150,fixed,50000,335,5360,436,436,902,7,0,5796,11.500000
2,200,fixed,50000,250,4013,389,389,873,6,0,4402,8.800000
2,240,fixed,50000,208,3340,393,393,554,4,0,3733,7.400000
2,300,fixed,50000,166,2672,339,339,663,5,0,3011,6.000000
3,60,fixed,50000,748,11977,536,536,746,5,0,12513,25.000000
3,,table,50000,246,3936,436,436,770,5,1295,4372,8.700000
3,,threshold,50000,284,4544,425,425,940,5,776,4969,9.900000
3,70,fixed,50000,723,11575,525,525,1047,4,0,12100,24.200000
3,80,fixed,50000,632,10112,502,502,1290,5,0,10614,21.200000
3,100,fixed,50000,504,8065,477,477,1289,5,0,8542,17.000000
3,120,fixed,50000,419,6709,481,481,887,3,0,7190,14.300000
3,150,fixed,50000,335,5360,437,437,947,5,0,5797,11.500000
3,200,fixed,50000,250,4013,402,402,924,4,0,4415,8.800000
3,240,fixed,50000,208,3340,380,381,893,6,0,3720,7.400000
3,300,fixed,50000,167,2672,330,330,926,7,0,3002,6.000000
4,60,fixed,50000,748,11978,535,535,588,4,0,12513,25.000000
4,,table,50000,246,3936,434,434,768,5,1295,4370,8.700000
4,,threshold,50000,284,4544,471,471,541,3,776,5015,10.000000
4,70,fixed,50000,723,11575,532,532,622,3,0,12107,24.200000
4,80,fixed,50000,632,10112,520,520,693,4,0,10632,21.200000
4,100,fixed,50000,504,8065,515,515,543,2,0,8580,17.100000
4,120,fixed,50000,419,6709,476,476,815,5,0,7185,14.300000
4,150,fixed,50000,335,5360,438,438,901,4,0,5798,11.500000
4,200,fixed,50000,250,4013,438,438,726,5,0,4451,8.900000
4,240,fixed,50000,208,3340,382,382,763,5,0,3722,7.400000
4,300,fixed,50000,166,2672,333,333,785,4,0,3005,6.000000
5,60,fixed,50000,748,11984,508,508,665,3,0,12492,24.900000
5,,table,50000,246,3936,448,448,406,6,1295,4384,8.700000
5,,threshold,50000,284,4544,465,465,490,5,776,5009,10.000000
5,70,fixed,50000,723,11572,525,525,475,6,0,12097,24.100000
5,80,fixed,50000,632,10112,500,500,617,5,0,10612,21.200000
5,100,fixed,50000,504,8065,503,503,529,5,0,8568,17.100000
5,120,fixed,50000,419,6709,487,487,469,6,0,7196,14.300000
5,150,fixed,50000,335,5360,463,463,497,7,0,5823,11.600000
5,200,fixed,50000,250,4013,412,412,746,7,0,4425,8.800000
5,240,fixed,50000,208,3340,368,368,767,5,0,3708,7.400000
5,300,fixed,50000,167,2672,340,340,705,8,0,3012,6.000000
6,60,fixed,50000,748,11982,518,518,1295,4,0,12500,25.000000
6,,table,50000,246,3936,435,435,701,8,1295,4371,8.700000
6,,threshold,50000,284,4544,435,435,825,8,776,4979,9.900000
6,70,fixed,50000,723,11575,524,524,765,7,0,12099,24.100000
6,80,fixed,50000,632,10112,511,511,1091,8,0,10623,21.200000
6,100,fixed,50000,504,8065,497,497,1042,6,0,8562,17.100000
6,120,fixed,50000,419,6709,443,443,1198,8,0,7152,14.300000
6,150,fixed,50000,335,5360,421,421,1173,7,0,5781,11.500000
6,200,fixed,50000,250,4013,397,397,851,10,0,4410,8.800000
6,240,fixed,50000,208,3340,381,381,775,11,0,3721,7.400000
6,300,fixed,50000,167,2672,336,336,732,9,0,3008,6.000000
7,60,fixed,50000,748,11980,525,525,943,1,0,12505,25.000000
7,,table,50000,246,3936,407,407,933,2,1295,4343,8.600000
7,,threshold,50000,284,4544,461,461,620,0,776,5005,10.000000
7,70,fixed,50000,723,11576,516,516,1094,2,0,12092,24.100000
7,80,fixed,50000,632,10112,511,511,978,0,0,10623,21.200000
7,100,fixed,50000,504,8065,511,511,732,1,0,8576,17.100000
7,120,fixed,50000,419,6709,469,469,958,0,0,7178,14.300000
7,150,fixed,50000,335,5360,459,459,800,1,0,5819,11.600000
7,200,fixed,50000,250,4013,425,425,756,1,0,4438,8.800000
7,240,fixed,50000,208,3340,414,414,687,1,0,3754,7.500000
7,300,fixed,50000,167,2672,350,350,840,0,0,3022,6.000000
8,60,fixed,50000,748,11978,532,532,698,2,0,12510,25.000000
8,,table,50000,246,3936,425,425,608,2,1295,4361,8.700000
8,,threshold,50000,284,4544,451,451,635,1,776,4995,9.900000
8,70,fixed,50000,723,11575,535,535,531,3,0,12110,24.200000
8,80,fixed,50000,632,10112,506,506,778,4,0,10618,21.200000
8,100,fixed,50000,504,8065,491,491,787,2,0,8556,17.100000
8,120,fixed,50000,419,6709,466,466,792,4,0,7175,14.300000
8,150,fixed,50000,335,5360,451,451,602,4,0,5811,11.600000
8,200,fixed,50000,250,4013,418,418,682,4,0,4431,8.800000
8,240,fixed,50000,208,3340,354,354,898,3,0,3694,7.300000
8,300,fixed,50000,167,2672,332,332,701,5,0,3004,6.000000
9,60,fixed,50000,748,11981,520,520,775,1,0,12501,25.000000
9,,table,50000,246,3936,417,417,663,2,1295,4353,8.700000
9,,threshold,50000,284,4544,431,431,680,2,776,4975,9.900000
9,70,fixed,50000,723,11576,504,504,849,4,0,12080,24.100000
9,80,fixed,50000,632,10112,478,478,1034,4,0,10590,21.100000
9,100,fixed,50000,504,8065,485,485,719,1,0,8550,17.100000
9,120,fixed,50000,419,6709,472,472,702,4,0,7181,14.300000
9,150,fixed,50000,335,5360,462,462,431,3,0,5822,11.600000
9,200,fixed,50000,250,4013,423,423,638,2,0,4436,8.800000
9,240,fixed,50000,208,3340,385,385,795,4,0,3725,7.400000
9,300,fixed,50000,166,2672,339,339,656,3,0,3011,6.000000
10,60,fixed,50000,748,11983,513,513,809,5,0,12496,24.900000
10,,table,50000,246,3936,427,427,703,4,1295,4363,8.700000
10,,threshold,50000,284,4544,456,456,712,6,776,5000,10.000000
10,70,fixed,50000,723,11575,523,523,534,4,0,12098,24.100000
10,80,fixed,50000,632,10112,521,521,541,4,0,10633,21.200000
10,100,fixed,50000,504,8065,496,496,701,6,0,8561,17.100000
10,120,fixed,50000,419,6709,468,468,770,5,0,7177,14.300000
10,150,fixed,50000,335,5360,454,454,680,8,0,5814,11.600000
10,200,fixed,50000,250,4013,443,443,685,6,0,4456,8.900000
10,240,fixed,50000,208,3340,393,393,707,6,0,3733,7.400000
10,300,fixed,50000,167,2672,359,359,697,8,0,3031,6.000000
11,60,fixed,50000,748,11976,541,541,280,3,0,12517,25.000000
11,,table,50000,246,3936,449,449,514,2,1295,4385,8.700000
11,,threshold,50000,284,4544,439,439,726,3,776,4983,9.900000
11,70,fixed,50000,723,11576,529,529,441,3,0,12105,24.200000
11,80,fixed,50000,632,10112,508,508,582,4,0,10620,21.200000
11,100,fixed,50000,504,8065,503,503,509,4,0,8568,17.100000
11,120,fixed,50000,419,6709,493,493,415,4,0,7202,14.400000
11,150,fixed,50000,335,5360,465,465,550,6,0,5825,11.600000
11,200,fixed,50000,250,4013,434,434,467,6,0,4447,8.800000
11,240,fixed,50000,208,3340,389,389,754,4,0,3729,7.400000
11,300,fixed,50000,167,2672,362,362,620,5,0,3034,6.000000
12,60,fixed,50000,748,11978,533,533,662,1,0,12511,25.000000
12,,table,50000,246,3936,428,428,745,2,1295,4364,8.700000
12,,threshold,50000,284,4544,451,451,690,3,776,4995,9.900000
12,70,fixed,50000,723,11575,516,516,1036,2,0,12091,24.100000
12,80,fixed,50000,632,10112,520,520,732,2,0,10632,21.200000
12,100,fixed,50000,504,8065,519,519,418,2,0,8584,17.100000
12,120,fixed,50000,419,6709,470,470,863,3,0,7179,14.300000
12,150,fixed,50000,335,5360,441,441,872,4,0,5801,11.600000
12,200,fixed,50000,250,4013,393,393,847,2,0,4406,8.800000
12,240,fixed,50000,208,3340,391,391,708,2,0,3731,7.400000
12,300,fixed,50000,167,2672,355,355,556,5,0,3027,6.000000
13,60,fixed,50000,748,11982,517,517,710,5,0,12499,24.900000
13,,table,50000,246,3936,421,421,771,7,1295,4357,8.700000
13,,threshold,50000,284,4544,449,449,704,5,776,4993,9.900000
13,70,fixed,50000,723,11576,521,521,595,4,0,12097,24.100000
13,80,fixed,50000,632,10112,512,512,676,4,0,10624,21.200000
13,100,fixed,50000,504,8065,499,499,539,5,0,8564,17.100000
13,120,fixed,50000,419,6709,489,489,465,6,0,7198,14.300000
13,150,fixed,50000,335,5360,470,470,607,7,0,5830,11.600000
13,200,fixed,50000,250,4013,414,414,710,7,0,4427,8.800000
13,240,fixed,50000,208,3340,378,378,703,9,0,3718,7.400000
13,300,fixed,50000,167,2672,348,348,800,9,0,3020,6.000000
14,60,fixed,50000,748,11979,529,529,1001,2,0,12508,25.000000
14,,table,50000,246,3936,391,391,916,6,1295,4327,8.600000
14,,threshold,50000,284,4544,439,439,789,6,776,4983,9.900000
14,70,fixed,50000,723,11575,519,519,1062,4,0,12094,24.100000
14,80,fixed,50000,632,10112,508,508,973,4,0,10620,21.200000
14,100,fixed,50000,504,8065,467,467,1355,5,0,8532,17.000000
14,120,fixed,50000,419,6709,448,448,1166,4,0,7157,14.300000
14,150,fixed,50000,335,5360,433,433,1061,6,0,5793,11.500000
14,200,fixed,50000,250,4012,388,388,1042,4,0,4400,8.800000
14,240,fixed,50000,208,3340,319,319,1163,4,0,3659,7.300000
14,300,fixed,50000,166,2672,311,311,911,7,0,2983,5.900000
15,60,fixed,50000,748,11981,522,522,730,6,0,12503,25.000000
15,,table,50000,246,3936,422,422,669,8,1295,4358,8.700000
15,,threshold,50000,284,4544,428,428,792,8,776,4972,9.900000
15,70,fixed,50000,723,11576,512,512,915,4,0,12088,24.100000
15,80,fixed,50000,632,10112,502,502,833,5,0,10614,21.200000
15,100,fixed,50000,504,8065,496,496,600,6,0,8561,17.100000
15,120,fixed,50000,419,6709,483,483,767,7,0,7192,14.300000
15,150,fixed,50000,335,5360,453,453,796,6,0,5813,11.600000
15,200,fixed,50000,250,4013,395,395,724,8,0,4408,8.800000
15,240,fixed,50000,208,3340,384,384,779,9,0,3724,7.400000
15,300,fixed,50000,166,2672,335,335,848,8,0,3007,6.000000
16,60,fixed,50000,748,11973,552,552,298,1,0,12525,25.000000
16,,table,50000,246,3936,416,416,726,6,1295,4352,8.700000
16,,threshold,50000,284,4544,434,434,791,7,776,4978,9.900000
16,70,fixed,50000,723,11574,556,556,304,1,0,12130,24.200000
16,80,fixed,50000,632,10112,531,531,681,2,0,10643,21.200000
16,100,fixed,50000,504,8065,495,495,929,3,0,8560,17.100000
16,120,fixed,50000,419,6709,473,473,803,3,0,7182,14.300000
16,150,fixed,50000,335,5360,448,448,890,4,0,5808,11.600000
16,200,fixed,50000,250,4013,388,388,885,4,0,4401,8.800000
16,240,fixed,50000,208,3340,396,396,668,5,0,3736,7.400000
16,300,fixed,50000,166,2672,332,332,870,6,0,3004,6.000000
17,60,fixed,50000,748,11981,523,523,370,7,0,12504,25.000000
17,,table,50000,246,3936,418,418,852,9,1295,4354,8.700000
17,,threshold,50000,284,4544,443,443,722,6,776,4987,9.900000
17,70,fixed,50000,723,11577,512,512,789,6,0,12089,24.100000
17,80,fixed,50000,632,10112,499,499,981,6,0,10611,21.200000
17,100,fixed,50000,504,8065,477,477,833,6,0,8542,17.000000
17,120,fixed,50000,419,6709,465,465,852,8,0,7174,14.300000
17,150,fixed,50000,335,5360,448,448,600,8,0,5808,11.600000
17,200,fixed,50000,250,4013,398,398,915,10,0,4411,8.800000
17,240,fixed,50000,208,3340,361,361,890,9,0,3701,7.400000
17,300,fixed,50000,167,2672,328,328,704,9,0,3000,6.000000
18,60,fixed,50000,748,11979,529,529,545,3,0,12508,25.000000
18,,table,50000,246,3936,420,420,788,2,1295,4356,8.700000
18,,threshold,50000,284,4544,448,448,660,3,776,4992,9.900000
18,70,fixed,50000,723,11575,534,534,455,3,0,12109,24.200000
18,80,fixed,50000,632,10112,493,493,997,4,0,10605,21.200000
18,100,fixed,50000,504,8065,473,473,1069,3,0,8538,17.000000
18,120,fixed,50000,419,6709,480,480,678,3,0,7189,14.300000
