strategy,fixed_interval,run_count,scrub_cycles_mean,scrub_cycles_std,busy_percent_mean,busy_percent_std,unique_uncorrectable_mean,unique_uncorrectable_std,corrected_mean,corrected_std,uncorrectable_detections_mean,uncorrectable_detections_std
fixed,60,30,748.133333,0.339935,24.966667,0.047140,3.666667,1.556349,522.500000,14.110871,788.966667,337.146109
fixed,70,30,723.000000,0.000000,24.136667,0.048189,3.966667,1.378002,519.233333,15.471874,812.466667,358.432024
fixed,80,30,632.000000,0.000000,21.186667,0.033993,4.200000,1.423610,507.533333,14.172117,852.766667,254.974990
fixed,100,30,504.000000,0.000000,17.066667,0.047140,4.033333,1.538036,491.633333,17.369482,808.533333,263.204323
fixed,120,30,419.000000,0.000000,14.303333,0.031447,4.600000,1.724336,470.866667,15.471982,822.533333,215.242458
fixed,150,30,335.000000,0.000000,11.563333,0.048189,5.133333,1.586050,445.666667,16.172679,817.833333,219.788396
fixed,200,30,250.000000,0.000000,8.800000,0.036515,5.500000,2.320201,402.366667,18.580426,814.366667,134.802938
fixed,240,30,208.000000,0.000000,7.383333,0.045338,5.566667,2.186067,376.700000,20.646469,787.900000,120.720987
fixed,300,30,166.633333,0.481894,5.976667,0.049554,6.000000,2.175623,335.433333,18.238573,774.533333,108.539312
table,,30,246.000000,0.000000,8.666667,0.047140,4.966667,2.121058,419.133333,15.844522,750.466667,123.957448
threshold,,30,284.000000,0.000000,9.920000,0.047610,4.733333,1.965254,439.633333,17.868936,748.900000,145.154711
