mapping,adaptive_strategy,matching_metric,matched_fixed_interval,adaptive_scrub_cycles,adaptive_busy_percent,adaptive_unique_uncorrectable,adaptive_uncorrectable_detections,matched_fixed_scrub_cycles,matched_fixed_busy_percent,matched_fixed_unique_uncorrectable,matched_fixed_uncorrectable_detections,eta_practical_scrub_cycles,eta_practical_busy_percent,metric_difference,eta_theory_1_plus_cv2
slow,table,unique_uncorrectable_words,200,241.500000,8.530000,6.100000,666.600000,187.000000,6.680000,5.300000,711.400000,0.774327,0.783118,-0.800000,7.242959918
slow,table,uncorrectable_detections,20,241.500000,8.530000,6.100000,666.600000,582.000000,19.600000,3.500000,663.300000,2.409938,2.297773,-3.300000,7.242959918
slow,threshold,unique_uncorrectable_words,10,329.700000,11.450000,4.100000,674.300000,659.000000,22.100000,4.100000,772.600000,1.998787,1.930131,0.000000,7.242959918
slow,threshold,uncorrectable_detections,40,329.700000,11.450000,4.100000,674.300000,471.000000,16.000000,3.700000,675.900000,1.428571,1.397380,1.600000,7.242959918
base,table,unique_uncorrectable_words,25,354.700000,12.270000,4.800000,733.600000,549.400000,18.560000,4.600000,704.400000,1.548915,1.512632,-0.200000,7.242959918
base,table,uncorrectable_detections,150,354.700000,12.270000,4.800000,733.600000,230.000000,8.110000,5.000000,728.500000,0.648435,0.660962,-5.100000,7.242959918
base,threshold,unique_uncorrectable_words,20,447.400000,15.270000,3.200000,746.200000,582.000000,19.600000,3.500000,663.300000,1.300849,1.283563,0.300000,7.242959918
base,threshold,uncorrectable_detections,60,447.400000,15.270000,3.200000,746.200000,395.900000,13.580000,3.900000,744.700000,0.884890,0.889325,-1.500000,7.242959918
fast,table,unique_uncorrectable_words,40,475.400000,16.180000,3.700000,649.000000,471.000000,16.000000,3.700000,675.900000,0.990745,0.988875,0.000000,7.242959918
fast,table,uncorrectable_detections,20,475.400000,16.180000,3.700000,649.000000,582.000000,19.600000,3.500000,663.300000,1.224232,1.211372,14.300000,7.242959918
fast,threshold,unique_uncorrectable_words,20,551.900000,18.650000,3.200000,791.200000,582.000000,19.600000,3.500000,663.300000,1.054539,1.050938,0.300000,7.242959918
fast,threshold,uncorrectable_detections,10,551.900000,18.650000,3.200000,791.200000,659.000000,22.100000,4.100000,772.600000,1.194057,1.184987,-18.600000,7.242959918
