strategy,fixed_interval,run_count,scrub_cycles_mean,scrub_cycles_std,busy_percent_mean,busy_percent_std,unique_uncorrectable_mean,unique_uncorrectable_std,corrected_mean,corrected_std,uncorrectable_detections_mean,uncorrectable_detections_std
fixed,5,10,706.300000,0.458258,23.600000,0.000000,3.600000,1.907878,518.900000,12.070211,771.400000,269.045795
fixed,10,10,659.000000,0.000000,22.100000,0.000000,4.100000,1.700000,513.900000,6.252200,772.600000,213.858458
fixed,15,10,618.000000,0.000000,20.780000,0.040000,3.800000,1.720465,510.800000,13.804347,676.700000,170.387822
fixed,20,10,582.000000,0.000000,19.600000,0.000000,3.500000,1.857418,512.600000,8.674099,663.300000,141.576870
fixed,25,10,549.400000,0.489898,18.560000,0.048990,4.600000,2.059126,500.400000,10.575443,704.400000,157.705548
fixed,30,10,520.900000,0.300000,17.610000,0.030000,4.100000,2.256103,492.200000,13.941306,827.400000,243.734364
fixed,40,10,471.000000,0.000000,16.000000,0.000000,3.700000,2.147091,490.600000,8.867920,675.900000,167.434435
fixed,60,10,395.900000,0.300000,13.580000,0.040000,3.900000,2.071232,475.000000,13.885244,744.700000,138.345979
fixed,80,10,341.000000,0.000000,11.800000,0.000000,4.500000,1.910497,458.700000,8.556284,712.200000,180.001556
fixed,100,10,300.000000,0.000000,10.410000,0.030000,4.600000,1.743560,437.400000,11.783039,741.700000,146.619951
fixed,150,10,230.000000,0.000000,8.110000,0.030000,5.000000,1.788854,401.100000,15.319595,728.500000,83.083392
fixed,200,10,187.000000,0.000000,6.680000,0.040000,5.300000,2.609598,370.500000,12.595634,711.400000,60.118550
fixed,240,10,162.000000,0.000000,5.830000,0.045826,5.200000,1.886796,349.200000,16.551737,681.000000,77.401550
table,,10,475.400000,0.489898,16.180000,0.040000,3.700000,2.282542,503.300000,10.431203,649.000000,154.341828
threshold,,10,551.900000,0.943398,18.650000,0.050000,3.200000,1.720465,502.700000,6.309517,791.200000,196.683400
