seed,fixed_interval,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,memory_busy_cycles,busy_percent
1,5,fixed,50000,706,11308,530,530,567,3,0,11838,23.600000
1,,table,50000,242,3872,431,431,614,7,1295,4303,8.600000
1,,threshold,50000,330,5289,481,481,517,4,776,5770,11.500000
1,10,fixed,50000,659,10555,523,523,585,4,0,11078,22.100000
1,15,fixed,50000,618,9891,533,533,467,4,0,10424,20.800000
1,20,fixed,50000,582,9312,518,518,492,2,0,9830,19.600000
1,25,fixed,50000,550,8800,492,492,722,4,0,9292,18.500000
1,30,fixed,50000,521,8336,496,496,601,4,0,8832,17.600000
1,40,fixed,50000,471,7536,506,506,459,4,0,8042,16.000000
1,60,fixed,50000,396,6336,476,476,828,4,0,6812,13.600000
1,80,fixed,50000,341,5458,467,467,749,4,0,5925,11.800000
1,100,fixed,50000,300,4800,448,448,710,4,0,5248,10.400000
1,150,fixed,50000,230,3680,437,437,570,3,0,4117,8.200000
1,200,fixed,50000,187,2992,395,395,571,4,0,3387,6.700000
1,240,fixed,50000,162,2592,355,355,646,5,0,2947,5.800000
2,5,fixed,50000,706,11308,527,527,333,5,0,11835,23.600000
2,,table,50000,243,3888,415,415,650,6,1295,4303,8.600000
2,,threshold,50000,329,5273,454,454,621,6,776,5727,11.400000
2,10,fixed,50000,659,10559,507,507,604,5,0,11066,22.100000
2,15,fixed,50000,618,9897,511,511,638,6,0,10408,20.800000
2,20,fixed,50000,582,9312,521,521,423,5,0,9833,19.600000
2,25,fixed,50000,549,8800,503,503,500,5,0,9303,18.600000
2,30,fixed,50000,521,8336,478,478,906,5,0,8814,17.600000
2,40,fixed,50000,471,7541,486,486,599,4,0,8027,16.000000
2,60,fixed,50000,396,6336,454,454,860,3,0,6790,13.500000
2,80,fixed,50000,341,5458,470,470,468,5,0,5928,11.800000
2,100,fixed,50000,300,4800,429,429,589,6,0,5229,10.400000
2,150,fixed,50000,230,3682,393,393,727,7,0,4075,8.100000
2,200,fixed,50000,187,2992,367,367,726,7,0,3359,6.700000
2,240,fixed,50000,162,2592,365,365,580,5,0,2957,5.900000
3,5,fixed,50000,707,11312,505,505,1236,5,0,11817,23.600000
3,,table,50000,242,3872,432,432,765,6,1295,4304,8.600000
