event_id,event_type,time_cycle,address,fault_mask,pair_id,pair_role,cluster_id,cluster_role,cluster_interleave_depth,cluster_injection_skew,preferred_cycle,actual_cycle,cycle_shift
18,cluster,3865,159,0040001000,,,9,group_0_of_2,2,0,3865,3865,0
19,cluster,3865,160,0001000000,,,9,group_1_of_2,2,0,3865,3865,0
24,cluster,4173,27,4000000800,,,12,group_0_of_2,2,0,4173,4173,0
25,cluster,4173,28,0008000000,,,12,group_1_of_2,2,0,4173,4173,0
2,cluster,4737,191,0000120000,,,1,group_0_of_2,2,0,4737,4737,0
3,cluster,4737,192,0000000002,,,1,group_1_of_2,2,0,4737,4737,0
20,cluster,6859,6,0000001002,,,10,group_0_of_2,2,0,6859,6859,0
21,cluster,6859,7,0000000400,,,10,group_1_of_2,2,0,6859,6859,0
34,cluster,7596,96,0010010000,,,17,group_0_of_2,2,0,7596,7596,0
35,cluster,7596,97,0100000000,,,17,group_1_of_2,2,0,7596,7596,0
16,cluster,8726,45,0100001000,,,8,group_0_of_2,2,0,8726,8726,0
17,cluster,8726,46,0200000000,,,8,group_1_of_2,2,0,8726,8726,0
36,cluster,9881,210,0004020000,,,18,group_0_of_2,2,0,9881,9881,0
37,cluster,9881,211,0080000000,,,18,group_1_of_2,2,0,9881,9881,0
8,cluster,11104,128,0010001000,,,4,group_0_of_2,2,0,11104,11104,0
9,cluster,11104,129,0000000040,,,4,group_1_of_2,2,0,11104,11104,0
30,cluster,13566,209,0000020020,,,15,group_0_of_2,2,0,13566,13566,0
31,cluster,13566,210,0000001000,,,15,group_1_of_2,2,0,13566,13566,0
32,cluster,14473,9,0000000082,,,16,group_0_of_2,2,0,14473,14473,0
33,cluster,14473,10,0400000000,,,16,group_1_of_2,2,0,14473,14473,0
4,cluster,16157,211,0400001000,,,2,group_0_of_2,2,0,16157,16157,0
5,cluster,16157,212,0000000040,,,2,group_1_of_2,2,0,16157,16157,0
6,cluster,20358,45,0008000020,,,3,group_0_of_2,2,0,20358,20358,0
7,cluster,20358,46,0000200000,,,3,group_1_of_2,2,0,20358,20358,0
38,cluster,22967,251,0080000200,,,19,group_0_of_2,2,0,22967,22967,0
39,cluster,22967,252,0001000000,,,19,group_1_of_2,2,0,22967,22967,0
14,cluster,25559,185,0008008000,,,7,group_0_of_2,2,0,25559,25559,0
15,cluster,25559,186,4000000000,,,7,group_1_of_2,2,0,25559,25559,0
22,cluster,25739,191,0001040000,,,11,group_0_of_2,2,0,25739,25739,0
23,cluster,25739,192,0200000000,,,11,group_1_of_2,2,0,25739,25739,0
10,cluster,30802,49,0000001004,,,5,group_0_of_2,2,0,30802,30802,0
11,cluster,30802,50,2000000000,,,5,group_1_of_2,2,0,30802,30802,0
26,cluster,33788,49,0010000020,,,13,group_0_of_2,2,0,33788,33788,0
27,cluster,33788,50,0000008000,,,13,group_1_of_2,2,0,33788,33788,0
0,cluster,37117,248,0000010001,,,0,group_0_of_2,2,0,37117,37117,0
1,cluster,37117,249,0000000004,,,0,group_1_of_2,2,0,37117,37117,0
12,cluster,38499,249,1000001000,,,6,group_0_of_2,2,0,38499,38499,0
13,cluster,38499,250,0100000000,,,6,group_1_of_2,2,0,38499,38499,0
28,cluster,45079,228,0201000000,,,14,group_0_of_2,2,0,45079,45079,0
29,cluster,45079,229,0000000010,,,14,group_1_of_2,2,0,45079,45079,0
