seed,interleave_depth,fixed_interval,requested_total_cycles,event_count,paired_event_count,cluster_event_count,cluster_bit_count,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
1,1,1089,500000,400,40,30,3,fixed,500000,458,117400,499,499,1463,5,0,0,0,470556,117899,941,235,0
1,1,1089,500000,400,40,30,3,table,500000,276,70656,480,480,1680,9,1295,0,0,283380,71136,566,142,0
1,1,1089,500000,400,40,30,3,threshold,500000,248,63488,491,491,1334,6,42,0,0,254691,63979,509,127,0
2,1,1089,500000,400,40,30,3,fixed,500000,458,117400,484,484,2809,9,0,0,0,470541,117884,941,235,0
2,1,1089,500000,400,40,30,3,table,500000,276,70656,470,470,2185,12,1295,0,0,283370,71126,566,142,0
2,1,1089,500000,400,40,30,3,threshold,500000,248,63488,473,473,2080,12,42,0,0,254673,63961,509,127,0
3,1,1089,500000,400,40,30,3,fixed,500000,458,117400,484,484,1769,11,0,0,0,470541,117884,941,235,0
3,1,1089,500000,400,40,30,3,table,500000,276,70656,470,470,1761,16,1295,0,0,283370,71126,566,142,0
3,1,1089,500000,400,40,30,3,threshold,500000,248,63488,472,472,1419,15,42,0,0,254672,63960,509,127,0
4,1,1089,500000,400,40,30,3,fixed,500000,458,117400,489,489,2535,9,0,0,0,470546,117889,941,235,0
4,1,1089,500000,400,40,30,3,table,500000,276,70656,466,466,2378,14,1295,0,0,283366,71122,566,142,0
4,1,1089,500000,400,40,30,3,threshold,500000,248,63488,476,476,1688,13,42,0,0,254676,63964,509,127,0
5,1,1089,500000,400,40,30,3,fixed,500000,458,117400,492,492,2263,10,0,0,0,470548,117892,941,235,0
5,1,1089,500000,400,40,30,3,table,500000,276,70656,482,482,1988,12,1295,0,0,283382,71138,566,142,0
