comparison,lhs_depth,lhs_interval,rhs_depth,rhs_interval,metric,n,delta_mean,delta_std,ci95_low,ci95_high
D3 - D1 at interval 1089,3,1089,1,1089,corrected,10,46.100000,2.726414,44.410151,47.789849
D3 - D1 at interval 1089,3,1089,1,1089,uncorrectable_detections,10,-170.200000,65.349998,-210.704348,-129.695652
D3 - D1 at interval 1089,3,1089,1,1089,unique_uncorrectable_words,10,-6.000000,2.708013,-7.678444,-4.321556
D3 - D1 at interval 1089,3,1089,1,1089,final_sdc_words,10,-13.200000,3.047768,-15.089026,-11.310974
D3 - D1 at interval 1089,3,1089,1,1089,final_dangerous_words,10,-19.200000,0.918937,-19.769563,-18.630437
D3 - D1 at interval 1089,3,1089,1,1089,new_due_count,10,-6.000000,2.708013,-7.678444,-4.321556
D3 - D1 at interval 1089,3,1089,1,1089,repeated_due_detections,10,-164.200000,62.823916,-203.138667,-125.261333
D3 - D2 at interval 1089,3,1089,2,1089,corrected,10,40.200000,1.032796,39.559867,40.840133
D3 - D2 at interval 1089,3,1089,2,1089,uncorrectable_detections,10,-486.500000,59.110537,-523.137090,-449.862910
D3 - D2 at interval 1089,3,1089,2,1089,unique_uncorrectable_words,10,-18.400000,1.074968,-19.066272,-17.733728
D3 - D2 at interval 1089,3,1089,2,1089,final_sdc_words,10,-0.700000,0.674949,-1.118337,-0.281663
D3 - D2 at interval 1089,3,1089,2,1089,final_dangerous_words,10,-19.100000,0.875595,-19.642699,-18.557301
D3 - D2 at interval 1089,3,1089,2,1089,new_due_count,10,-19.100000,0.875595,-19.642699,-18.557301
D3 - D2 at interval 1089,3,1089,2,1089,repeated_due_detections,10,-467.400000,58.721944,-503.796238,-431.003762
D3 - D1 at interval 1244,3,1244,1,1244,corrected,10,46.300000,2.540779,44.725209,47.874791
D3 - D1 at interval 1244,3,1244,1,1244,uncorrectable_detections,10,-148.300000,57.521107,-183.951952,-112.648048
D3 - D1 at interval 1244,3,1244,1,1244,unique_uncorrectable_words,10,-6.000000,2.708013,-7.678444,-4.321556
D3 - D1 at interval 1244,3,1244,1,1244,final_sdc_words,10,-13.200000,3.047768,-15.089026,-11.310974
D3 - D1 at interval 1244,3,1244,1,1244,final_dangerous_words,10,-19.200000,0.918937,-19.769563,-18.630437
D3 - D1 at interval 1244,3,1244,1,1244,new_due_count,10,-6.000000,2.708013,-7.678444,-4.321556
D3 - D1 at interval 1244,3,1244,1,1244,repeated_due_detections,10,-142.300000,55.013231,-176.397554,-108.202446
D3 - D2 at interval 1244,3,1244,2,1244,corrected,10,40.400000,0.699206,39.966628,40.833372
D3 - D2 at interval 1244,3,1244,2,1244,uncorrectable_detections,10,-425.100000,52.007371,-457.334503,-392.865497
