interleave_depth,fixed_interval,runs,busy_percent_mean,busy_percent_std,scrub_cycles_mean,scrub_cycles_std,corrected_mean,corrected_std,uncorrectable_detections_mean,uncorrectable_detections_std,unique_uncorrectable_words_mean,unique_uncorrectable_words_std,final_sdc_words_mean,final_sdc_words_std,final_dangerous_words_mean,final_dangerous_words_std,new_due_count_mean,new_due_count_std,repeated_due_detections_mean,repeated_due_detections_std
1,1089,10,23.000000,0.000000,45.000000,0.000000,13.600000,2.503331,170.200000,65.349998,6.000000,2.708013,13.200000,3.047768,19.200000,0.918937,6.000000,2.708013,164.200000,62.823916
1,1244,10,20.100000,0.000000,39.000000,0.000000,13.700000,2.540779,148.300000,57.521107,6.000000,2.708013,13.200000,3.047768,19.200000,0.918937,6.000000,2.708013,142.300000,55.013231
1,1555,10,16.000000,0.000000,31.000000,0.000000,13.400000,2.503331,118.100000,46.010748,6.000000,2.708013,13.200000,3.047768,19.200000,0.918937,5.900000,2.514403,112.200000,43.634339
1,2021,10,12.300000,0.000000,24.000000,0.000000,13.300000,2.263233,94.000000,36.107863,6.100000,2.685351,13.100000,3.034981,19.200000,0.918937,6.000000,2.624669,88.000000,33.734256
1,2400,10,10.200000,0.000000,20.000000,0.000000,12.900000,2.078995,76.500000,29.402381,6.000000,2.708013,13.200000,3.047768,19.200000,0.918937,5.800000,2.440401,70.700000,27.154087
2,1089,10,23.000000,0.000000,45.000000,0.000000,19.500000,0.707107,486.500000,59.110537,18.400000,1.074968,0.700000,0.674949,19.100000,0.875595,19.100000,0.875595,467.400000,58.721944
2,1244,10,20.100000,0.000000,39.000000,0.000000,19.600000,0.699206,425.100000,52.007371,18.400000,1.074968,0.700000,0.674949,19.100000,0.875595,19.200000,0.918937,405.900000,51.604156
2,1555,10,16.000000,0.000000,31.000000,0.000000,19.400000,0.843274,339.100000,41.377530,18.400000,1.074968,0.700000,0.674949,19.100000,0.875595,18.800000,1.135292,320.300000,40.844012
2,2021,10,12.300000,0.000000,24.000000,0.000000,19.100000,1.197219,264.200000,32.533060,18.500000,1.080123,0.700000,0.674949,19.200000,0.918937,18.900000,0.994429,245.300000,32.079935
2,2400,10,10.200000,0.000000,20.000000,0.000000,18.600000,1.173788,218.500000,26.596783,18.400000,1.074968,0.700000,0.674949,19.100000,0.875595,18.100000,1.370320,200.400000,25.880924
3,1089,10,23.100000,0.000000,45.000000,0.000000,59.700000,0.948683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,1244,10,20.200000,0.000000,39.000000,0.000000,60.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,1555,10,16.100000,0.000000,31.000000,0.000000,59.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,2021,10,12.390000,0.031623,24.000000,0.000000,58.100000,3.178050,9.900000,31.306549,0.500000,1.581139,0.000000,0.000000,0.500000,1.581139,0.500000,1.581139,9.400000,29.725410
3,2400,10,10.300000,0.000000,20.000000,0.000000,56.200000,2.973961,4.000000,9.660918,0.400000,0.843274,0.000000,0.000000,0.400000,0.843274,0.400000,0.843274,3.600000,8.934328
