event_id,event_type,time_cycle,address,fault_mask,pair_id,pair_role,cluster_id,cluster_role,cluster_interleave_depth,cluster_injection_skew,preferred_cycle,actual_cycle,cycle_shift
8,cluster,350,110,0208000000,,,4,group_0_of_2,2,0,350,350,0
9,cluster,351,111,0000000002,,,4,group_1_of_2,2,1,351,351,0
0,cluster,4408,130,0010000080,,,0,group_0_of_2,2,0,4408,4408,0
1,cluster,4409,131,0080000000,,,0,group_1_of_2,2,1,4409,4409,0
6,cluster,7986,52,0400100000,,,3,group_0_of_2,2,0,7986,7986,0
7,cluster,7987,53,0000000002,,,3,group_1_of_2,2,1,7987,7987,0
2,cluster,15380,107,0000000042,,,1,group_0_of_2,2,0,15380,15380,0
3,cluster,15381,108,0080000000,,,1,group_1_of_2,2,1,15381,15381,0
4,cluster,45172,221,4010000000,,,2,group_0_of_2,2,0,45172,45172,0
5,cluster,45173,222,0000000001,,,2,group_1_of_2,2,1,45173,45173,0
