scenario,seed,requested_total_cycles,window_size,event_count,paired_event_count,pair_gap_min,pair_gap_max,cluster_event_count,cluster_bit_count,control_quantization,control_source,control_policy_schedule,control_policy_level_map_output,safe_interval,level_intervals,threshold_levels,threshold_intervals,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
upsets,1,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"160,145,130,115,100,90,80,70","2,1,4,3","145,105,80",fixed,50000,632,10112,523,523,482,4,0,0,0,41603,10635,832,212,0
upsets,1,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"160,145,130,115,100,90,80,70","2,1,4,3","145,105,80",table,50000,337,5392,487,487,615,4,1295,0,0,22392,5879,447,117,0
upsets,1,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"160,145,130,115,100,90,80,70","2,1,4,3","145,105,80",threshold,50000,371,5936,479,479,763,1,776,0,0,24594,6415,491,128,0
upsets,2,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"160,145,130,115,100,90,80,70","2,1,4,3","145,105,80",fixed,50000,632,10112,507,507,562,5,0,0,0,41587,10619,831,212,0
upsets,2,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"160,145,130,115,100,90,80,70","2,1,4,3","145,105,80",table,50000,337,5392,456,456,743,5,1295,0,0,22361,5848,447,116,0
upsets,2,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"160,145,130,115,100,90,80,70","2,1,4,3","145,105,80",threshold,50000,371,5936,449,449,829,5,776,0,0,24564,6385,491,127,0
upsets,3,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"160,145,130,115,100,90,80,70","2,1,4,3","145,105,80",fixed,50000,632,10112,502,502,1290,5,0,0,0,41582,10614,831,212,0
upsets,3,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"160,145,130,115,100,90,80,70","2,1,4,3","145,105,80",table,50000,337,5392,475,475,762,3,1295,0,0,22380,5867,447,117,0
upsets,3,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"160,145,130,115,100,90,80,70","2,1,4,3","145,105,80",threshold,50000,371,5936,480,480,762,4,776,0,0,24595,6416,491,128,0
upsets,4,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"160,145,130,115,100,90,80,70","2,1,4,3","145,105,80",fixed,50000,632,10112,520,520,693,4,0,0,0,41600,10632,832,212,0
upsets,4,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"160,145,130,115,100,90,80,70","2,1,4,3","145,105,80",table,50000,337,5392,462,462,874,5,1295,0,0,22367,5854,447,117,0
upsets,4,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"160,145,130,115,100,90,80,70","2,1,4,3","145,105,80",threshold,50000,371,5936,490,490,565,4,776,0,0,24605,6426,492,128,0
upsets,5,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"160,145,130,115,100,90,80,70","2,1,4,3","145,105,80",fixed,50000,632,10112,500,500,617,5,0,0,0,41580,10612,831,212,0
upsets,5,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"160,145,130,115,100,90,80,70","2,1,4,3","145,105,80",table,50000,337,5392,470,470,548,5,1295,0,0,22375,5862,447,117,0
upsets,5,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"160,145,130,115,100,90,80,70","2,1,4,3","145,105,80",threshold,50000,371,5936,487,487,440,5,776,0,0,24602,6423,492,128,0
upsets,6,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"160,145,130,115,100,90,80,70","2,1,4,3","145,105,80",fixed,50000,632,10112,511,511,1091,8,0,0,0,41591,10623,831,212,0
upsets,6,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"160,145,130,115,100,90,80,70","2,1,4,3","145,105,80",table,50000,337,5392,446,446,846,9,1295,0,0,22351,5838,447,116,0
upsets,6,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"160,145,130,115,100,90,80,70","2,1,4,3","145,105,80",threshold,50000,371,5936,447,447,979,9,776,0,0,24562,6383,491,127,0
upsets,7,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"160,145,130,115,100,90,80,70","2,1,4,3","145,105,80",fixed,50000,632,10112,511,511,978,0,0,0,0,41591,10623,831,212,0
upsets,7,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"160,145,130,115,100,90,80,70","2,1,4,3","145,105,80",table,50000,337,5392,479,479,715,0,1295,0,0,22384,5871,447,117,0
upsets,7,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"160,145,130,115,100,90,80,70","2,1,4,3","145,105,80",threshold,50000,371,5936,488,488,848,1,776,0,0,24603,6424,492,128,0
