run,strategy,n,fixed_unique_mean,adaptive_unique_mean,unique_delta_mean,unique_delta_ci_low,unique_delta_ci_high,fixed_busy_percent,adaptive_busy_percent,busy_delta_pp,busy_delta_ci_low,busy_delta_ci_high,busy_reduction_percent,fixed_scrub_cycles,adaptive_scrub_cycles,scrub_reduction_percent,mean_unique_no_worse,unique_statistically_compatible,busy_lower
economic_240_70,table,30,4.2,4.966666666666667,0.7666666666666667,0.10395048275272611,1.4293828505806072,21.186666666666667,8.666666666666666,-12.520000000000001,-12.538079571884872,-12.501920428115131,59.09376966645689,632.0,246.0,61.07594936708861,False,False,True
economic_240_70,threshold,30,4.2,4.733333333333333,0.5333333333333333,-0.05278519324901676,1.1194518599156833,21.186666666666667,9.92,-11.266666666666667,-11.287077452824258,-11.246255880509077,53.17809943360604,632.0,284.0,55.06329113924051,False,True,True
balanced_180_70,table,30,4.2,4.6,0.4,-0.15983169679434206,0.9598316967943421,21.186666666666667,10.6,-10.586666666666668,-10.60561177390106,-10.567721559432275,49.9685336689742,632.0,305.0,51.74050632911392,False,True,True
balanced_180_70,threshold,30,4.2,4.433333333333334,0.23333333333333334,-0.2438333333333333,0.7104999999999999,21.186666666666667,11.88,-9.306666666666667,-9.3203,-9.293033333333334,43.92699811202014,632.0,344.0,45.56962025316456,False,True,True
balanced_160_70,table,30,4.2,4.433333333333334,0.23333333333333334,-0.17898320081185698,0.6456498674785236,21.186666666666667,11.643333333333334,-9.543333333333333,-9.562151148372154,-9.524515518294512,45.04405286343612,632.0,337.0,46.677215189873415,False,True,True
balanced_160_70,threshold,30,4.2,4.466666666666667,0.26666666666666666,-0.20288379904148623,0.7362171323748196,21.186666666666667,12.766666666666667,-8.419999999999998,-8.43807957188487,-8.401920428115126,39.74197608558841,632.0,371.0,41.29746835443038,False,True,True
strict_140_70,table,30,4.2,4.366666666666666,0.16666666666666666,-0.32440096470642177,0.657734298039755,21.186666666666667,12.97,-8.216666666666665,-8.236479934068436,-8.196853399264894,38.78225298930143,632.0,378.0,40.189873417721515,False,True,True
strict_140_70,threshold,30,4.2,4.2,0.0,-0.5094840189026947,0.5094840189026947,21.186666666666667,13.966666666666667,-7.22,-7.235189878662882,-7.204810121337117,34.07803650094399,632.0,408.0,35.44303797468354,True,True,True
strict_120_70,table,30,4.2,4.0,-0.2,-0.6640584584657016,0.26405845846570153,21.186666666666667,14.746666666666666,-6.4399999999999995,-6.458603725989426,-6.421396274010573,30.396475770925107,632.0,432.0,31.645569620253166,True,True,True
strict_120_70,threshold,30,4.2,4.2,0.0,-0.4902512257688052,0.4902512257688052,21.186666666666667,15.26,-5.926666666666666,-5.946112611983673,-5.907220721349659,27.97356828193832,632.0,448.0,29.11392405063291,True,True,True
near_fixed_100_70,table,30,4.2,4.1,-0.1,-0.49646747268414304,0.296467472684143,21.186666666666667,17.19333333333333,-3.993333333333333,-4.010126376045269,-3.9765402906213976,18.848332284455633,632.0,508.0,19.62025316455696,True,True,True
near_fixed_100_70,threshold,30,4.2,4.266666666666667,0.06666666666666667,-0.2859508798332443,0.4192842131665776,21.186666666666667,17.366666666666667,-3.8200000000000003,-3.838079571884871,-3.8019204281151295,18.03020767778477,632.0,513.0,18.829113924050635,False,True,True
