scenario,seed,requested_total_cycles,window_size,event_count,paired_event_count,pair_gap_min,pair_gap_max,cluster_event_count,cluster_bit_count,control_quantization,control_source,control_policy_schedule,control_policy_level_map_output,safe_interval,level_intervals,threshold_levels,threshold_intervals,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
upsets,1,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"100,100,95,90,85,80,75,70","2,1,4,3","100,90,80",fixed,50000,632,10112,523,523,482,4,0,0,0,41603,10635,832,212,0
upsets,1,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"100,100,95,90,85,80,75,70","2,1,4,3","100,90,80",table,50000,508,8128,505,505,612,2,824,0,0,33525,8633,670,172,0
upsets,1,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"100,100,95,90,85,80,75,70","2,1,4,3","100,90,80",threshold,50000,513,8213,498,498,669,3,776,0,0,33860,8711,677,174,0
upsets,2,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"100,100,95,90,85,80,75,70","2,1,4,3","100,90,80",fixed,50000,632,10112,507,507,562,5,0,0,0,41587,10619,831,212,0
upsets,2,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"100,100,95,90,85,80,75,70","2,1,4,3","100,90,80",table,50000,508,8128,501,501,480,5,824,0,0,33521,8629,670,172,0
upsets,2,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"100,100,95,90,85,80,75,70","2,1,4,3","100,90,80",threshold,50000,513,8213,488,488,635,4,776,0,0,33850,8701,677,174,0
upsets,3,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"100,100,95,90,85,80,75,70","2,1,4,3","100,90,80",fixed,50000,632,10112,502,502,1290,5,0,0,0,41582,10614,831,212,0
upsets,3,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"100,100,95,90,85,80,75,70","2,1,4,3","100,90,80",table,50000,508,8128,500,500,956,4,824,0,0,33520,8628,670,172,0
upsets,3,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"100,100,95,90,85,80,75,70","2,1,4,3","100,90,80",threshold,50000,513,8213,490,490,974,6,776,0,0,33852,8703,677,174,0
upsets,4,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"100,100,95,90,85,80,75,70","2,1,4,3","100,90,80",fixed,50000,632,10112,520,520,693,4,0,0,0,41600,10632,832,212,0
upsets,4,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"100,100,95,90,85,80,75,70","2,1,4,3","100,90,80",table,50000,508,8128,525,525,458,4,824,0,0,33545,8653,670,173,0
upsets,4,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"100,100,95,90,85,80,75,70","2,1,4,3","100,90,80",threshold,50000,513,8213,519,519,527,3,776,0,0,33881,8732,677,174,0
upsets,5,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"100,100,95,90,85,80,75,70","2,1,4,3","100,90,80",fixed,50000,632,10112,500,500,617,5,0,0,0,41580,10612,831,212,0
upsets,5,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"100,100,95,90,85,80,75,70","2,1,4,3","100,90,80",table,50000,508,8128,484,484,720,6,824,0,0,33504,8612,670,172,0
upsets,5,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"100,100,95,90,85,80,75,70","2,1,4,3","100,90,80",threshold,50000,513,8213,491,491,584,4,776,0,0,33853,8704,677,174,0
upsets,6,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"100,100,95,90,85,80,75,70","2,1,4,3","100,90,80",fixed,50000,632,10112,511,511,1091,8,0,0,0,41591,10623,831,212,0
upsets,6,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"100,100,95,90,85,80,75,70","2,1,4,3","100,90,80",table,50000,508,8128,516,516,669,6,824,0,0,33536,8644,670,172,0
