seed,strategy_id,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
1,0,fixed,500000,277,70912,409,409,9636,50,0,0,0,284334,71321,568,142,0
1,1,table,500000,208,53248,401,401,7535,51,43,0,0,213601,53649,427,107,0
1,2,threshold,500000,208,53248,401,401,7434,51,6,0,0,213601,53649,427,107,0
1,3,measured,500000,444,113764,416,416,15417,49,2,0,0,455914,114180,911,228,0
2,0,fixed,500000,277,70912,405,405,8683,46,0,0,0,284330,71317,568,142,0
2,1,table,500000,208,53248,392,392,6929,47,43,0,0,213592,53640,427,107,0
2,2,threshold,500000,208,53248,394,394,6925,46,6,0,0,213594,53642,427,107,0
2,3,measured,500000,441,112995,395,395,15110,48,2,0,0,452815,113390,905,226,0
3,0,fixed,500000,277,70912,398,398,9358,52,0,0,0,284323,71310,568,142,0
3,1,table,500000,208,53248,390,390,7783,51,43,0,0,213590,53638,427,107,0
3,2,threshold,500000,208,53248,386,386,7806,53,6,0,0,213586,53634,427,107,0
3,3,measured,500000,446,114315,404,404,15116,48,1,0,0,458107,114719,916,229,0
4,0,fixed,500000,277,70912,399,399,7342,43,0,0,0,284324,71311,568,142,0
4,1,table,500000,208,53248,392,392,6212,47,43,0,0,213592,53640,427,107,0
4,2,threshold,500000,208,53248,388,388,6216,47,6,0,0,213588,53636,427,107,0
4,3,measured,500000,446,114315,405,405,12398,46,1,0,0,458108,114720,916,229,0
5,0,fixed,500000,277,70912,405,405,8925,51,0,0,0,284330,71317,568,142,0
5,1,table,500000,208,53248,391,391,7349,57,43,0,0,213591,53639,427,107,0
5,2,threshold,500000,208,53248,387,387,7400,59,6,0,0,213587,53635,427,107,0
5,3,measured,500000,446,114315,425,425,12872,46,1,0,0,458128,114740,916,229,0
6,0,fixed,500000,277,70912,386,386,10118,45,0,0,0,284311,71298,568,142,0
6,1,table,500000,208,53248,397,397,7169,41,43,0,0,213597,53645,427,107,0
6,2,threshold,500000,208,53248,399,399,7149,40,6,0,0,213599,53647,427,107,0
6,3,measured,500000,446,114315,395,395,16732,42,1,0,0,458098,114710,916,229,0
7,0,fixed,500000,277,70912,390,390,11325,47,0,0,0,284315,71302,568,142,0
7,1,table,500000,208,53248,394,394,8171,47,43,0,0,213594,53642,427,107,0
7,2,threshold,500000,208,53248,392,392,8235,48,6,0,0,213592,53640,427,107,0
7,3,measured,500000,446,114315,406,406,17738,45,1,0,0,458109,114721,916,229,0
8,0,fixed,500000,277,70912,400,400,9890,48,0,0,0,284325,71312,568,142,0
8,1,table,500000,208,53248,389,389,7605,51,43,0,0,213589,53637,427,107,0
8,2,threshold,500000,208,53248,387,387,7592,52,6,0,0,213587,53635,427,107,0
8,3,measured,500000,441,112995,417,417,14452,45,2,0,0,452837,113412,905,226,0
9,0,fixed,500000,277,70912,382,382,11480,61,0,0,0,284307,71294,568,142,0
9,1,table,500000,208,53248,370,370,9060,62,43,0,0,213570,53618,427,107,0
9,2,threshold,500000,208,53248,374,374,8963,60,6,0,0,213574,53622,427,107,0
9,3,measured,500000,446,114315,406,406,16479,53,1,0,0,458109,114721,916,229,0
10,0,fixed,500000,277,70912,391,391,9118,54,0,0,0,284316,71303,568,142,0
10,1,table,500000,208,53248,389,389,6724,55,43,0,0,213589,53637,427,107,0
10,2,threshold,500000,208,53248,389,389,6753,55,6,0,0,213589,53637,427,107,0
10,3,measured,500000,444,113764,411,411,13997,52,2,0,0,455909,114175,911,228,0
