event_id,event_type,time_cycle,address,fault_mask,pair_id,pair_role,cluster_id,cluster_role,cluster_interleave_depth,cluster_injection_skew,preferred_cycle,actual_cycle,cycle_shift
30,single,555,169,0020000000,,,,,,,555,555,0
242,single,3202,194,0100000000,,,,,,,3202,3202,0
51,single,3263,111,1000000000,,,,,,,3263,3263,0
456,paired,3492,88,0000000004,28,first,,,,,3492,3492,0
457,paired,3562,88,0200000000,28,second,,,,,3562,3562,0
155,single,3814,210,0400000000,,,,,,,3814,3814,0
80,single,3940,163,0010000000,,,,,,,3940,3940,0
347,single,4444,55,0000000002,,,,,,,4444,4444,0
72,single,4607,7,0000000020,,,,,,,4607,4607,0
190,single,5535,29,1000000000,,,,,,,5535,5535,0
187,single,5613,245,0000100000,,,,,,,5613,5613,0
548,paired,6231,154,0000000400,74,first,,,,,6231,6231,0
549,paired,6421,154,0000080000,74,second,,,,,6421,6421,0
107,single,6890,181,2000000000,,,,,,,6890,6890,0
314,single,7230,138,0200000000,,,,,,,7230,7230,0
179,single,8308,17,0080000000,,,,,,,8308,8308,0
6,single,10758,4,0001000000,,,,,,,10758,10758,0
304,single,10966,204,0000800000,,,,,,,10966,10966,0
560,paired,12242,98,0000400000,80,first,,,,,12242,12242,0
561,paired,12438,98,0000800000,80,second,,,,,12438,12438,0
418,paired,12877,7,0000000040,9,first,,,,,12877,12877,0
419,paired,12966,7,0000200000,9,second,,,,,12966,12966,0
88,single,14183,162,2000000000,,,,,,,14183,14183,0
406,paired,14885,33,1000000000,3,first,,,,,14885,14885,0
407,paired,15065,33,0002000000,3,second,,,,,15065,15065,0
404,paired,15274,90,0000000200,2,first,,,,,15274,15274,0
405,paired,15451,90,0000040000,2,second,,,,,15451,15451,0
269,single,16165,52,0800000000,,,,,,,16165,16165,0
115,single,16544,188,0000000400,,,,,,,16544,16544,0
512,paired,16590,111,0000000001,56,first,,,,,16590,16590,0
513,paired,16886,111,0000000008,56,second,,,,,16886,16886,0
534,paired,18461,44,0000004000,67,first,,,,,18461,18461,0
535,paired,18572,44,0000040000,67,second,,,,,18572,18572,0
522,paired,20635,231,0000000004,61,first,,,,,20635,20635,0
523,paired,20922,231,0000200000,61,second,,,,,20922,20922,0
264,single,22330,76,0000004000,,,,,,,22330,22330,0
163,single,23625,188,0020000000,,,,,,,23625,23625,0
596,paired,24587,165,0000000002,98,first,,,,,24587,24587,0
597,paired,24864,165,0000000800,98,second,,,,,24864,24864,0
171,single,24908,227,2000000000,,,,,,,24908,24908,0
468,paired,25334,99,0100000000,34,first,,,,,25334,25334,0
578,paired,25365,117,0000000200,89,first,,,,,25365,25365,0
469,paired,25480,99,0080000000,34,second,,,,,25480,25480,0
579,paired,25630,117,0000000100,89,second,,,,,25630,25630,0
140,single,25664,159,0008000000,,,,,,,25664,25664,0
556,paired,26334,180,0010000000,78,first,,,,,26334,26334,0
302,single,26377,52,0000080000,,,,,,,26377,26377,0
557,paired,26473,180,0000000040,78,second,,,,,26473,26473,0
298,single,28583,143,0000200000,,,,,,,28583,28583,0
294,single,29683,25,1000000000,,,,,,,29683,29683,0
86,single,30138,46,1000000000,,,,,,,30138,30138,0
398,single,31568,21,0008000000,,,,,,,31568,31568,0
360,single,31713,23,0200000000,,,,,,,31713,31713,0
182,single,31860,119,0080000000,,,,,,,31860,31860,0
342,single,33137,168,0000008000,,,,,,,33137,33137,0
90,single,33518,47,0000008000,,,,,,,33518,33518,0
55,single,34728,199,0000040000,,,,,,,34728,34728,0
39,single,37859,197,0000200000,,,,,,,37859,37859,0
