replay_name,fault_seed,replay_strategy,measured_control,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
measured_table_weighted,1,table,results/paper/measured_control/no_clusters_multiseed/seed_0001/control_levels_measured_table.csv,table,500000,345,88320,478,478,11,1,16,0,0,354103,88798,708,177,0
measured_table_corrected_only,1,table,results/paper/measured_control/no_clusters_multiseed/seed_0001/control_levels_measured_table_corrected_only.csv,table,500000,311,79729,466,466,471,3,17,0,0,319692,80195,639,160,0
measured_table_weighted,2,table,results/paper/measured_control/no_clusters_multiseed/seed_0002/control_levels_measured_table.csv,table,500000,344,88108,476,476,232,2,16,0,0,353250,88584,706,177,0
measured_table_corrected_only,2,table,results/paper/measured_control/no_clusters_multiseed/seed_0002/control_levels_measured_table_corrected_only.csv,table,500000,309,79336,471,471,499,2,14,0,0,318121,79807,636,159,0
measured_table_weighted,3,table,results/paper/measured_control/no_clusters_multiseed/seed_0003/control_levels_measured_table.csv,table,500000,341,87364,457,457,792,9,15,0,0,350252,87821,700,175,0
measured_table_corrected_only,3,table,results/paper/measured_control/no_clusters_multiseed/seed_0003/control_levels_measured_table_corrected_only.csv,table,500000,312,80081,451,451,1197,12,12,0,0,321086,80532,642,161,0
measured_table_weighted,4,table,results/paper/measured_control/no_clusters_multiseed/seed_0004/control_levels_measured_table.csv,table,500000,361,92455,469,469,833,3,14,0,0,370650,92924,741,185,0
measured_table_corrected_only,4,table,results/paper/measured_control/no_clusters_multiseed/seed_0004/control_levels_measured_table_corrected_only.csv,table,500000,314,80384,466,466,683,5,12,0,0,322316,80850,644,161,0
measured_table_weighted,5,table,results/paper/measured_control/no_clusters_multiseed/seed_0005/control_levels_measured_table.csv,table,500000,334,85504,464,464,846,4,12,0,0,342814,85968,685,171,0
measured_table_corrected_only,5,table,results/paper/measured_control/no_clusters_multiseed/seed_0005/control_levels_measured_table_corrected_only.csv,table,500000,317,81152,463,463,624,4,14,0,0,325388,81615,650,163,0
measured_table_weighted,6,table,results/paper/measured_control/no_clusters_multiseed/seed_0006/control_levels_measured_table.csv,table,500000,339,86784,468,468,207,3,14,0,0,347943,87252,695,174,0
measured_table_corrected_only,6,table,results/paper/measured_control/no_clusters_multiseed/seed_0006/control_levels_measured_table_corrected_only.csv,table,500000,316,81006,472,472,152,1,14,0,0,324809,81478,649,162,0
measured_table_weighted,7,table,results/paper/measured_control/no_clusters_multiseed/seed_0007/control_levels_measured_table.csv,table,500000,343,87808,467,467,1199,2,12,0,0,352042,88275,704,176,0
measured_table_corrected_only,7,table,results/paper/measured_control/no_clusters_multiseed/seed_0007/control_levels_measured_table_corrected_only.csv,table,500000,320,81920,469,469,1070,2,13,0,0,328469,82389,656,164,0
measured_table_weighted,8,table,results/paper/measured_control/no_clusters_multiseed/seed_0008/control_levels_measured_table.csv,table,500000,355,91130,464,464,1175,4,14,0,0,365336,91594,730,183,0
measured_table_corrected_only,8,table,results/paper/measured_control/no_clusters_multiseed/seed_0008/control_levels_measured_table_corrected_only.csv,table,500000,311,79666,455,455,1207,5,14,0,0,319427,80121,638,160,0
measured_table_weighted,9,table,results/paper/measured_control/no_clusters_multiseed/seed_0009/control_levels_measured_table.csv,table,500000,331,84823,462,462,647,5,13,0,0,340085,85285,680,170,0
measured_table_corrected_only,9,table,results/paper/measured_control/no_clusters_multiseed/seed_0009/control_levels_measured_table_corrected_only.csv,table,500000,315,80770,466,466,524,4,12,0,0,323860,81236,647,162,0
measured_table_weighted,10,table,results/paper/measured_control/no_clusters_multiseed/seed_0010/control_levels_measured_table.csv,table,500000,344,88064,460,460,1238,6,14,0,0,353060,88524,706,177,0
measured_table_corrected_only,10,table,results/paper/measured_control/no_clusters_multiseed/seed_0010/control_levels_measured_table_corrected_only.csv,table,500000,312,79943,457,457,996,6,12,0,0,320541,80400,641,160,0
