source_strategy,window_start,window_end,window_cycles,schedule_cycle,corrected_delta,uncorrectable_detection_delta,corrected_per_100k_cycles,uncorrectable_detections_per_100k_cycles,measured_score,measured_level,true_total_events,true_single_events,true_paired_events,true_cluster_events
table,0,25000,25000,25000,23,2,92.0,8.0,92.0,3,26,20,6,0
table,25000,50000,25000,50000,40,25,160.0,100.0,160.0,6,42,36,6,0
table,50000,75000,25000,75000,49,34,196.0,136.0,196.0,7,53,49,4,0
table,75000,100000,25000,100000,37,40,148.0,160.0,148.0,5,41,37,4,0
table,100000,125000,25000,125000,23,42,92.0,168.0,92.0,3,24,24,0,0
table,125000,150000,25000,150000,30,50,120.0,200.0,120.0,4,33,27,6,0
table,150000,175000,25000,175000,24,65,96.0,260.0,96.0,3,27,19,8,0
table,175000,200000,25000,200000,21,66,84.0,264.0,84.0,3,19,17,2,0
table,200000,225000,25000,225000,18,60,72.0,240.0,72.0,3,21,14,7,0
table,225000,250000,25000,250000,20,65,80.0,260.0,80.0,3,20,17,3,0
table,250000,275000,25000,275000,15,70,60.0,280.0,60.0,2,14,10,4,0
table,275000,300000,25000,300000,7,65,28.0,260.0,28.0,1,8,4,4,0
table,300000,325000,25000,325000,16,70,64.0,280.0,64.0,2,15,13,2,0
table,325000,350000,25000,350000,14,65,56.0,260.0,56.0,2,14,12,2,0
table,350000,375000,25000,375000,21,70,84.0,280.0,84.0,3,23,19,4,0
table,375000,400000,25000,400000,24,77,96.0,308.0,96.0,3,27,19,8,0
table,400000,425000,25000,425000,12,78,48.0,312.0,48.0,2,13,13,0,0
table,425000,450000,25000,450000,15,83,60.0,332.0,60.0,2,16,15,1,0
table,450000,475000,25000,475000,14,65,56.0,260.0,56.0,2,12,7,5,0
table,475000,500000,25000,500000,28,82,112.0,328.0,112.0,4,32,28,4,0
