source_strategy,window_start,window_end,window_cycles,schedule_cycle,corrected_delta,uncorrectable_detection_delta,corrected_per_100k_cycles,uncorrectable_detections_per_100k_cycles,measured_score,measured_level,true_total_events,true_single_events,true_paired_events,true_cluster_events
table,0,25000,25000,25000,33,0,132.0,0.0,132.0,5,34,30,4,0
table,25000,50000,25000,50000,43,10,172.0,40.0,182.0,6,45,35,10,0
table,50000,75000,25000,75000,39,28,156.0,112.0,184.0,6,48,42,6,0
table,75000,100000,25000,100000,38,55,152.0,220.0,207.0,7,37,29,8,0
table,100000,125000,25000,125000,33,56,132.0,224.0,188.0,7,38,34,4,0
table,125000,150000,25000,150000,24,56,96.0,224.0,152.0,5,24,22,2,0
table,150000,175000,25000,175000,17,47,68.0,188.0,115.0,4,18,14,4,0
table,175000,200000,25000,200000,22,43,88.0,172.0,131.0,5,25,17,8,0
table,200000,225000,25000,225000,23,56,92.0,224.0,148.0,5,21,19,2,0
table,225000,250000,25000,250000,10,52,40.0,208.0,92.0,3,10,8,2,0
table,250000,275000,25000,275000,22,56,88.0,224.0,144.0,5,21,21,0,0
table,275000,300000,25000,300000,7,52,28.0,208.0,80.0,3,9,7,2,0
table,300000,325000,25000,325000,21,56,84.0,224.0,140.0,5,21,14,7,0
table,325000,350000,25000,350000,24,55,96.0,220.0,151.0,5,25,18,7,0
table,350000,375000,25000,375000,10,70,40.0,280.0,110.0,4,10,9,1,0
table,375000,400000,25000,400000,20,70,80.0,280.0,150.0,5,20,19,1,0
table,400000,425000,25000,425000,5,65,20.0,260.0,85.0,3,5,5,0,0
table,425000,450000,25000,450000,13,77,52.0,308.0,129.0,5,15,13,2,0
table,450000,475000,25000,475000,17,78,68.0,312.0,146.0,5,18,13,5,0
table,475000,500000,25000,500000,33,83,132.0,332.0,215.0,7,36,31,5,0
