comparison,lhs,rhs,metric,n,lhs_mean,rhs_mean,delta_mean,delta_std,ci95_low,ci95_high
measured_table_w0p10 - measured_table_w0p00,measured_table_w0p10,measured_table_w0p00,busy_percent,10,16.68,16.12,0.5600000000000003,0.14298407059684762,0.4577224638544716,0.662277536145529
measured_table_w0p10 - measured_table_w0p00,measured_table_w0p10,measured_table_w0p00,scrub_cycles,10,324.4,313.7,10.7,3.093002855909879,8.487552766730921,12.912447233269077
measured_table_w0p10 - measured_table_w0p00,measured_table_w0p10,measured_table_w0p00,corrected,10,466.6,463.6,3.0,5.773502691896257,-1.1298280835889525,7.1298280835889525
measured_table_w0p10 - measured_table_w0p00,measured_table_w0p10,measured_table_w0p00,uncorrectable_detections,10,615.9,742.3,-126.4,248.57603352786134,-304.208228202859,51.40822820285902
measured_table_w0p10 - measured_table_w0p00,measured_table_w0p10,measured_table_w0p00,unique_uncorrectable_words,10,3.9,4.4,-0.5,1.7795130420052185,-1.7728985034165134,0.7728985034165134
measured_table_w0p25 - measured_table_w0p00,measured_table_w0p25,measured_table_w0p00,busy_percent,10,17.65,16.12,1.5299999999999998,0.5558776843874913,1.1323766862971945,1.9276233137028052
measured_table_w0p25 - measured_table_w0p00,measured_table_w0p25,measured_table_w0p00,scrub_cycles,10,343.7,313.7,30.0,10.509255180289632,22.482654032173322,37.51734596782668
measured_table_w0p25 - measured_table_w0p00,measured_table_w0p25,measured_table_w0p00,corrected,10,466.5,463.6,2.9,5.342700108039422,-0.9216718906782151,6.7216718906782145
measured_table_w0p25 - measured_table_w0p00,measured_table_w0p25,measured_table_w0p00,uncorrectable_detections,10,718.0,742.3,-24.3,259.7383512520073,-210.09271451475163,161.4927145147516
measured_table_w0p25 - measured_table_w0p00,measured_table_w0p25,measured_table_w0p00,unique_uncorrectable_words,10,3.9,4.4,-0.5,1.509230856356236,-1.579563708171037,0.579563708171037
measured_table_w0p50 - measured_table_w0p00,measured_table_w0p50,measured_table_w0p00,busy_percent,10,19.85,16.12,3.73,1.5018877010837612,2.655688903715502,4.804311096284498
measured_table_w0p50 - measured_table_w0p00,measured_table_w0p50,measured_table_w0p00,scrub_cycles,10,386.4,313.7,72.7,29.23107174832212,51.790803717980936,93.60919628201907
measured_table_w0p50 - measured_table_w0p00,measured_table_w0p50,measured_table_w0p00,corrected,10,469.3,463.6,5.7,6.377913277693401,1.1378326685663973,10.262167331433602
