replay_name,fault_seed,replay_strategy,measured_control,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
measured_table_w0p00,1,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0001/w0p00/control_levels_measured_table_w0p00.csv,table,500000,311,79729,466,466,471,3,17,0,0,319692,80195,639,160,0
measured_table_w0p10,1,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0001/w0p10/control_levels_measured_table_w0p10.csv,table,500000,325,83200,472,472,216,1,16,0,0,333597,83672,667,167,0
measured_table_w0p25,1,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0001/w0p25/control_levels_measured_table_w0p25.csv,table,500000,345,88320,478,478,11,1,16,0,0,354103,88798,708,177,0
measured_table_w0p50,1,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0001/w0p50/control_levels_measured_table_w0p50.csv,table,500000,400,102413,480,480,0,0,12,0,0,410529,102893,821,205,0
measured_table_w0p75,1,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0001/w0p75/control_levels_measured_table_w0p75.csv,table,500000,431,110484,480,480,0,0,7,0,0,442847,110964,885,221,0
measured_table_w1p00,1,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0001/w1p00/control_levels_measured_table_w1p00.csv,table,500000,442,113267,476,476,38,0,2,0,0,453984,113743,907,227,0
measured_table_w0p00,2,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0002/w0p00/control_levels_measured_table_w0p00.csv,table,500000,309,79336,471,471,499,2,14,0,0,318121,79807,636,159,0
measured_table_w0p10,2,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0002/w0p10/control_levels_measured_table_w0p10.csv,table,500000,323,82688,471,471,492,4,15,0,0,331546,83159,663,166,0
measured_table_w0p25,2,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0002/w0p25/control_levels_measured_table_w0p25.csv,table,500000,344,88108,476,476,232,2,16,0,0,353250,88584,706,177,0
measured_table_w0p50,2,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0002/w0p50/control_levels_measured_table_w0p50.csv,table,500000,386,98816,474,474,428,1,12,0,0,396124,99290,792,198,0
measured_table_w0p75,2,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0002/w0p75/control_levels_measured_table_w0p75.csv,table,500000,419,107425,475,475,331,2,9,0,0,430594,107900,861,215,0
measured_table_w1p00,2,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0002/w1p00/control_levels_measured_table_w1p00.csv,table,500000,430,110199,475,475,344,2,8,0,0,441699,110674,883,221,0
measured_table_w0p00,3,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0003/w0p00/control_levels_measured_table_w0p00.csv,table,500000,312,80081,451,451,1197,12,12,0,0,321086,80532,642,161,0
measured_table_w0p10,3,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0003/w0p10/control_levels_measured_table_w0p10.csv,table,500000,322,82661,459,459,707,9,10,0,0,331424,83120,662,166,0
measured_table_w0p25,3,table,results/paper/measured_control/no_clusters_weight_sweep/seed_0003/w0p25/control_levels_measured_table_w0p25.csv,table,500000,341,87364,457,457,792,9,15,0,0,350252,87821,700,175,0
