source_strategy,window_start,window_end,window_cycles,schedule_cycle,corrected_delta,uncorrectable_detection_delta,corrected_per_100k_cycles,uncorrectable_detections_per_100k_cycles,measured_score,measured_level,true_total_events,true_single_events,true_paired_events,true_cluster_events
table,0,25000,25000,25000,44,13,176.0,52.0,202.0,7,49,41,8,0
table,25000,50000,25000,50000,47,15,188.0,60.0,218.0,7,46,42,4,0
table,50000,75000,25000,75000,45,14,180.0,56.0,208.0,7,44,36,8,0
table,75000,100000,25000,100000,45,15,180.0,60.0,210.0,7,46,42,4,0
table,100000,125000,25000,125000,27,14,108.0,56.0,136.0,5,28,24,4,0
table,125000,150000,25000,150000,30,14,120.0,56.0,148.0,5,28,22,6,0
table,150000,175000,25000,175000,31,18,124.0,72.0,160.0,6,34,24,10,0
table,175000,200000,25000,200000,16,28,64.0,112.0,120.0,4,15,12,3,0
table,200000,225000,25000,225000,15,28,60.0,112.0,116.0,4,15,11,4,0
table,225000,250000,25000,250000,13,26,52.0,104.0,104.0,4,13,10,3,0
table,250000,275000,25000,275000,18,34,72.0,136.0,140.0,5,21,17,4,0
table,275000,300000,25000,300000,8,39,32.0,156.0,110.0,4,7,7,0,0
table,300000,325000,25000,325000,16,42,64.0,168.0,148.0,5,15,11,4,0
table,325000,350000,25000,350000,27,39,108.0,156.0,186.0,7,27,23,4,0
table,350000,375000,25000,375000,9,42,36.0,168.0,120.0,4,12,8,4,0
table,375000,400000,25000,400000,22,30,88.0,120.0,148.0,5,19,17,2,0
table,400000,425000,25000,425000,5,26,20.0,104.0,72.0,3,5,3,2,0
table,425000,450000,25000,450000,7,28,28.0,112.0,84.0,3,9,5,4,0
table,450000,475000,25000,475000,17,26,68.0,104.0,120.0,4,17,15,2,0
table,475000,500000,25000,500000,30,28,120.0,112.0,176.0,6,30,30,0,0
