event_id,event_type,time_cycle,address,fault_mask,pair_id,pair_role,cluster_id,cluster_role,cluster_interleave_depth,cluster_injection_skew,preferred_cycle,actual_cycle,cycle_shift
106,paired,187,210,0000000200,13,first,,,,,187,187,0
65,single,423,61,0400000000,,,,,,,423,423,0
107,paired,424,210,0000002000,13,second,,,,,424,424,0
86,paired,974,234,0800000000,3,first,,,,,974,974,0
87,paired,1184,234,0000800000,3,second,,,,,1184,1184,0
77,single,1451,183,0000000040,,,,,,,1451,1451,0
21,single,1835,42,0000040000,,,,,,,1835,1835,0
37,single,2565,124,0200000000,,,,,,,2565,2565,0
46,single,3071,137,0000000008,,,,,,,3071,3071,0
51,single,3648,82,4000000000,,,,,,,3648,3648,0
53,single,5378,250,0800000000,,,,,,,5378,5378,0
55,single,5426,152,0000400000,,,,,,,5426,5426,0
13,single,5511,143,0200000000,,,,,,,5511,5511,0
9,single,6023,153,0000000001,,,,,,,6023,6023,0
92,paired,6148,247,0000004000,6,first,,,,,6148,6148,0
93,paired,6441,247,0040000000,6,second,,,,,6441,6441,0
28,single,6469,217,0000002000,,,,,,,6469,6469,0
66,single,7373,38,0200000000,,,,,,,7373,7373,0
29,single,7541,28,0000000400,,,,,,,7541,7541,0
59,single,7590,222,0004000000,,,,,,,7590,7590,0
40,single,7734,20,0080000000,,,,,,,7734,7734,0
32,single,8056,149,0004000000,,,,,,,8056,8056,0
96,paired,8714,83,0002000000,8,first,,,,,8714,8714,0
97,paired,8850,83,2000000000,8,second,,,,,8850,8850,0
25,single,8939,81,0000200000,,,,,,,8939,8939,0
39,single,9248,161,1000000000,,,,,,,9248,9248,0
1,single,10012,10,0002000000,,,,,,,10012,10012,0
78,single,10205,39,0000000080,,,,,,,10205,10205,0
12,single,10346,132,0000000004,,,,,,,10346,10346,0
6,single,10538,190,0000000020,,,,,,,10538,10538,0
27,single,10789,148,1000000000,,,,,,,10789,10789,0
79,single,10919,113,0000080000,,,,,,,10919,10919,0
63,single,11176,167,0080000000,,,,,,,11176,11176,0
17,single,11649,164,0800000000,,,,,,,11649,11649,0
18,single,12507,51,0000000008,,,,,,,12507,12507,0
57,single,12840,198,0000004000,,,,,,,12840,12840,0
38,single,12976,213,0000010000,,,,,,,12976,12976,0
44,single,13343,173,0002000000,,,,,,,13343,13343,0
35,single,13532,127,0008000000,,,,,,,13532,13532,0
0,single,14384,202,0040000000,,,,,,,14384,14384,0
34,single,14696,251,0000000004,,,,,,,14696,14696,0
67,single,14901,182,0000004000,,,,,,,14901,14901,0
8,single,15085,242,0000020000,,,,,,,15085,15085,0
71,single,15223,174,0000000100,,,,,,,15223,15223,0
102,paired,16225,147,0000000800,11,first,,,,,16225,16225,0
103,paired,16316,147,0000000200,11,second,,,,,16316,16316,0
23,single,16543,210,0000000010,,,,,,,16543,16543,0
24,single,16710,227,0000040000,,,,,,,16710,16710,0
108,paired,16986,192,0000000400,14,first,,,,,16986,16986,0
109,paired,17262,192,0000010000,14,second,,,,,17262,17262,0
76,single,19545,11,4000000000,,,,,,,19545,19545,0
