config,metric,n,delta_measured_minus_fixed_mean,delta_std,ci95_low,ci95_high
corrected_only_2c_0d,busy_per_mille,5,-4.400000,5.128353,-8.895199,0.095199
corrected_only_2c_0d,new_due_count,5,0.600000,1.516575,-0.729337,1.929337
corrected_only_2c_0d,repeated_due_detections,5,4.400000,78.691169,-64.575850,73.375850
corrected_only_2c_0d,unique_uncorrectable_words,5,0.200000,1.483240,-1.100117,1.500117
corrected_only_2c_0d,uncorrectable_detections,5,5.000000,80.015623,-65.136786,75.136786
corrected_only_2c_0d,corrected,5,-0.400000,3.507136,-3.474140,2.674140
ded_heavy_1c_2d,busy_per_mille,5,61.000000,0.000000,61.000000,61.000000
ded_heavy_1c_2d,new_due_count,5,0.200000,1.483240,-1.100117,1.500117
ded_heavy_1c_2d,repeated_due_detections,5,311.400000,130.139540,197.327663,425.472337
ded_heavy_1c_2d,unique_uncorrectable_words,5,0.400000,1.516575,-0.929337,1.729337
ded_heavy_1c_2d,uncorrectable_detections,5,311.600000,131.075551,196.707214,426.492786
ded_heavy_1c_2d,corrected,5,-1.000000,3.741657,-4.279707,2.279707
default_2c_1d,busy_per_mille,5,61.000000,0.000000,61.000000,61.000000
default_2c_1d,new_due_count,5,0.200000,1.483240,-1.100117,1.500117
default_2c_1d,repeated_due_detections,5,311.400000,130.139540,197.327663,425.472337
default_2c_1d,unique_uncorrectable_words,5,0.400000,1.516575,-0.929337,1.729337
default_2c_1d,uncorrectable_detections,5,311.600000,131.075551,196.707214,426.492786
default_2c_1d,corrected,5,-1.000000,3.741657,-4.279707,2.279707
