strategy,window_start,window_end,window_cycles,scrub_delta,corrected_delta,uncorrectable_detection_delta,read_delta,write_delta,corrected_per_100k_cycles,uncorrectable_detections_per_100k_cycles,read_per_100k_cycles,write_per_100k_cycles,true_total_events,true_single_events,true_paired_events,true_cluster_events,true_shifted_events
fixed,0,25000,25000,19,25,0,4864,25,100.0,0.0,19456.0,100.0,26,20,6,0,0
fixed,25000,50000,25000,20,31,0,5120,31,124.0,0.0,20480.0,124.0,31,29,2,0,0
fixed,50000,75000,25000,20,41,10,5120,41,164.0,40.0,20480.0,164.0,43,29,14,0,0
fixed,75000,100000,25000,20,43,0,5120,43,172.0,0.0,20480.0,172.0,43,39,4,0,0
fixed,100000,125000,25000,20,18,0,5120,18,72.0,0.0,20480.0,72.0,24,18,6,0,0
fixed,125000,150000,25000,20,42,0,5120,42,168.0,0.0,20480.0,168.0,38,34,4,0,0
fixed,150000,175000,25000,20,32,0,5120,32,128.0,0.0,20480.0,128.0,33,25,8,0,0
fixed,175000,200000,25000,21,24,0,5376,24,96.0,0.0,21504.0,96.0,21,17,4,0,0
fixed,200000,225000,25000,20,14,0,5120,14,56.0,0.0,20480.0,56.0,14,12,2,0,0
fixed,225000,250000,25000,20,17,15,5120,17,68.0,60.0,20480.0,68.0,18,14,4,0,0
fixed,250000,275000,25000,20,18,8,5120,18,72.0,32.0,20480.0,72.0,18,18,0,0,0
fixed,275000,300000,25000,20,11,0,5120,11,44.0,0.0,20480.0,44.0,11,11,0,0,0
fixed,300000,325000,25000,20,18,0,5120,18,72.0,0.0,20480.0,72.0,18,18,0,0,0
fixed,325000,350000,25000,20,24,0,5120,24,96.0,0.0,20480.0,96.0,24,22,2,0,1
fixed,350000,375000,25000,20,20,0,5120,20,80.0,0.0,20480.0,80.0,20,16,4,0,0
fixed,375000,400000,25000,20,23,0,5120,23,92.0,0.0,20480.0,92.0,24,20,4,0,0
fixed,400000,425000,25000,21,13,0,5376,13,52.0,0.0,21504.0,52.0,12,8,4,0,0
fixed,425000,450000,25000,20,8,0,5120,8,32.0,0.0,20480.0,32.0,8,6,2,0,0
fixed,450000,475000,25000,20,13,0,5120,13,52.0,0.0,20480.0,52.0,13,13,0,0,0
fixed,475000,500000,25000,20,39,6,5120,39,156.0,24.0,20480.0,156.0,41,31,10,0,0
