event_id,event_type,time_cycle,address,fault_mask,pair_id,pair_role,preferred_cycle,actual_cycle,cycle_shift
268,single,503,233,0000001000,,,503,503,0
156,single,532,59,0000008000,,,532,532,0
313,single,633,160,0000000200,,,633,633,0
290,single,2647,73,0000400000,,,2647,2647,0
371,single,2900,150,0000000008,,,2900,2900,0
320,single,3040,235,0000000020,,,3040,3040,0
350,single,3402,83,0008000000,,,3402,3402,0
450,paired,3421,134,0000000002,25,first,3421,3421,0
270,single,3902,156,0000000004,,,3902,3902,0
338,single,4208,115,0000000800,,,4208,4208,0
451,paired,4361,134,0000040000,25,second,4361,4361,0
186,single,4677,101,0000100000,,,4677,4677,0
219,single,5806,180,0000000800,,,5806,5806,0
460,paired,7804,127,0004000000,30,first,7804,7804,0
231,single,8225,95,0000000200,,,8225,8225,0
37,single,8638,201,0080000000,,,8638,8638,0
149,single,8916,47,0000200000,,,8916,8916,0
461,paired,8921,127,0000000080,30,second,8921,8921,0
28,single,9069,10,0000800000,,,9069,9069,0
347,single,10055,61,0000000002,,,10055,10055,0
206,single,10325,66,0000000200,,,10325,10325,0
366,single,10411,97,0040000000,,,10411,10411,0
343,single,10693,243,0008000000,,,10693,10693,0
41,single,11810,87,0000000040,,,11810,11810,0
46,single,12396,82,0000000080,,,12396,12396,0
398,single,13028,130,0400000000,,,13028,13028,0
112,single,14154,118,0200000000,,,14154,14154,0
215,single,15305,4,0000400000,,,15305,15305,0
169,single,16420,73,4000000000,,,16420,16420,0
474,paired,17217,94,0000000400,37,first,17217,17217,0
102,single,18478,195,0020000000,,,18478,18478,0
26,single,19514,88,0000008000,,,19514,19514,0
475,paired,19526,94,0000200000,37,second,19526,19526,0
187,single,20213,131,0000200000,,,20213,20213,0
59,single,20717,248,0020000000,,,20717,20717,0
289,single,22052,77,0000000080,,,22052,22052,0
365,single,22351,73,0040000000,,,22351,22351,0
272,single,25974,90,0000000200,,,25974,25974,0
115,single,26373,185,0000000400,,,26373,26373,0
44,single,27373,184,0000010000,,,27373,27373,0
127,single,29563,161,0001000000,,,29563,29563,0
48,single,33157,118,0000000040,,,33157,33157,0
250,single,33645,185,0000100000,,,33645,33645,0
160,single,35085,107,0000000800,,,35085,35085,0
148,single,35271,112,0000000800,,,35271,35271,0
349,single,35401,95,0004000000,,,35401,35401,0
305,single,35531,24,0000400000,,,35531,35531,0
306,single,35631,59,0000010000,,,35631,35631,0
157,single,36090,27,0000002000,,,36090,36090,0
436,paired,36941,153,0000000800,18,first,36941,36941,0
374,single,37286,212,1000000000,,,37286,37286,0
437,paired,37743,153,0000000200,18,second,37743,37743,0
198,single,39403,200,0002000000,,,39403,39403,0
65,single,40127,171,0002000000,,,40127,40127,0
324,single,41446,97,0100000000,,,41446,41446,0
128,single,41814,53,0000400000,,,41814,41814,0
227,single,42681,190,0000000008,,,42681,42681,0
284,single,43178,100,0000080000,,,43178,43178,0
162,single,46825,203,0000100000,,,46825,46825,0
245,single,47780,89,0004000000,,,47780,47780,0
274,single,48028,38,0200000000,,,48028,48028,0
31,single,49071,2,0000400000,,,49071,49071,0
78,single,50332,49,0000200000,,,50332,50332,0
173,single,50764,141,0200000000,,,50764,50764,0
129,single,53282,223,0000000001,,,53282,53282,0
183,single,54180,241,0000004000,,,54180,54180,0
354,single,54217,102,0000008000,,,54217,54217,0
376,single,54847,115,0000000020,,,54847,54847,0
314,single,55281,131,1000000000,,,55281,55281,0
8,single,56239,12,0000000800,,,56239,56239,0
137,single,56248,220,0010000000,,,56248,56248,0
456,paired,57723,3,0000001000,28,first,57723,57723,0
458,paired,58339,97,0000200000,29,first,58339,58339,0
364,single,59109,119,0000000100,,,59109,59109,0
135,single,59388,23,0000200000,,,59388,59388,0
457,paired,59407,3,0000000002,28,second,59407,59407,0
459,paired,59754,97,0001000000,29,second,59754,59754,0
119,single,59965,191,0000000800,,,59965,59965,0
167,single,61322,20,0000000100,,,61322,61322,0
154,single,62762,172,0200000000,,,62762,62762,0
207,single,64499,24,0000000200,,,64499,64499,0
60,single,64939,37,0000000001,,,64939,64939,0
434,paired,66939,181,0000040000,17,first,66939,66939,0
49,single,67242,237,0020000000,,,67242,67242,0
62,single,67686,98,0000000080,,,67686,67686,0
435,paired,68969,181,0000200000,17,second,68969,68969,0
308,single,69621,85,0000000100,,,69621,69621,0
140,single,69881,200,0040000000,,,69881,69881,0
165,single,70223,70,0800000000,,,70223,70223,0
71,single,70812,132,0800000000,,,70812,70812,0
43,single,71029,37,0000010000,,,71029,71029,0
315,single,71122,158,0000080000,,,71122,71122,0
223,single,71253,52,0000000001,,,71253,71253,0
352,single,72862,24,0000002000,,,72862,72862,0
200,single,73133,46,4000000000,,,73133,73133,0
373,single,73625,16,0000000002,,,73625,73625,0
478,paired,76757,172,0100000000,39,first,76757,76757,0
29,single,77014,94,0200000000,,,77014,77014,0
108,single,77576,155,0000200000,,,77576,77576,0
370,single,77827,0,0000000004,,,77827,77827,0
237,single,78659,126,0020000000,,,78659,78659,0
39,single,78695,9,0800000000,,,78695,78695,0
438,paired,78982,135,0000040000,19,first,78982,78982,0
479,paired,79408,172,0000000200,39,second,79408,79408,0
99,single,80032,235,0000000002,,,80032,80032,0
5,single,80401,14,0000800000,,,80401,80401,0
454,paired,80487,200,0000020000,27,first,80487,80487,0
69,single,80614,244,0004000000,,,80614,80614,0
439,paired,80631,135,1000000000,19,second,80631,80631,0
234,single,80746,180,0000000004,,,80746,80746,0
164,single,81652,250,0000020000,,,81652,81652,0
113,single,82375,57,0001000000,,,82375,82375,0
331,single,82378,81,0000000002,,,82378,82378,0
14,single,82404,181,0020000000,,,82404,82404,0
355,single,82433,105,0000000100,,,82433,82433,0
61,single,82505,156,0000000010,,,82505,82505,0
131,single,82510,77,0000800000,,,82510,82510,0
240,single,82642,214,0000000080,,,82642,82642,0
393,single,82659,215,0000008000,,,82659,82659,0
68,single,82952,72,0000800000,,,82952,82952,0
455,paired,83160,200,0000000001,27,second,83160,83160,0
360,single,83200,21,0000080000,,,83200,83200,0
318,single,83889,235,0200000000,,,83889,83889,0
220,single,83926,126,1000000000,,,83926,83926,0
194,single,85332,103,0000200000,,,85332,85332,0
236,single,86356,244,1000000000,,,86356,86356,0
259,single,86739,248,0020000000,,,86739,86739,0
58,single,88066,8,0010000000,,,88066,88066,0
278,single,89189,20,0000200000,,,89189,89189,0
369,single,89370,126,2000000000,,,89370,89370,0
125,single,89398,89,0000010000,,,89398,89398,0
50,single,89960,194,0000002000,,,89960,89960,0
462,paired,90114,102,0002000000,31,first,90114,90114,0
170,single,91277,55,0000000100,,,91277,91277,0
463,paired,92268,102,0000000004,31,second,92268,92268,0
132,single,93106,48,0000000200,,,93106,93106,0
282,single,96264,53,0000800000,,,96264,96264,0
9,single,97117,184,0100000000,,,97117,97117,0
118,single,97550,121,0040000000,,,97550,97550,0
177,single,100261,200,2000000000,,,100261,100261,0
414,paired,100664,139,0002000000,7,first,100664,100664,0
335,single,101104,24,0000002000,,,101104,101104,0
415,paired,101376,139,0000100000,7,second,101376,101376,0
33,single,101816,157,0010000000,,,101816,101816,0
307,single,107466,172,0008000000,,,107466,107466,0
74,single,108658,75,0004000000,,,108658,108658,0
120,single,108663,119,0000020000,,,108663,108663,0
85,single,110290,169,0000000020,,,110290,110290,0
1,single,110637,157,0000010000,,,110637,110637,0
204,single,110688,35,0020000000,,,110688,110688,0
420,paired,110761,248,0002000000,10,first,110761,110761,0
421,paired,112143,248,4000000000,10,second,112143,112143,0
261,single,112717,190,0000000800,,,112717,112717,0
336,single,112848,227,0000010000,,,112848,112848,0
367,single,115779,69,0008000000,,,115779,115779,0
161,single,116686,174,0008000000,,,116686,116686,0
180,single,118756,130,0000001000,,,118756,118756,0
339,single,118803,246,0000000100,,,118803,118803,0
144,single,120021,23,0000000040,,,120021,120021,0
358,single,120390,43,0000004000,,,120390,120390,0
202,single,120533,205,0000004000,,,120533,120533,0
325,single,121659,36,0000080000,,,121659,121659,0
147,single,122725,4,0000010000,,,122725,122725,0
83,single,122809,247,0000020000,,,122809,122809,0
442,paired,123650,76,0000000040,21,first,123650,123650,0
443,paired,124593,76,0000100000,21,second,124593,124593,0
249,single,125159,105,0020000000,,,125159,125159,0
84,single,126927,211,0040000000,,,126927,126927,0
265,single,127288,185,0000000800,,,127288,127288,0
256,single,127314,2,0040000000,,,127314,127314,0
391,single,128079,28,0200000000,,,128079,128079,0
430,paired,128314,215,0020000000,15,first,128314,128314,0
431,paired,129325,215,1000000000,15,second,129325,129325,0
295,single,129425,19,0000200000,,,129425,129425,0
277,single,131904,95,2000000000,,,131904,131904,0
432,paired,132096,130,0000000002,16,first,132096,132096,0
402,paired,132259,2,0000002000,1,first,132259,132259,0
218,single,132977,83,0000000004,,,132977,132977,0
403,paired,133280,2,0000020000,1,second,133280,133280,0
134,single,133435,45,0000200000,,,133435,133435,0
433,paired,133847,130,0000000400,16,second,133847,133847,0
340,single,134085,37,0000000800,,,134085,134085,0
319,single,135056,36,1000000000,,,135056,135056,0
363,single,135358,50,0400000000,,,135358,135358,0
72,single,136156,43,2000000000,,,136156,136156,0
296,single,136815,176,0000000800,,,136815,136815,0
390,single,136967,122,0800000000,,,136967,136967,0
242,single,138059,232,0000000020,,,138059,138059,0
209,single,139879,17,0000080000,,,139879,139879,0
77,single,140490,146,0000000080,,,140490,140490,0
82,single,141372,196,0000000800,,,141372,141372,0
388,single,141904,201,0000100000,,,141904,141904,0
192,single,143395,42,0080000000,,,143395,143395,0
246,single,144671,208,0000010000,,,144671,144671,0
145,single,144747,65,0000000080,,,144747,144747,0
42,single,145516,16,0000008000,,,145516,145516,0
175,single,146333,62,0000020000,,,146333,146333,0
279,single,148080,78,0000004000,,,148080,148080,0
410,paired,148912,87,0800000000,5,first,148912,148912,0
311,single,149930,216,0000000001,,,149930,149930,0
88,single,150396,238,0000000800,,,150396,150396,0
6,single,150538,194,0008000000,,,150538,150538,0
411,paired,151373,87,0000000800,5,second,151373,151373,0
381,single,151639,1,0000004000,,,151639,151639,0
233,single,152716,216,0008000000,,,152716,152716,0
199,single,154943,145,0000002000,,,154943,154943,0
193,single,156675,77,1000000000,,,156675,156675,0
152,single,157889,15,0000000100,,,157889,157889,0
444,paired,159032,41,0004000000,22,first,159032,159032,0
107,single,159087,154,0000000010,,,159087,159087,0
98,single,159705,171,0020000000,,,159705,159705,0
445,paired,161244,41,0002000000,22,second,161244,161244,0
141,single,162028,46,2000000000,,,162028,162028,0
357,single,163211,107,0000002000,,,163211,163211,0
255,single,164099,4,0000200000,,,164099,164099,0
230,single,165299,179,0000000200,,,165299,165299,0
116,single,166396,236,0000000100,,,166396,166396,0
123,single,169341,204,0000040000,,,169341,169341,0
241,single,170845,198,0000000080,,,170845,170845,0
159,single,171788,83,0100000000,,,171788,171788,0
142,single,173761,253,0002000000,,,173761,173761,0
210,single,174394,242,0000000008,,,174394,174394,0
52,single,174411,26,0004000000,,,174411,174411,0
47,single,174768,123,0000000040,,,174768,174768,0
95,single,175636,239,0000002000,,,175636,175636,0
301,single,176236,90,0000001000,,,176236,176236,0
203,single,176365,186,0100000000,,,176365,176365,0
38,single,176435,174,0000010000,,,176435,176435,0
79,single,177376,131,0000000400,,,177376,177376,0
440,paired,178586,238,0008000000,20,first,178586,178586,0
55,single,178852,187,0000040000,,,178852,178852,0
441,paired,180519,238,0001000000,20,second,180519,180519,0
178,single,182802,220,0000000100,,,182802,182802,0
297,single,183610,21,0000000100,,,183610,183610,0
472,paired,185039,161,0000002000,36,first,185039,185039,0
424,paired,185266,53,0000010000,12,first,185266,185266,0
124,single,186072,37,0000800000,,,186072,186072,0
425,paired,186537,53,0000200000,12,second,186537,186537,0
473,paired,186724,161,1000000000,36,second,186724,186724,0
105,single,189274,226,0000002000,,,189274,189274,0
130,single,191849,199,0400000000,,,191849,191849,0
351,single,192485,141,0000000040,,,192485,192485,0
276,single,194239,106,0000000010,,,194239,194239,0
428,paired,196088,0,4000000000,14,first,196088,196088,0
34,single,196693,23,0000010000,,,196693,196693,0
285,single,197688,8,0000200000,,,197688,197688,0
429,paired,198041,0,2000000000,14,second,198041,198041,0
239,single,199499,81,0020000000,,,199499,199499,0
104,single,200255,187,0000000004,,,200255,200255,0
328,single,202725,154,0000004000,,,202725,202725,0
316,single,203331,247,0001000000,,,203331,203331,0
362,single,205713,216,4000000000,,,205713,205713,0
174,single,207244,212,0000000004,,,207244,207244,0
356,single,207925,54,0000800000,,,207925,207925,0
271,single,208568,194,0000000080,,,208568,208568,0
63,single,208944,237,0000000100,,,208944,208944,0
330,single,210686,130,0800000000,,,210686,210686,0
190,single,210834,77,0000000400,,,210834,210834,0
139,single,212863,173,0002000000,,,212863,212863,0
93,single,215277,70,0000000001,,,215277,215277,0
181,single,215471,98,0040000000,,,215471,215471,0
263,single,219414,203,0000020000,,,219414,219414,0
387,single,219677,101,0080000000,,,219677,219677,0
264,single,219841,82,0000000001,,,219841,219841,0
195,single,222464,208,0000008000,,,222464,222464,0
111,single,225951,45,0000080000,,,225951,225951,0
254,single,230152,15,0000080000,,,230152,230152,0
251,single,231260,91,0000100000,,,231260,231260,0
2,single,231891,18,2000000000,,,231891,231891,0
212,single,231905,178,0000800000,,,231905,231905,0
191,single,232515,33,2000000000,,,232515,232515,0
94,single,235698,246,0000010000,,,235698,235698,0
267,single,237828,107,0000002000,,,237828,237828,0
300,single,237985,63,0000000020,,,237985,237985,0
412,paired,238706,63,0200000000,6,first,238706,238706,0
446,paired,239747,247,0000000002,23,first,239747,239747,0
67,single,239864,22,0080000000,,,239864,239864,0
413,paired,240532,63,0000000800,6,second,240532,240532,0
253,single,240921,227,0000000040,,,240921,240921,0
447,paired,242197,247,0800000000,23,second,242197,242197,0
386,single,242828,192,0000004000,,,242828,242828,0
408,paired,243185,110,0008000000,4,first,243185,243185,0
168,single,244219,243,0400000000,,,244219,244219,0
158,single,244768,201,0200000000,,,244768,244768,0
409,paired,245948,110,0000000040,4,second,245948,245948,0
416,paired,246041,127,0000000200,8,first,246041,246041,0
417,paired,249004,127,2000000000,8,second,249004,249004,0
470,paired,250368,242,0001000000,35,first,250368,250368,0
171,single,250418,95,0000000020,,,250418,250418,0
232,single,251697,128,0010000000,,,251697,251697,0
286,single,252315,37,0400000000,,,252315,252315,0
257,single,252370,104,0000004000,,,252370,252370,0
322,single,252420,111,0000800000,,,252420,252420,0
471,paired,253012,242,0000000002,35,second,253012,253012,0
348,single,254666,179,0000020000,,,254666,254666,0
196,single,255233,31,0000010000,,,255233,255233,0
332,single,256429,26,0000000008,,,256429,256429,0
109,single,256621,201,0200000000,,,256621,256621,0
208,single,256652,44,0000000100,,,256652,256652,0
248,single,256997,160,0000000001,,,256997,256997,0
225,single,259777,206,0008000000,,,259777,259777,0
23,single,260340,116,0000000040,,,260340,260340,0
452,paired,264254,203,0000008000,26,first,264254,264254,0
166,single,264706,103,0000002000,,,264706,264706,0
453,paired,264990,203,0008000000,26,second,264990,264990,0
17,single,265293,85,0000020000,,,265293,265293,0
302,single,267476,37,0400000000,,,267476,267476,0
54,single,268934,187,0000000002,,,268934,268934,0
197,single,271234,200,0008000000,,,271234,271234,0
216,single,278074,25,0000000010,,,278074,278074,0
27,single,278410,58,0000000010,,,278410,278410,0
400,paired,280005,221,0800000000,0,first,280005,280005,0
10,single,280441,228,0004000000,,,280441,280441,0
337,single,281379,24,0000100000,,,281379,281379,0
103,single,281582,5,0000040000,,,281582,281582,0
401,paired,282032,221,0000000400,0,second,282032,282032,0
288,single,282694,151,0000080000,,,282694,282694,0
266,single,282776,93,0080000000,,,282776,282776,0
304,single,283895,207,0020000000,,,283895,283895,0
327,single,285656,21,0008000000,,,285656,285656,0
3,single,287907,201,0100000000,,,287907,287907,0
45,single,291796,2,0000000200,,,291796,291796,0
298,single,291843,74,0004000000,,,291843,291843,0
51,single,291954,222,0008000000,,,291954,291954,0
312,single,297029,97,0008000000,,,297029,297029,0
466,paired,297141,236,0002000000,33,first,297141,297141,0
56,single,298186,157,0000000002,,,298186,298186,0
217,single,298200,222,0008000000,,,298200,298200,0
467,paired,298328,236,0040000000,33,second,298328,298328,0
30,single,299522,22,0000008000,,,299522,299522,0
224,single,300213,143,2000000000,,,300213,300213,0
179,single,301029,232,0000400000,,,301029,301029,0
153,single,303574,30,0000000008,,,303574,303574,0
418,paired,310754,108,4000000000,9,first,310754,310754,0
422,paired,311002,213,0000000010,11,first,311002,311002,0
397,single,311507,30,0000002000,,,311507,311507,0
275,single,311659,146,0000000002,,,311659,311659,0
423,paired,312215,213,0000100000,11,second,312215,312215,0
419,paired,312747,108,0000000008,9,second,312747,312747,0
238,single,315151,236,0000008000,,,315151,315151,0
389,single,318067,235,0000000004,,,318067,318067,0
13,single,318405,127,0080000000,,,318405,318405,0
346,single,322582,15,0000000200,,,322582,322582,0
426,paired,322618,141,0020000000,13,first,322618,322618,0
427,paired,325256,141,0000002000,13,second,325256,325256,0
16,single,325617,233,0080000000,,,325617,325617,0
73,single,327569,49,0000000010,,,327569,327569,0
90,single,329314,197,0000002000,,,329314,329314,0
20,single,330944,187,0000000010,,,330944,330944,0
334,single,332658,23,0020000000,,,332658,332658,0
11,single,334718,181,0000800000,,,334718,334718,0
205,single,334842,143,0000000002,,,334842,334842,0
379,single,335764,90,0000000002,,,335764,335764,0
258,single,335894,84,0000200000,,,335894,335894,0
269,single,335904,202,0000000002,,,335904,335904,0
395,single,342841,65,0001000000,,,342841,342841,0
287,single,343409,252,0004000000,,,343409,343409,0
64,single,343413,62,0000010000,,,343413,343413,0
24,single,343421,136,0000008000,,,343421,343421,0
394,single,343422,124,0000000080,,,343421,343422,1
35,single,343439,78,0040000000,,,343439,343439,0
101,single,343459,130,0000000100,,,343459,343459,0
86,single,343490,96,0002000000,,,343490,343490,0
260,single,343522,109,1000000000,,,343522,343522,0
341,single,343544,214,0000000010,,,343544,343544,0
399,single,343694,80,0080000000,,,343694,343694,0
299,single,344559,114,0000020000,,,344559,344559,0
317,single,344874,88,0004000000,,,344874,344874,0
92,single,345350,140,2000000000,,,345350,345350,0
184,single,347114,65,0000080000,,,347114,347114,0
378,single,352354,154,0000001000,,,352354,352354,0
18,single,352359,158,0000080000,,,352359,352359,0
283,single,354756,69,0000400000,,,354756,354756,0
292,single,355762,66,0000000020,,,355762,355762,0
138,single,356655,164,0200000000,,,356655,356655,0
252,single,361339,245,0002000000,,,361339,361339,0
333,single,361517,165,0000040000,,,361517,361517,0
133,single,362489,128,0000000200,,,362489,362489,0
21,single,363013,4,0000001000,,,363013,363013,0
221,single,367199,206,0000000010,,,367199,367199,0
372,single,368082,114,0000002000,,,368082,368082,0
213,single,372214,141,0040000000,,,372214,372214,0
163,single,374476,51,0040000000,,,374476,374476,0
273,single,377220,32,0000020000,,,377220,377220,0
476,paired,377250,100,0000000010,38,first,377250,377250,0
122,single,377321,143,4000000000,,,377321,377321,0
121,single,377326,193,0002000000,,,377326,377326,0
326,single,377660,47,0000800000,,,377660,377660,0
468,paired,377855,218,0020000000,34,first,377855,377855,0
323,single,378072,108,0008000000,,,378072,378072,0
477,paired,379024,100,0000000040,38,second,379024,379024,0
89,single,379392,206,0000002000,,,379392,379392,0
469,paired,379559,218,0000008000,34,second,379559,379559,0
87,single,379649,5,0000100000,,,379649,379649,0
382,single,381451,36,0000008000,,,381451,381451,0
229,single,381691,228,0000000400,,,381691,381691,0
353,single,382076,90,0000000001,,,382076,382076,0
359,single,382082,156,0000800000,,,382082,382082,0
404,paired,382179,246,0200000000,2,first,382179,382179,0
235,single,382322,14,0008000000,,,382322,382322,0
188,single,382439,214,0040000000,,,382439,382439,0
25,single,382769,216,0000000004,,,382769,382769,0
405,paired,383016,246,0080000000,2,second,383016,383016,0
464,paired,385307,36,0000002000,32,first,385307,385307,0
465,paired,387632,36,0010000000,32,second,387632,387632,0
448,paired,388867,215,0000001000,24,first,388867,388867,0
189,single,389056,144,2000000000,,,389056,389056,0
449,paired,391504,215,4000000000,24,second,391504,391504,0
345,single,392616,105,0000000002,,,392616,392616,0
110,single,393700,107,0002000000,,,393700,393700,0
143,single,393809,86,0004000000,,,393809,393809,0
281,single,404027,113,0000000002,,,404027,404027,0
182,single,404292,158,0000000010,,,404292,404292,0
385,single,406570,139,4000000000,,,406570,406570,0
280,single,408514,157,0000000040,,,408514,408514,0
114,single,412402,163,0000400000,,,412402,412402,0
151,single,414323,123,0000000010,,,414323,414323,0
185,single,427159,153,0000000040,,,427159,427159,0
106,single,428867,255,0000000100,,,428867,428867,0
57,single,433444,51,0000000040,,,433444,433444,0
81,single,433568,74,0020000000,,,433568,433568,0
155,single,434786,190,0080000000,,,434786,434786,0
396,single,439471,16,0000000100,,,439471,439471,0
91,single,442737,199,0800000000,,,442737,442737,0
291,single,448520,79,0000080000,,,448520,448520,0
7,single,450297,84,0800000000,,,450297,450297,0
321,single,450879,240,0200000000,,,450879,450879,0
383,single,451640,59,0000000400,,,451640,451640,0
262,single,453001,115,0000002000,,,453001,453001,0
80,single,453183,120,0002000000,,,453183,453183,0
214,single,454279,76,0000000002,,,454279,454279,0
377,single,456329,137,0000000080,,,456329,456329,0
75,single,456497,19,0000000100,,,456497,456497,0
15,single,457906,179,1000000000,,,457906,457906,0
97,single,463087,33,2000000000,,,463087,463087,0
222,single,465362,34,0000008000,,,465362,465362,0
247,single,467070,207,0000080000,,,467070,467070,0
380,single,468212,53,0020000000,,,468212,468212,0
244,single,468347,178,0000000400,,,468347,468347,0
226,single,469573,79,0008000000,,,469573,469573,0
117,single,476173,110,0000020000,,,476173,476173,0
53,single,483568,92,0000000040,,,483568,483568,0
309,single,486162,200,0000000200,,,486162,486162,0
70,single,486170,151,0002000000,,,486170,486170,0
375,single,486200,12,0000000002,,,486200,486200,0
146,single,486204,89,0000000010,,,486204,486204,0
32,single,486216,57,0000040000,,,486216,486216,0
368,single,486218,173,0000200000,,,486218,486218,0
344,single,486226,168,0000000040,,,486226,486226,0
136,single,486227,31,0000000200,,,486227,486227,0
176,single,486240,109,0004000000,,,486240,486240,0
211,single,486245,174,0000000040,,,486245,486245,0
201,single,486261,1,0000000008,,,486261,486261,0
303,single,486265,121,0000008000,,,486265,486265,0
4,single,486294,227,0100000000,,,486294,486294,0
0,single,486320,46,0000000020,,,486320,486320,0
406,paired,486331,19,0000080000,3,first,486331,486331,0
36,single,486332,161,0000000040,,,486332,486332,0
126,single,486336,225,0040000000,,,486336,486336,0
40,single,486341,29,0000010000,,,486341,486341,0
19,single,486342,208,0000080000,,,486342,486342,0
66,single,486343,53,0000000002,,,486342,486343,1
384,single,486344,216,0000020000,,,486344,486344,0
243,single,486349,231,0000800000,,,486349,486349,0
392,single,486369,60,0010000000,,,486369,486369,0
342,single,486374,78,0000000002,,,486374,486374,0
96,single,486389,179,0000000001,,,486389,486389,0
150,single,486398,238,0000000008,,,486398,486398,0
76,single,486406,118,0000200000,,,486406,486406,0
228,single,486409,93,0200000000,,,486409,486409,0
361,single,486418,71,4000000000,,,486418,486418,0
172,single,486441,149,0000002000,,,486441,486441,0
12,single,486487,82,0002000000,,,486487,486487,0
100,single,486671,177,0000000800,,,486671,486671,0
294,single,487394,223,0000002000,,,487394,487394,0
407,paired,488781,19,0004000000,3,second,488781,488781,0
293,single,490647,117,0000200000,,,490647,490647,0
310,single,491806,153,0008000000,,,491806,491806,0
22,single,496475,30,1000000000,,,496475,496475,0
