scenario,description,D,event_count,nu_scale,p2,p3,p4,p5,g_D,E_star,E_inst,rho_D,E_residual,E_acc_min,tau_min_seconds,E_acc_min_over_residual,status,recommendation
light_3bit_tail,3-bit clusters consume part of the budget at D=1/2 but become instant-safe in the logical round-robin model at D>=3.,1,1000000,1,0,5e-09,0,0,5e-09,0.0100503358535,0.005,0.497495812367,0.0050503358535,0.0011100068776,1,0.219788724909,scrub_period_selectable,criterion passes and the residual accumulated-risk budget is reachable; proceed to scrub-period selection
light_3bit_tail,3-bit clusters consume part of the budget at D=1/2 but become instant-safe in the logical round-robin model at D>=3.,2,1000000,1,0,5e-09,0,0,5e-09,0.0100503358535,0.005,0.497495812367,0.0050503358535,0.0011100068776,1,0.219788724909,scrub_period_selectable,criterion passes and the residual accumulated-risk budget is reachable; proceed to scrub-period selection
light_3bit_tail,3-bit clusters consume part of the budget at D=1/2 but become instant-safe in the logical round-robin model at D>=3.,3,1000000,1,0,5e-09,0,0,0,0.0100503358535,0,0,0.0100503358535,0.0011100068776,1,0.110444754661,scrub_period_selectable,criterion passes and the residual accumulated-risk budget is reachable; proceed to scrub-period selection
light_3bit_tail,3-bit clusters consume part of the budget at D=1/2 but become instant-safe in the logical round-robin model at D>=3.,4,1000000,1,0,5e-09,0,0,0,0.0100503358535,0,0,0.0100503358535,0.0011100068776,1,0.110444754661,scrub_period_selectable,criterion passes and the residual accumulated-risk budget is reachable; proceed to scrub-period selection
overbudget_3bit_tail,A heavier 3-bit tail violates the instant component at D=1/2; D>=3 removes this instant SECDED-dangerous mapping.,1,1000000,1,0,2e-08,0,0,2e-08,0.0100503358535,0.02,1.98998324947,-0.0099496641465,0.0011100068776,1,inf,architecture_change_required,"reduce g_D by increasing interleaving, changing placement, using stronger ECC, or changing memory organization"
overbudget_3bit_tail,A heavier 3-bit tail violates the instant component at D=1/2; D>=3 removes this instant SECDED-dangerous mapping.,2,1000000,1,0,2e-08,0,0,2e-08,0.0100503358535,0.02,1.98998324947,-0.0099496641465,0.0011100068776,1,inf,architecture_change_required,"reduce g_D by increasing interleaving, changing placement, using stronger ECC, or changing memory organization"
overbudget_3bit_tail,A heavier 3-bit tail violates the instant component at D=1/2; D>=3 removes this instant SECDED-dangerous mapping.,3,1000000,1,0,2e-08,0,0,0,0.0100503358535,0,0,0.0100503358535,0.0011100068776,1,0.110444754661,scrub_period_selectable,criterion passes and the residual accumulated-risk budget is reachable; proceed to scrub-period selection
overbudget_3bit_tail,A heavier 3-bit tail violates the instant component at D=1/2; D>=3 removes this instant SECDED-dangerous mapping.,4,1000000,1,0,2e-08,0,0,0,0.0100503358535,0,0,0.0100503358535,0.0011100068776,1,0.110444754661,scrub_period_selectable,criterion passes and the residual accumulated-risk budget is reachable; proceed to scrub-period selection
bandwidth_limited_accumulation,"The instant component is absent, but the accumulated-risk floor under tau_min is moderately stressed to demonstrate the bandwidth/tau_min insufficiency region.",1,1000000,4,0,0,0,0,0,0.0100503358535,0,0,0.0100503358535,0.0177601100416,1,1.76711607458,bandwidth_or_tau_min_insufficient,"instant component is acceptable, but tau_min/bandwidth cannot meet the residual accumulated-risk budget"
bandwidth_limited_accumulation,"The instant component is absent, but the accumulated-risk floor under tau_min is moderately stressed to demonstrate the bandwidth/tau_min insufficiency region.",2,1000000,4,0,0,0,0,0,0.0100503358535,0,0,0.0100503358535,0.0177601100416,1,1.76711607458,bandwidth_or_tau_min_insufficient,"instant component is acceptable, but tau_min/bandwidth cannot meet the residual accumulated-risk budget"
