interval_seconds,hours,fraction,cycles,risk_e,nu_min,nu_max
1,67,0.001528843,241200.000000,0.000889227653763,142.583741928,1193.96354958
2,71,0.001620117,127800.000000,9.55375247976e-05,63.3971577671,137.74914912
5,146,0.003331508,105120.000000,7.81677695413e-05,27.7611721407,61.0489096712
10,4651,0.106129062,1674360.000000,0.000605618447485,11.2963576509,27.3912802159
30,19048,0.434647682,2285760.000000,0.00242727416227,4.61194833149,11.2951626736
60,19841,0.452742789,1190460.000000,0.000954355442503,2.47950109076,4.61170300085
120,0,0.000000000,0.000000,0,,
300,0,0.000000000,0.000000,0,,
600,0,0.000000000,0.000000,0,,
1200,0,0.000000000,0.000000,0,,
1800,0,0.000000000,0.000000,0,,
3600,0,0.000000000,0.000000,0,,
