scenario,comparison,metric,n,fixed_mean,adaptive_mean,delta_mean,delta_std,delta_se,ci95_low,ci95_high,relative_percent
no_clusters,table-fixed,scrub_cycles,30,632.000000,432.000000,-200.000000,0.000000,0.000000,-200.000000,-200.000000,-31.645570
no_clusters,table-fixed,reads,30,10112.000000,6912.000000,-3200.000000,0.000000,0.000000,-3200.000000,-3200.000000,-31.645570
no_clusters,table-fixed,writes,30,507.533333,482.866667,-24.666667,15.157412,2.767352,-30.325902,-19.007432,-4.860108
no_clusters,table-fixed,corrected,30,507.533333,482.866667,-24.666667,15.157412,2.767352,-30.325902,-19.007432,-4.860108
no_clusters,table-fixed,uncorrectable_detections,30,852.766667,768.666667,-84.100000,219.923239,40.152306,-166.211466,-1.988534,-9.862018
no_clusters,table-fixed,unique_uncorrectable_words,30,4.200000,4.000000,-0.200000,1.242911,0.226923,-0.664058,0.264058,-4.761905
no_clusters,table-fixed,memory_busy_cycles,30,10619.533333,7394.866667,-3224.666667,15.157412,2.767352,-3230.325902,-3219.007432,-30.365427
no_clusters,table-fixed,busy_percent,30,21.186667,14.746667,-6.440000,0.049827,0.009097,-6.458604,-6.421396,-30.396476
no_clusters,threshold-fixed,scrub_cycles,30,632.000000,408.000000,-224.000000,0.000000,0.000000,-224.000000,-224.000000,-35.443038
no_clusters,threshold-fixed,reads,30,10112.000000,6528.000000,-3584.000000,0.000000,0.000000,-3584.000000,-3584.000000,-35.443038
no_clusters,threshold-fixed,writes,30,507.533333,476.933333,-30.600000,13.710303,2.503147,-35.718937,-25.481063,-6.029161
no_clusters,threshold-fixed,corrected,30,507.533333,476.933333,-30.600000,13.710303,2.503147,-35.718937,-25.481063,-6.029161
no_clusters,threshold-fixed,uncorrectable_detections,30,852.766667,791.200000,-61.566667,182.240592,33.272428,-129.608781,6.475448,-7.219638
no_clusters,threshold-fixed,unique_uncorrectable_words,30,4.200000,4.200000,0.000000,1.364576,0.249136,-0.509484,0.509484,0.000000
no_clusters,threshold-fixed,memory_busy_cycles,30,10619.533333,7004.933333,-3614.600000,13.710303,2.503147,-3619.718937,-3609.481063,-34.037277
no_clusters,threshold-fixed,busy_percent,30,21.186667,13.966667,-7.220000,0.040684,0.007428,-7.235190,-7.204810,-34.078037
with_clusters,table-fixed,scrub_cycles,30,632.000000,432.000000,-200.000000,0.000000,0.000000,-200.000000,-200.000000,-31.645570
with_clusters,table-fixed,reads,30,10112.000000,6912.000000,-3200.000000,0.000000,0.000000,-3200.000000,-3200.000000,-31.645570
with_clusters,table-fixed,writes,30,497.800000,472.766667,-25.033333,15.134986,2.763258,-30.684196,-19.382471,-5.028793
with_clusters,table-fixed,corrected,30,497.800000,472.766667,-25.033333,15.134986,2.763258,-30.684196,-19.382471,-5.028793
with_clusters,table-fixed,uncorrectable_detections,30,1219.066667,1012.766667,-206.300000,247.638801,45.212453,-298.759465,-113.840535,-16.922782
with_clusters,table-fixed,unique_uncorrectable_words,30,4.566667,4.300000,-0.266667,1.201532,0.219369,-0.715276,0.181942,-5.839416
with_clusters,table-fixed,memory_busy_cycles,30,10609.800000,7384.766667,-3225.033333,15.134986,2.763258,-3230.684196,-3219.382471,-30.396740
with_clusters,table-fixed,busy_percent,30,21.176667,14.726667,-6.450000,0.050855,0.009285,-6.468987,-6.431013,-30.458051
with_clusters,threshold-fixed,scrub_cycles,30,632.000000,408.000000,-224.000000,0.000000,0.000000,-224.000000,-224.000000,-35.443038
with_clusters,threshold-fixed,reads,30,10112.000000,6528.000000,-3584.000000,0.000000,0.000000,-3584.000000,-3584.000000,-35.443038
with_clusters,threshold-fixed,writes,30,497.800000,467.233333,-30.566667,14.175460,2.588073,-35.859276,-25.274057,-6.140351
with_clusters,threshold-fixed,corrected,30,497.800000,467.233333,-30.566667,14.175460,2.588073,-35.859276,-25.274057,-6.140351
with_clusters,threshold-fixed,uncorrectable_detections,30,1219.066667,1019.233333,-199.833333,209.604403,38.268353,-278.092116,-121.574551,-16.392322
with_clusters,threshold-fixed,unique_uncorrectable_words,30,4.566667,4.600000,0.033333,1.325697,0.242038,-0.461634,0.528301,0.729927
with_clusters,threshold-fixed,memory_busy_cycles,30,10609.800000,6995.233333,-3614.566667,14.175460,2.588073,-3619.859276,-3609.274057,-34.068189
with_clusters,threshold-fixed,busy_percent,30,21.176667,13.946667,-7.230000,0.046609,0.008510,-7.247402,-7.212598,-34.141351
