scenario,seed,requested_total_cycles,window_size,event_count,paired_event_count,pair_gap_min,pair_gap_max,cluster_event_count,cluster_bit_count,control_quantization,control_source,control_policy_schedule,control_policy_level_map_output,control_delay_points,safe_interval,level_intervals,threshold_levels,threshold_intervals,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
upsets,1,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,523,523,482,4,0,0,0,41603,10635,832,212,0
upsets,1,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,481,481,680,4,1295,0,0,28496,7377,569,147,0
upsets,1,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,488,488,630,4,776,0,0,27008,7016,540,140,0
upsets,2,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,507,507,562,5,0,0,0,41587,10619,831,212,0
upsets,2,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,481,481,663,5,1295,0,0,28496,7377,569,147,0
upsets,2,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,488,488,486,3,776,0,0,27008,7016,540,140,0
upsets,3,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,502,502,1290,5,0,0,0,41582,10614,831,212,0
upsets,3,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,481,481,922,4,1295,0,0,28496,7377,569,147,0
upsets,3,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,469,469,1064,4,776,0,0,26989,6997,539,139,0
upsets,4,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,520,520,693,4,0,0,0,41600,10632,832,212,0
upsets,4,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,495,495,680,4,1295,0,0,28510,7391,570,147,0
upsets,4,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,487,487,670,4,776,0,0,27007,7015,540,140,0
upsets,5,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,500,500,617,5,0,0,0,41580,10612,831,212,0
upsets,5,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,465,465,839,7,1295,0,0,28480,7361,569,147,0
upsets,5,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,474,474,690,8,776,0,0,26994,7002,539,140,0
upsets,6,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,511,511,1091,8,0,0,0,41591,10623,831,212,0
upsets,6,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,471,471,1023,10,1295,0,0,28486,7367,569,147,0
upsets,6,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,470,470,1006,7,776,0,0,26990,6998,539,139,0
upsets,7,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,511,511,978,0,0,0,0,41591,10623,831,212,0
