scenario,seed,requested_total_cycles,window_size,event_count,paired_event_count,pair_gap_min,pair_gap_max,cluster_event_count,cluster_bit_count,control_quantization,control_source,control_policy_schedule,control_policy_level_map_output,control_delay_points,safe_interval,level_intervals,threshold_levels,threshold_intervals,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
upsets,1,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,523,523,605,4,0,0,0,41603,10635,832,212,0
upsets,1,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,481,481,765,4,1295,0,0,28496,7377,569,147,0
upsets,1,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,488,488,709,4,776,0,0,27008,7016,540,140,0
upsets,2,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,508,508,754,6,0,0,0,41588,10620,831,212,0
upsets,2,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,482,482,789,6,1295,0,0,28497,7378,569,147,0
upsets,2,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,483,483,671,4,776,0,0,27003,7011,540,140,0
upsets,3,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,502,502,1432,6,0,0,0,41582,10614,831,212,0
upsets,3,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,481,481,1006,5,1295,0,0,28496,7377,569,147,0
upsets,3,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,471,471,1134,5,776,0,0,26991,6999,539,139,0
upsets,4,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,520,520,826,5,0,0,0,41600,10632,832,212,0
upsets,4,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,495,495,805,5,1295,0,0,28510,7391,570,147,0
upsets,4,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,487,487,760,5,776,0,0,27007,7015,540,140,0
upsets,5,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,499,499,702,6,0,0,0,41579,10611,831,212,0
upsets,5,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,464,464,881,8,1295,0,0,28479,7360,569,147,0
upsets,5,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,468,468,750,9,776,0,0,26988,6996,539,139,0
upsets,6,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,503,503,1520,8,0,0,0,41583,10615,831,212,0
upsets,6,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,463,463,1318,10,1295,0,0,28478,7359,569,147,0
upsets,6,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,462,462,1279,7,776,0,0,26982,6990,539,139,0
upsets,7,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,499,499,1361,0,0,0,0,41579,10611,831,212,0
upsets,7,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,471,471,1122,1,1295,0,0,28486,7367,569,147,0
upsets,7,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,471,471,1062,1,776,0,0,26991,6999,539,139,0
upsets,8,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,502,502,923,4,0,0,0,41582,10614,831,212,0
upsets,8,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,485,485,726,4,1295,0,0,28500,7381,570,147,0
upsets,8,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,490,490,801,2,776,0,0,27010,7018,540,140,0
upsets,9,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,473,473,1427,4,0,0,0,41553,10585,831,211,0
upsets,9,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,483,483,754,3,1295,0,0,28498,7379,569,147,0
upsets,9,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,464,464,973,1,776,0,0,26984,6992,539,139,0
upsets,10,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,513,513,932,4,0,0,0,41593,10625,831,212,0
upsets,10,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,476,476,855,4,1295,0,0,28491,7372,569,147,0
upsets,10,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,478,478,703,3,776,0,0,26998,7006,539,140,0
upsets,11,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,506,506,861,4,0,0,0,41586,10618,831,212,0
upsets,11,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,487,487,773,5,1295,0,0,28502,7383,570,147,0
upsets,11,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,494,494,679,3,776,0,0,27014,7022,540,140,0
upsets,12,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,506,506,1040,2,0,0,0,41586,10618,831,212,0
upsets,12,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,467,467,1076,2,1295,0,0,28482,7363,569,147,0
upsets,12,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,483,483,954,2,776,0,0,27003,7011,540,140,0
upsets,13,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,507,507,998,6,0,0,0,41587,10619,831,212,0
upsets,13,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,482,482,707,8,1295,0,0,28497,7378,569,147,0
upsets,13,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,480,480,905,9,776,0,0,27000,7008,540,140,0
upsets,14,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,510,510,1053,4,0,0,0,41590,10622,831,212,0
upsets,14,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,475,475,773,5,1295,0,0,28490,7371,569,147,0
upsets,14,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,453,453,1052,6,776,0,0,26973,6981,539,139,0
upsets,15,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,490,490,1522,5,0,0,0,41570,10602,831,212,0
upsets,15,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,456,456,1237,6,1295,0,0,28471,7352,569,147,0
upsets,15,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,441,441,1335,7,776,0,0,26961,6969,539,139,0
upsets,16,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,511,511,1265,2,0,0,0,41591,10623,831,212,0
upsets,16,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,468,468,1134,2,1295,0,0,28483,7364,569,147,0
upsets,16,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,486,486,938,2,776,0,0,27006,7014,540,140,0
upsets,17,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,496,496,1232,8,0,0,0,41576,10608,831,212,0
upsets,17,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,489,489,737,10,1295,0,0,28504,7385,570,147,0
upsets,17,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,493,493,770,9,776,0,0,27013,7021,540,140,0
upsets,18,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,472,472,1666,3,0,0,0,41552,10584,831,211,0
upsets,18,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,471,471,995,2,1295,0,0,28486,7367,569,147,0
upsets,18,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,458,458,1165,1,776,0,0,26978,6986,539,139,0
upsets,19,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,490,490,1531,4,0,0,0,41570,10602,831,212,0
upsets,19,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,470,470,1183,4,1295,0,0,28485,7366,569,147,0
upsets,19,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,454,454,1426,4,776,0,0,26974,6982,539,139,0
upsets,20,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,495,495,1257,4,0,0,0,41575,10607,831,212,0
upsets,20,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,478,478,901,5,1295,0,0,28493,7374,569,147,0
upsets,20,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,486,486,769,3,776,0,0,27006,7014,540,140,0
upsets,21,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,474,474,1612,4,0,0,0,41554,10586,831,211,0
upsets,21,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,462,462,1040,4,1295,0,0,28477,7358,569,147,0
upsets,21,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,442,442,1134,4,776,0,0,26962,6970,539,139,0
upsets,22,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,516,516,1101,4,0,0,0,41596,10628,831,212,0
upsets,22,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,495,495,971,4,1295,0,0,28510,7391,570,147,0
upsets,22,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,486,486,761,4,776,0,0,27006,7014,540,140,0
upsets,23,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,474,474,1428,5,0,0,0,41554,10586,831,211,0
upsets,23,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,439,439,1565,5,1295,0,0,28454,7335,569,146,0
upsets,23,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,406,406,1721,6,776,0,0,26926,6934,538,138,0
upsets,24,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,475,475,1696,7,0,0,0,41555,10587,831,211,0
upsets,24,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,438,438,1428,6,1295,0,0,28453,7334,569,146,0
upsets,24,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,432,432,1442,6,776,0,0,26952,6960,539,139,0
upsets,25,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,451,451,2125,6,0,0,0,41531,10563,830,211,0
upsets,25,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,419,419,1582,7,1295,0,0,28434,7315,568,146,0
upsets,25,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,430,430,1521,8,776,0,0,26950,6958,539,139,0
