scenario,comparison,metric,n,fixed_mean,adaptive_mean,delta_mean,delta_std,delta_se,ci95_low,ci95_high,relative_percent
no_clusters,table-fixed,scrub_cycles,30,632.000000,431.000000,-201.000000,0.000000,0.000000,-201.000000,-201.000000,-31.803797
no_clusters,table-fixed,reads,30,10112.000000,6896.000000,-3216.000000,0.000000,0.000000,-3216.000000,-3216.000000,-31.803797
no_clusters,table-fixed,writes,30,507.533333,479.266667,-28.266667,15.014782,2.741312,-33.872649,-22.660684,-5.569421
no_clusters,table-fixed,corrected,30,507.533333,479.266667,-28.266667,15.014782,2.741312,-33.872649,-22.660684,-5.569421
no_clusters,table-fixed,uncorrectable_detections,30,852.766667,785.566667,-67.200000,271.017673,49.480831,-168.388300,33.988300,-7.880233
no_clusters,table-fixed,unique_uncorrectable_words,30,4.200000,4.633333,0.433333,1.072648,0.195838,0.032845,0.833822,10.317460
no_clusters,table-fixed,memory_busy_cycles,30,10619.533333,7375.266667,-3244.266667,15.014782,2.741312,-3249.872649,-3238.660684,-30.549993
no_clusters,table-fixed,busy_percent,30,21.186667,14.696667,-6.490000,0.030513,0.005571,-6.501392,-6.478608,-30.632473
no_clusters,threshold-fixed,scrub_cycles,30,632.000000,408.000000,-224.000000,0.000000,0.000000,-224.000000,-224.000000,-35.443038
no_clusters,threshold-fixed,reads,30,10112.000000,6528.000000,-3584.000000,0.000000,0.000000,-3584.000000,-3584.000000,-35.443038
no_clusters,threshold-fixed,writes,30,507.533333,477.766667,-29.766667,14.554732,2.657318,-35.200883,-24.332451,-5.864968
no_clusters,threshold-fixed,corrected,30,507.533333,477.766667,-29.766667,14.554732,2.657318,-35.200883,-24.332451,-5.864968
no_clusters,threshold-fixed,uncorrectable_detections,30,852.766667,775.233333,-77.533333,185.099737,33.794434,-146.642950,-8.423716,-9.091975
no_clusters,threshold-fixed,unique_uncorrectable_words,30,4.200000,4.133333,-0.066667,1.412587,0.257902,-0.594076,0.460743,-1.587302
no_clusters,threshold-fixed,memory_busy_cycles,30,10619.533333,7005.766667,-3613.766667,14.554732,2.657318,-3619.200883,-3608.332451,-34.029430
no_clusters,threshold-fixed,busy_percent,30,21.186667,13.966667,-7.220000,0.040684,0.007428,-7.235190,-7.204810,-34.078037
with_clusters,table-fixed,scrub_cycles,30,632.000000,431.000000,-201.000000,0.000000,0.000000,-201.000000,-201.000000,-31.803797
with_clusters,table-fixed,reads,30,10112.000000,6896.000000,-3216.000000,0.000000,0.000000,-3216.000000,-3216.000000,-31.803797
with_clusters,table-fixed,writes,30,497.800000,470.533333,-27.266667,15.357652,2.803911,-33.000664,-21.532669,-5.477434
with_clusters,table-fixed,corrected,30,497.800000,470.533333,-27.266667,15.357652,2.803911,-33.000664,-21.532669,-5.477434
with_clusters,table-fixed,uncorrectable_detections,30,1219.066667,1016.266667,-202.800000,290.234911,52.989403,-311.163328,-94.436672,-16.635678
with_clusters,table-fixed,unique_uncorrectable_words,30,4.566667,4.933333,0.366667,0.964305,0.176057,0.006630,0.726704,8.029197
with_clusters,table-fixed,memory_busy_cycles,30,10609.800000,7366.533333,-3243.266667,15.357652,2.803911,-3249.000664,-3237.532669,-30.568594
with_clusters,table-fixed,busy_percent,30,21.176667,14.686667,-6.490000,0.040258,0.007350,-6.505031,-6.474969,-30.646938
with_clusters,threshold-fixed,scrub_cycles,30,632.000000,408.000000,-224.000000,0.000000,0.000000,-224.000000,-224.000000,-35.443038
with_clusters,threshold-fixed,reads,30,10112.000000,6528.000000,-3584.000000,0.000000,0.000000,-3584.000000,-3584.000000,-35.443038
with_clusters,threshold-fixed,writes,30,497.800000,467.766667,-30.033333,14.337035,2.617573,-35.386269,-24.680398,-6.033213
with_clusters,threshold-fixed,corrected,30,497.800000,467.766667,-30.033333,14.337035,2.617573,-35.386269,-24.680398,-6.033213
with_clusters,threshold-fixed,uncorrectable_detections,30,1219.066667,1007.766667,-211.300000,211.315445,38.580745,-290.197624,-132.402376,-17.332932
with_clusters,threshold-fixed,unique_uncorrectable_words,30,4.566667,4.600000,0.033333,1.473521,0.269027,-0.516827,0.583493,0.729927
with_clusters,threshold-fixed,memory_busy_cycles,30,10609.800000,6995.766667,-3614.033333,14.337035,2.617573,-3619.386269,-3608.680398,-34.063162
with_clusters,threshold-fixed,busy_percent,30,21.176667,13.946667,-7.230000,0.046609,0.008510,-7.247402,-7.212598,-34.141351
