scenario,seed,requested_total_cycles,window_size,event_count,paired_event_count,pair_gap_min,pair_gap_max,cluster_event_count,cluster_bit_count,control_quantization,control_source,control_policy_schedule,control_policy_level_map_output,control_delay_points,safe_interval,level_intervals,threshold_levels,threshold_intervals,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
upsets,1,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,523,523,482,4,0,0,0,41603,10635,832,212,0
upsets,1,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,432,6912,507,507,447,4,1347,0,0,28587,7419,571,148,0
upsets,1,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,409,6544,481,481,853,4,788,0,0,27066,7025,541,140,0
upsets,2,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,507,507,562,5,0,0,0,41587,10619,831,212,0
upsets,2,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,432,6912,493,493,477,3,1347,0,0,28573,7405,571,148,0
upsets,2,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,409,6544,456,456,951,4,788,0,0,27041,7000,540,140,0
upsets,3,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,502,502,1290,5,0,0,0,41582,10614,831,212,0
upsets,3,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,432,6912,481,481,974,4,1347,0,0,28561,7393,571,147,0
upsets,3,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,409,6544,485,485,833,2,788,0,0,27070,7029,541,140,0
upsets,4,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,520,520,693,4,0,0,0,41600,10632,832,212,0
