scenario,seed,requested_total_cycles,window_size,event_count,paired_event_count,pair_gap_min,pair_gap_max,cluster_event_count,cluster_bit_count,control_quantization,control_source,control_policy_schedule,control_policy_level_map_output,control_delay_points,safe_interval,level_intervals,threshold_levels,threshold_intervals,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
upsets,1,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,523,523,605,4,0,0,0,41603,10635,832,212,0
upsets,1,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,432,6912,509,509,537,4,1347,0,0,28589,7421,571,148,0
upsets,1,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,409,6544,487,487,832,4,788,0,0,27072,7031,541,140,0
upsets,2,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,508,508,754,6,0,0,0,41588,10620,831,212,0
upsets,2,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,432,6912,490,490,677,4,1347,0,0,28570,7402,571,148,0
upsets,2,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,409,6544,457,457,1069,5,788,0,0,27042,7001,540,140,0
upsets,3,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,502,502,1432,6,0,0,0,41582,10614,831,212,0
upsets,3,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,432,6912,483,483,1058,5,1347,0,0,28563,7395,571,147,0
upsets,3,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,409,6544,485,485,901,3,788,0,0,27070,7029,541,140,0
upsets,4,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,520,520,826,5,0,0,0,41600,10632,832,212,0
upsets,4,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule_modified_delay.csv,results/paper/tables/risk_policy_level_map_modified_delay.csv,0,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,432,6912,503,503,711,4,1347,0,0,28583,7415,571,148,0
