scenario,comparison,metric,n,fixed_mean,adaptive_mean,delta_mean,delta_std,delta_se,ci95_low,ci95_high,relative_percent
no_clusters,table-fixed,scrub_cycles,30,632.000000,432.000000,-200.000000,0.000000,0.000000,-200.000000,-200.000000,-31.645570
no_clusters,table-fixed,reads,30,10112.000000,6912.000000,-3200.000000,0.000000,0.000000,-3200.000000,-3200.000000,-31.645570
no_clusters,table-fixed,writes,30,507.533333,482.733333,-24.800000,17.410659,3.178737,-31.300517,-18.299483,-4.886379
no_clusters,table-fixed,corrected,30,507.533333,482.733333,-24.800000,17.410659,3.178737,-31.300517,-18.299483,-4.886379
no_clusters,table-fixed,uncorrectable_detections,30,852.766667,777.300000,-75.466667,222.910332,40.697672,-158.693407,7.760073,-8.849627
no_clusters,table-fixed,unique_uncorrectable_words,30,4.200000,4.000000,-0.200000,1.214851,0.221800,-0.653582,0.253582,-4.761905
no_clusters,table-fixed,memory_busy_cycles,30,10619.533333,7394.733333,-3224.800000,17.410659,3.178737,-3231.300517,-3218.299483,-30.366683
no_clusters,table-fixed,busy_percent,30,21.186667,14.756667,-6.430000,0.046609,0.008510,-6.447402,-6.412598,-30.349276
no_clusters,threshold-fixed,scrub_cycles,30,632.000000,409.000000,-223.000000,0.000000,0.000000,-223.000000,-223.000000,-35.284810
no_clusters,threshold-fixed,reads,30,10112.000000,6544.000000,-3568.000000,0.000000,0.000000,-3568.000000,-3568.000000,-35.284810
no_clusters,threshold-fixed,writes,30,507.533333,477.233333,-30.300000,14.955451,2.730479,-35.883830,-24.716170,-5.970051
no_clusters,threshold-fixed,corrected,30,507.533333,477.233333,-30.300000,14.955451,2.730479,-35.883830,-24.716170,-5.970051
no_clusters,threshold-fixed,uncorrectable_detections,30,852.766667,806.066667,-46.700000,236.748106,43.224093,-135.093269,41.693269,-5.476293
no_clusters,threshold-fixed,unique_uncorrectable_words,30,4.200000,4.300000,0.100000,1.422722,0.259752,-0.431193,0.631193,2.380952
no_clusters,threshold-fixed,memory_busy_cycles,30,10619.533333,7021.233333,-3598.300000,14.955451,2.730479,-3603.883830,-3592.716170,-33.883786
no_clusters,threshold-fixed,busy_percent,30,21.186667,13.993333,-7.193333,0.036515,0.006667,-7.206967,-7.179700,-33.952171
with_clusters,table-fixed,scrub_cycles,30,632.000000,432.000000,-200.000000,0.000000,0.000000,-200.000000,-200.000000,-31.645570
with_clusters,table-fixed,reads,30,10112.000000,6912.000000,-3200.000000,0.000000,0.000000,-3200.000000,-3200.000000,-31.645570
with_clusters,table-fixed,writes,30,497.800000,473.533333,-24.266667,15.876535,2.898645,-30.194397,-18.338937,-4.874782
with_clusters,table-fixed,corrected,30,497.800000,473.533333,-24.266667,15.876535,2.898645,-30.194397,-18.338937,-4.874782
with_clusters,table-fixed,uncorrectable_detections,30,1219.066667,1018.666667,-200.400000,231.032406,42.180553,-286.659232,-114.140768,-16.438806
with_clusters,table-fixed,unique_uncorrectable_words,30,4.566667,4.333333,-0.233333,1.222866,0.223264,-0.689908,0.223241,-5.109489
with_clusters,table-fixed,memory_busy_cycles,30,10609.800000,7385.533333,-3224.266667,15.876535,2.898645,-3230.194397,-3218.338937,-30.389514
with_clusters,table-fixed,busy_percent,30,21.176667,14.713333,-6.463333,0.049013,0.008949,-6.481633,-6.445034,-30.521014
with_clusters,threshold-fixed,scrub_cycles,30,632.000000,409.000000,-223.000000,0.000000,0.000000,-223.000000,-223.000000,-35.284810
with_clusters,threshold-fixed,reads,30,10112.000000,6544.000000,-3568.000000,0.000000,0.000000,-3568.000000,-3568.000000,-35.284810
with_clusters,threshold-fixed,writes,30,497.800000,469.266667,-28.533333,15.000536,2.738711,-34.133997,-22.932670,-5.731887
with_clusters,threshold-fixed,corrected,30,497.800000,469.266667,-28.533333,15.000536,2.738711,-34.133997,-22.932670,-5.731887
with_clusters,threshold-fixed,uncorrectable_detections,30,1219.066667,1016.500000,-202.566667,267.255745,48.794000,-302.350397,-102.782936,-16.616537
with_clusters,threshold-fixed,unique_uncorrectable_words,30,4.566667,4.633333,0.066667,1.436791,0.262321,-0.469780,0.603113,1.459854
with_clusters,threshold-fixed,memory_busy_cycles,30,10609.800000,7013.266667,-3596.533333,15.000536,2.738711,-3602.133997,-3590.932670,-33.898220
with_clusters,threshold-fixed,busy_percent,30,21.176667,13.980000,-7.196667,0.041384,0.007556,-7.212118,-7.181215,-33.983945
