target,top,flow,status,description,wires,wire_bits,public_wires,public_wire_bits,memories,memory_bits,cells_total,ff_cells,lut_cells,carry_cells,mux_cells,memory_cells,script,log,timing_note
secded_encoder,secded_32_39_encoder,generic,ok,"SEC-DED encoder, 32 data bits to 39-bit codeword.",86,224,5,143,,,88,0,0,0,0,0,results/paper/synthesis/scripts/secded_encoder_generic.ys,results/paper/synthesis/logs/secded_encoder_generic.log,No Fmax in Yosys-only flow; target-specific place-and-route is required for timing closure.
secded_encoder,secded_32_39_encoder,xilinx_xc7_estimate,ok,"SEC-DED encoder, 32 data bits to 39-bit codeword.",16,187,5,143,,,106,0,33,0,2,0,results/paper/synthesis/scripts/secded_encoder_xilinx_xc7_estimate.ys,results/paper/synthesis/logs/secded_encoder_xilinx_xc7_estimate.log,No Fmax in Yosys-only flow; target-specific place-and-route is required for timing closure.
secded_decoder,secded_32_39_decoder,generic,ok,SEC-DED decoder/corrector and error classification logic.,201,344,8,151,,,241,0,0,0,0,0,results/paper/synthesis/scripts/secded_decoder_generic.ys,results/paper/synthesis/logs/secded_decoder_generic.log,No Fmax in Yosys-only flow; target-specific place-and-route is required for timing closure.
secded_decoder,secded_32_39_decoder,xilinx_xc7_estimate,ok,SEC-DED decoder/corrector and error classification logic.,123,437,10,158,,,256,0,116,2,14,0,results/paper/synthesis/scripts/secded_decoder_xilinx_xc7_estimate.ys,results/paper/synthesis/logs/secded_decoder_xilinx_xc7_estimate.log,No Fmax in Yosys-only flow; target-specific place-and-route is required for timing closure.
interval_selector,interval_selector,generic,ok,Interval selection block for fixed/table/threshold/safe modes.,1214,1787,30,540,,,1285,38,0,0,0,0,results/paper/synthesis/scripts/interval_selector_generic.ys,results/paper/synthesis/logs/interval_selector_generic.log,No Fmax in Yosys-only flow; target-specific place-and-route is required for timing closure.
interval_selector,interval_selector,xilinx_xc7_estimate,ok,Interval selection block for fixed/table/threshold/safe modes.,555,2098,30,540,,,1082,38,306,11,186,0,results/paper/synthesis/scripts/interval_selector_xilinx_xc7_estimate.ys,results/paper/synthesis/logs/interval_selector_xilinx_xc7_estimate.log,No Fmax in Yosys-only flow; target-specific place-and-route is required for timing closure.
measured_control_estimator,measured_control_estimator,generic,ok,Estimator that forms a control level from observed error counters.,579,1144,21,584,,,836,180,0,0,1,0,results/paper/synthesis/scripts/measured_control_estimator_generic.ys,results/paper/synthesis/logs/measured_control_estimator_generic.log,No Fmax in Yosys-only flow; target-specific place-and-route is required for timing closure.
measured_control_estimator,measured_control_estimator,xilinx_xc7_estimate,ok,Estimator that forms a control level from observed error counters.,230,1448,20,491,,,679,197,211,51,19,0,results/paper/synthesis/scripts/measured_control_estimator_xilinx_xc7_estimate.ys,results/paper/synthesis/logs/measured_control_estimator_xilinx_xc7_estimate.log,No Fmax in Yosys-only flow; target-specific place-and-route is required for timing closure.
adaptive_scrub_controller,adaptive_scrub_controller,generic,ok,"Full scrub controller, including SEC-DED decode path, interval selection, and measured-control estimator.",1215,3355,76,1403,,,2068,491,0,0,7,0,results/paper/synthesis/scripts/adaptive_scrub_controller_generic.ys,results/paper/synthesis/logs/adaptive_scrub_controller_generic.log,No Fmax in Yosys-only flow; target-specific place-and-route is required for timing closure.
adaptive_scrub_controller,adaptive_scrub_controller,xilinx_xc7_estimate,ok,"Full scrub controller, including SEC-DED decode path, interval selection, and measured-control estimator.",879,6065,123,2663,,,3220,730,883,183,214,0,results/paper/synthesis/scripts/adaptive_scrub_controller_xilinx_xc7_estimate.ys,results/paper/synthesis/logs/adaptive_scrub_controller_xilinx_xc7_estimate.log,No Fmax in Yosys-only flow; target-specific place-and-route is required for timing closure.
