variant,scenario,strategy,fixed_unique,adaptive_unique,delta_unique,unique_ci_low,unique_ci_high,fixed_busy,adaptive_busy,delta_busy,busy_ci_low,busy_ci_high,busy_reduction_percent,delta_detections,detections_ci_low,detections_ci_high,delta_scrub_cycles,scrub_reduction_percent
sync,no_clusters,table,4.2,4.0,-0.2,-0.664058,0.264058,21.186667,14.746667,-6.44,-6.458604,-6.421396,30.396476,-84.1,-166.211466,-1.988534,-200.0,31.64557
sync,no_clusters,threshold,4.2,4.2,0.0,-0.509484,0.509484,21.186667,13.966667,-7.22,-7.23519,-7.20481,34.078037,-61.566667,-129.608781,6.475448,-224.0,35.443038
sync,with_clusters,table,4.566667,4.3,-0.266667,-0.715276,0.181942,21.176667,14.726667,-6.45,-6.468987,-6.431013,30.458051,-206.3,-298.759465,-113.840535,-200.0,31.64557
sync,with_clusters,threshold,4.566667,4.6,0.033333,-0.461634,0.528301,21.176667,13.946667,-7.23,-7.247402,-7.212598,34.141351,-199.833333,-278.092116,-121.574551,-224.0,35.443038
delayed_1h,no_clusters,table,4.2,4.633333,0.433333,0.032845,0.833822,21.186667,14.696667,-6.49,-6.501392,-6.478608,30.632473,-67.2,-168.3883,33.9883,-201.0,31.803797
delayed_1h,no_clusters,threshold,4.2,4.133333,-0.066667,-0.594076,0.460743,21.186667,13.966667,-7.22,-7.23519,-7.20481,34.078037,-77.533333,-146.64295,-8.423716,-224.0,35.443038
delayed_1h,with_clusters,table,4.566667,4.933333,0.366667,0.00663,0.726704,21.176667,14.686667,-6.49,-6.505031,-6.474969,30.646938,-202.8,-311.163328,-94.436672,-201.0,31.803797
delayed_1h,with_clusters,threshold,4.566667,4.6,0.033333,-0.516827,0.583493,21.176667,13.946667,-7.23,-7.247402,-7.212598,34.141351,-211.3,-290.197624,-132.402376,-224.0,35.443038
modified_delay,no_clusters,table,4.2,4.0,-0.2,-0.653582,0.253582,21.186667,14.756667,-6.43,-6.447402,-6.412598,30.349276,-75.466667,-158.693407,7.760073,-200.0,31.64557
modified_delay,no_clusters,threshold,4.2,4.3,0.1,-0.431193,0.631193,21.186667,13.993333,-7.193333,-7.206967,-7.1797,33.952171,-46.7,-135.093269,41.693269,-223.0,35.28481
modified_delay,with_clusters,table,4.566667,4.333333,-0.233333,-0.689908,0.223241,21.176667,14.713333,-6.463333,-6.481633,-6.445034,30.521014,-200.4,-286.659232,-114.140768,-200.0,31.64557
modified_delay,with_clusters,threshold,4.566667,4.633333,0.066667,-0.46978,0.603113,21.176667,13.98,-7.196667,-7.212118,-7.181215,33.983945,-202.566667,-302.350397,-102.782936,-223.0,35.28481
