scenario,description,event_count,interleave_depth,hmd_mode,hmd_source,p1,p2,p3,p4,p5,pm_json,hmd_json,g_D,g_D_limit,E_inst,E_residual,residual_fraction,pass_criterion,required_action
subbudget_3bit_clusters,3-bit clusters are present but their instant contribution remains below the mission risk budget.,1000000,1,logical_round_robin,logical_round_robin,0,0,5e-09,0,0,"{""2"": 0.0, ""3"": 5e-09, ""4"": 0.0}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0}",5e-09,1.00503358535e-08,0.005,0.0050503358535,0.502504187633,yes,scrubbing may use residual accumulated-risk budget
subbudget_3bit_clusters,3-bit clusters are present but their instant contribution remains below the mission risk budget.,1000000,2,logical_round_robin,logical_round_robin,0,0,5e-09,0,0,"{""2"": 0.0, ""3"": 5e-09, ""4"": 0.0}","{""2"": 0.0, ""3"": 1.0, ""4"": 1.0}",5e-09,1.00503358535e-08,0.005,0.0050503358535,0.502504187633,yes,scrubbing may use residual accumulated-risk budget
subbudget_3bit_clusters,3-bit clusters are present but their instant contribution remains below the mission risk budget.,1000000,3,logical_round_robin,logical_round_robin,0,0,5e-09,0,0,"{""2"": 0.0, ""3"": 5e-09, ""4"": 0.0}","{""2"": 0.0, ""3"": 0.0, ""4"": 1.0}",0,1.00503358535e-08,0,0.0100503358535,1,yes,scrubbing may optimize only accumulated risk
subbudget_3bit_clusters,3-bit clusters are present but their instant contribution remains below the mission risk budget.,1000000,4,logical_round_robin,logical_round_robin,0,0,5e-09,0,0,"{""2"": 0.0, ""3"": 5e-09, ""4"": 0.0}","{""2"": 0.0, ""3"": 0.0, ""4"": 0.0}",0,1.00503358535e-08,0,0.0100503358535,1,yes,scrubbing may optimize only accumulated risk
rare_3bit_clusters,Rare but over-budget 3-bit clusters; D=3 is sufficient in the idealized mapping.,1000000,1,logical_round_robin,logical_round_robin,0,0,2e-08,0,0,"{""2"": 0.0, ""3"": 2e-08, ""4"": 0.0}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0}",2e-08,1.00503358535e-08,0.02,-0.0099496641465,-0.989983249468,no,increase interleaving or reduce instant MBU mapping probability
rare_3bit_clusters,Rare but over-budget 3-bit clusters; D=3 is sufficient in the idealized mapping.,1000000,2,logical_round_robin,logical_round_robin,0,0,2e-08,0,0,"{""2"": 0.0, ""3"": 2e-08, ""4"": 0.0}","{""2"": 0.0, ""3"": 1.0, ""4"": 1.0}",2e-08,1.00503358535e-08,0.02,-0.0099496641465,-0.989983249468,no,increase interleaving or reduce instant MBU mapping probability
rare_3bit_clusters,Rare but over-budget 3-bit clusters; D=3 is sufficient in the idealized mapping.,1000000,3,logical_round_robin,logical_round_robin,0,0,2e-08,0,0,"{""2"": 0.0, ""3"": 2e-08, ""4"": 0.0}","{""2"": 0.0, ""3"": 0.0, ""4"": 1.0}",0,1.00503358535e-08,0,0.0100503358535,1,yes,scrubbing may optimize only accumulated risk
rare_3bit_clusters,Rare but over-budget 3-bit clusters; D=3 is sufficient in the idealized mapping.,1000000,4,logical_round_robin,logical_round_robin,0,0,2e-08,0,0,"{""2"": 0.0, ""3"": 2e-08, ""4"": 0.0}","{""2"": 0.0, ""3"": 0.0, ""4"": 0.0}",0,1.00503358535e-08,0,0.0100503358535,1,yes,scrubbing may optimize only accumulated risk
strong_3bit_clusters,"More frequent 3-bit clusters; D=1/2 violates the budget, D=3 removes the instant SECDED-DUE part.",1000000,1,logical_round_robin,logical_round_robin,0,0,2e-07,0,0,"{""2"": 0.0, ""3"": 2e-07, ""4"": 0.0}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0}",2e-07,1.00503358535e-08,0.2,-0.189949664146,-18.8998324947,no,increase interleaving or reduce instant MBU mapping probability
strong_3bit_clusters,"More frequent 3-bit clusters; D=1/2 violates the budget, D=3 removes the instant SECDED-DUE part.",1000000,2,logical_round_robin,logical_round_robin,0,0,2e-07,0,0,"{""2"": 0.0, ""3"": 2e-07, ""4"": 0.0}","{""2"": 0.0, ""3"": 1.0, ""4"": 1.0}",2e-07,1.00503358535e-08,0.2,-0.189949664146,-18.8998324947,no,increase interleaving or reduce instant MBU mapping probability
strong_3bit_clusters,"More frequent 3-bit clusters; D=1/2 violates the budget, D=3 removes the instant SECDED-DUE part.",1000000,3,logical_round_robin,logical_round_robin,0,0,2e-07,0,0,"{""2"": 0.0, ""3"": 2e-07, ""4"": 0.0}","{""2"": 0.0, ""3"": 0.0, ""4"": 1.0}",0,1.00503358535e-08,0,0.0100503358535,1,yes,scrubbing may optimize only accumulated risk
strong_3bit_clusters,"More frequent 3-bit clusters; D=1/2 violates the budget, D=3 removes the instant SECDED-DUE part.",1000000,4,logical_round_robin,logical_round_robin,0,0,2e-07,0,0,"{""2"": 0.0, ""3"": 2e-07, ""4"": 0.0}","{""2"": 0.0, ""3"": 0.0, ""4"": 0.0}",0,1.00503358535e-08,0,0.0100503358535,1,yes,scrubbing may optimize only accumulated risk
mixed_2bit_3bit,Mixture of 2-bit and 3-bit clusters; D=3 removes the 3-bit part but 2-bit same-event hits still require D>=2.,1000000,1,logical_round_robin,logical_round_robin,0,5e-08,1e-07,0,0,"{""2"": 5e-08, ""3"": 1e-07, ""4"": 0.0}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0}",1.5e-07,1.00503358535e-08,0.15,-0.139949664146,-13.924874371,no,increase interleaving or reduce instant MBU mapping probability
mixed_2bit_3bit,Mixture of 2-bit and 3-bit clusters; D=3 removes the 3-bit part but 2-bit same-event hits still require D>=2.,1000000,2,logical_round_robin,logical_round_robin,0,5e-08,1e-07,0,0,"{""2"": 5e-08, ""3"": 1e-07, ""4"": 0.0}","{""2"": 0.0, ""3"": 1.0, ""4"": 1.0}",1e-07,1.00503358535e-08,0.1,-0.0899496641465,-8.94991624734,no,increase interleaving or reduce instant MBU mapping probability
mixed_2bit_3bit,Mixture of 2-bit and 3-bit clusters; D=3 removes the 3-bit part but 2-bit same-event hits still require D>=2.,1000000,3,logical_round_robin,logical_round_robin,0,5e-08,1e-07,0,0,"{""2"": 5e-08, ""3"": 1e-07, ""4"": 0.0}","{""2"": 0.0, ""3"": 0.0, ""4"": 1.0}",0,1.00503358535e-08,0,0.0100503358535,1,yes,scrubbing may optimize only accumulated risk
mixed_2bit_3bit,Mixture of 2-bit and 3-bit clusters; D=3 removes the 3-bit part but 2-bit same-event hits still require D>=2.,1000000,4,logical_round_robin,logical_round_robin,0,5e-08,1e-07,0,0,"{""2"": 5e-08, ""3"": 1e-07, ""4"": 0.0}","{""2"": 0.0, ""3"": 0.0, ""4"": 0.0}",0,1.00503358535e-08,0,0.0100503358535,1,yes,scrubbing may optimize only accumulated risk
four_bit_clusters,4-bit clusters remain dangerous at D=3; D=4 or a stronger code/placement rule is required.,1000000,1,logical_round_robin,logical_round_robin,0,0,0,2e-07,0,"{""2"": 0.0, ""3"": 0.0, ""4"": 2e-07}","{""2"": 1.0, ""3"": 1.0, ""4"": 1.0}",2e-07,1.00503358535e-08,0.2,-0.189949664146,-18.8998324947,no,increase interleaving or reduce instant MBU mapping probability
four_bit_clusters,4-bit clusters remain dangerous at D=3; D=4 or a stronger code/placement rule is required.,1000000,2,logical_round_robin,logical_round_robin,0,0,0,2e-07,0,"{""2"": 0.0, ""3"": 0.0, ""4"": 2e-07}","{""2"": 0.0, ""3"": 1.0, ""4"": 1.0}",2e-07,1.00503358535e-08,0.2,-0.189949664146,-18.8998324947,no,increase interleaving or reduce instant MBU mapping probability
