interval_seconds,hours,fraction,cycles,risk_e,nu_min,nu_max
1,30,0.000684556,108000.000000,0.000768147649753,342.572189232,1193.96354958
2,34,0.000775831,61200.000000,0.000233541293305,146.50724348,301.224210965
5,72,0.001642935,51840.000000,0.000257534191702,65.9931539386,143.855035468
10,159,0.003628149,57240.000000,0.0001676436598,26.5251796024,64.4426492289
30,5637,0.128628149,676440.000000,0.00205538738269,10.7813606891,26.1791397383
60,15077,0.344035232,904620.000000,0.0040286089195,5.39069390134,10.7809653012
120,22815,0.520605148,684450.000000,0.0025393178555,2.47950109076,5.39063620727
300,0,0.000000000,0.000000,0,,
600,0,0.000000000,0.000000,0,,
1200,0,0.000000000,0.000000,0,,
1800,0,0.000000000,0.000000,0,,
3600,0,0.000000000,0.000000,0,,
