interval_seconds,hours,fraction,cycles,risk_e,nu_min,nu_max
1,33,0.000753012,118800.000000,0.000756825327397,243.293844356,1193.96354958
2,36,0.000821468,64800.000000,0.000249649778005,106.237909255,642.964468347
5,75,0.001711391,54000.000000,0.000244347198552,40.9305292012,247.421757889
10,166,0.003787879,59760.000000,0.000222406405845,13.7981792132,301.224210965
30,6002,0.136956919,720240.000000,0.00211499018724,7.8239501227,51.9568135802
60,15054,0.343510405,903240.000000,0.00394770041724,3.2343846364,52.5780761657
120,22458,0.512458927,673740.000000,0.00251422812554,2.47950109076,66.5778260924
300,0,0.000000000,0.000000,0,,
600,0,0.000000000,0.000000,0,,
1200,0,0.000000000,0.000000,0,,
1800,0,0.000000000,0.000000,0,,
3600,0,0.000000000,0.000000,0,,
