hour_index,nu,tau_seconds,lambda,q_cycle,cycles_per_hour
0,10.8034405568,30,0.0900286713065,2.03977853035e-09,120
1,11.4492066034,30,0.0954100550285,2.29091843874e-09,120
2,12.2729953778,30,0.102274961482,2.63244911017e-09,120
3,12.4337203977,30,0.103614336648,2.7018487714e-09,120
4,12.8720424856,30,0.107267020713,2.89570137281e-09,120
5,11.9531032056,30,0.0996091933797,2.49700942483e-09,120
6,11.75593218,30,0.0979661014997,2.41531059743e-09,120
7,12.0425796452,30,0.100354830376,2.53453269244e-09,120
8,12.1486644779,30,0.101238870649,2.57938350782e-09,120
9,11.6812049423,30,0.0973433745189,2.3847020773e-09,120
10,11.1581142784,30,0.0929842856534,2.17590761965e-09,120
11,10.9098426733,30,0.0909153556106,2.08015558235e-09,120
12,10.6055630847,60,0.176759384745,7.86296418489e-09,60
13,10.2593310473,60,0.170988850788,7.35795151829e-09,60
14,9.91342024239,60,0.165223670706,6.87014444174e-09,60
15,9.20061171616,60,0.153343528603,5.91769040246e-09,60
16,8.57850689535,60,0.142975114922,5.14448900841e-09,60
17,8.55005905943,60,0.142500984324,5.11042552381e-09,60
18,8.71853774542,60,0.145308962424,5.31381142799e-09,60
19,8.81405546224,60,0.146900924371,5.43088231895e-09,60
20,8.97246279092,60,0.149541046515,5.62784549873e-09,60
21,9.17649024498,60,0.152941504083,5.88670196692e-09,60
22,9.24203161979,60,0.15403386033,5.971091611e-09,60
23,9.7303116792,60,0.16217186132,6.61869452984e-09,60
24,10.2062218387,60,0.170103697311,7.28196926896e-09,60
25,10.0325236118,60,0.167208726863,7.03621684646e-09,60
26,10.1922504847,60,0.169870841412,7.26204625808e-09,60
27,10.4988708118,60,0.174981180197,7.70555665329e-09,60
28,10.4553867447,60,0.174256445745,7.64185931732e-09,60
29,10.3296428115,60,0.172160713524,7.45915175573e-09,60
30,10.0796009234,60,0.167993348723,7.10240624547e-09,60
31,9.99138032866,60,0.166523005478,6.97862426676e-09,60
32,10.1627782594,60,0.169379637657,7.22010866679e-09,60
33,9.69406951714,60,0.161567825286,6.56948149761e-09,60
34,9.97999887039,60,0.166333314507,6.96273423364e-09,60
35,9.99984387419,60,0.16666406457,6.99045224615e-09,60
36,9.67295745415,60,0.161215957569,6.54089819122e-09,60
37,9.52517301322,60,0.158752883554,6.3425599371e-09,60
38,9.36681014513,60,0.156113502419,6.13341385056e-09,60
39,9.19853365127,60,0.153308894188,5.91501754629e-09,60
40,9.01938975133,60,0.150323162522,5.68686793637e-09,60
41,8.89898316403,60,0.148316386067,5.5360449095e-09,60
42,8.74308214393,60,0.145718035732,5.34377239028e-09,60
43,8.61031273272,60,0.143505212212,5.18270733986e-09,60
44,8.59170403869,60,0.143195067312,5.16032970949e-09,60
45,8.85882358775,60,0.147647059796,5.4861912226e-09,60
46,8.97156926773,60,0.149526154462,5.62672465596e-09,60
47,9.37012603951,60,0.156168767325,6.13775713329e-09,60
48,9.52986398315,60,0.158831066386,6.3488086602e-09,60
49,9.38772003791,60,0.156462000632,6.16082812963e-09,60
50,9.95222242442,60,0.16587037374,6.92403064716e-09,60
51,10.2767371915,60,0.171278953191,7.3829399333e-09,60
52,10.3787259444,60,0.172978765739,7.53020714114e-09,60
53,10.6159341293,60,0.176932235489,7.87834988838e-09,60
54,9.67109066634,60,0.161184844439,6.53837377388e-09,60
55,9.70772446047,60,0.161795407674,6.58800190881e-09,60
56,9.5072365076,60,0.158453941793,6.31869554115e-09,60
57,9.42103382778,60,0.157017230463,6.20463103319e-09,60
58,9.15015100005,60,0.152502516668,5.85295730873e-09,60
59,9.05251527488,60,0.150875254581,5.72871697839e-09,60
60,9.01938975133,60,0.150323162522,5.68686793637e-09,60
61,8.89898316403,60,0.148316386067,5.5360449095e-09,60
62,8.82149885522,60,0.14702498092,5.44005885759e-09,60
63,8.76560704399,60,0.146093450733,5.37134229976e-09,60
64,8.64611996501,60,0.144101999417,5.22590304918e-09,60
65,8.59930782403,60,0.143321797067,5.16946768778e-09,60
66,8.57850689535,60,0.142975114922,5.14448900841e-09,60
67,8.55005905943,60,0.142500984324,5.11042552381e-09,60
68,8.65408935059,60,0.14423482251,5.23554122915e-09,60
69,8.76938412763,60,0.146156402127,5.37597229973e-09,60
70,8.79661566238,60,0.14661026104,5.40941211165e-09,60
71,8.65454560967,60,0.144242426828,5.23609329792e-09,60
72,8.98699297533,60,0.149783216255,5.64608794738e-09,60
73,9.27561555737,60,0.154593592623,6.01456627693e-09,60
74,9.02049195765,60,0.150341532628,5.68825793835e-09,60
75,9.73225474919,60,0.16220424582,6.62133820072e-09,60
76,9.92999161739,60,0.16549986029,6.89313204674e-09,60
77,10.2787354034,60,0.171312256723,7.38581129461e-09,60
78,9.94084763373,60,0.165680793895,6.90821219227e-09,60
79,9.50687369711,60,0.158447894952,6.31821328844e-09,60
80,9.32056194418,60,0.15534269907,6.07299646743e-09,60
81,8.89467658053,60,0.148244609676,5.53068796696e-09,60
82,8.77786059131,60,0.146297676522,5.38637012398e-09,60
83,8.76777242565,60,0.146129540427,5.37399640978e-09,60
84,8.74772363767,60,0.145795393961,5.34944765888e-09,60
85,8.67698810606,60,0.144616468434,5.26328441154e-09,60
86,8.60691160936,60,0.143448526823,5.17861374974e-09,60
87,8.58916944358,60,0.14315282406,5.1572855131e-09,60
88,8.56225098911,60,0.142704183152,5.1250103052e-09,60
89,8.54557594454,60,0.142426265742,5.10506775537e-09,60
90,8.54459795511,60,0.142409965918,5.10389933404e-09,60
91,8.54150402134,60,0.142358400356,5.10020383715e-09,60
92,8.52918819947,60,0.142153136658,5.08550667907e-09,60
93,8.50564553561,60,0.141760758927,5.05747091896e-09,60
94,8.45624031619,60,0.140937338603,4.998888702e-09,60
