case,group,n,mean_nu,max_nu,cv2,eta_theory,eta_numeric,eta_relative_error_percent,fixed_cycles,ideal_cycles,discrete_cycles,discrete_loss_vs_ideal,discrete_gain_vs_fixed,p_mission_discrete,tau_min_seconds,tau_max_seconds,intervals,discrete_saturated_at_tau_max
real_scale_0.1,scale,43824,0.1,16.8811371825,6.24295991773,7.24295991773,7.24295991774,6.86462834249e-11,3483.21973123,480.911087565,43824,91.1270318633,0.0794820128521,0.000798501950982,3600,3600,"1,2,5,10,30,60,120,300,600,1200,1800,3600",yes
real_scale_1,scale,43824,1,168.811371825,6.24295991773,7.24295991773,7.24295991773,9.13567008781e-12,348321.973123,48091.1087565,54978,1.14320508347,6.33566104847,0.00999995793628,30,3600,"1,2,5,10,30,60,120,300,600,1200,1800,3600",no
real_scale_10,scale,43824,10,1688.11371825,6.24295991773,7.24295991773,7.24295991773,9.45327257811e-11,34832197.3123,4809110.87565,5655480,1.17599284904,6.15901697332,0.00999966663749,1,60,"1,2,5,10,30,60,120,300,600,1200,1800,3600",no
real_smoothed_w3,smoothing,43824,1,155.525018876,5.99133071056,6.99133071056,6.99133071056,2.75803767408e-11,336220.845555,48091.1087565,54951,1.14264364912,6.11855736119,0.00999989722154,30,3600,"1,2,5,10,30,60,120,300,600,1200,1800,3600",no
real_smoothed_w12,smoothing,43824,1,95.9395078345,4.8397213967,5.8397213967,5.8397213967,4.92475843902e-11,280838.676797,48091.1087565,54965,1.14293476323,5.10940920216,0.00999981484691,30,3600,"1,2,5,10,30,60,120,300,600,1200,1800,3600",no
real_smoothed_w24,smoothing,43824,1,82.1502247726,4.02011580698,5.02011580698,5.02011580699,7.89257475848e-11,241422.935244,48091.1087565,54917,1.14193665773,4.3961420916,0.0099998841743,60,3600,"1,2,5,10,30,60,120,300,600,1200,1800,3600",no
real_smoothed_w72,smoothing,43824,1,34.0846691792,2.08947416089,3.08947416089,3.08947416089,5.2581062182e-11,148576.237872,48091.1087565,54639,1.13615596339,2.71923420765,0.00999998419673,120,3600,"1,2,5,10,30,60,120,300,600,1200,1800,3600",no
real_peak_clip_q0.99,peak_clip,43824,1,2.92621927289,0.322803024035,1.32280302403,1.32280302403,1.80280738218e-11,63615.0640923,48091.1087565,53488,1.11222222533,1.18933338491,0.00999988599239,1200,3600,"1,2,5,10,30,60,120,300,600,1200,1800,3600",no
real_peak_clip_q0.95,peak_clip,43824,1,2.12592606557,0.283536885437,1.28353688544,1.28353688544,5.6517247967e-11,61726.7119506,48091.1087565,53237,1.10700296534,1.15947014202,0.00999991648429,1800,3600,"1,2,5,10,30,60,120,300,600,1200,1800,3600",no
real_peak_clip_q0.9,peak_clip,43824,1,1.90588126456,0.255468597832,1.25546859783,1.25546859783,7.76954478288e-11,60376.8768787,48091.1087565,53104,1.10423738136,1.13695534948,0.00999995176827,1800,3600,"1,2,5,10,30,60,120,300,600,1200,1800,3600",no
real_default_grid,period_grid,43824,1,168.811371825,6.24295991773,7.24295991773,7.24295991773,9.13567008781e-12,348321.973123,48091.1087565,54978,1.14320508347,6.33566104847,0.00999995793628,30,3600,"1,2,5,10,30,60,120,300,600,1200,1800,3600",no
real_dense_grid,period_grid,43824,1,168.811371825,6.24295991773,7.24295991773,7.24295991773,9.13567008781e-12,348321.973123,48091.1087565,54176.5,1.12653880106,6.42939232182,0.00999981379007,20,3600,"1,1.5,2,3,5,7,10,15,20,30,45,60,90,120,180,300,450,600,900,1200,1800,2400,3600",no
real_coarse_grid,period_grid,43824,1,168.811371825,6.24295991773,7.24295991773,7.24295991773,9.13567008781e-12,348321.973123,48091.1087565,56238,1.16940535276,6.19371195852,0.0099890256253,10,3600,"1,10,60,300,1800,3600",no
synthetic_flat,synthetic,43824,1,1,0,1,1,3.59712259979e-12,48091.1087565,48091.1087565,87648,1.82254063727,0.548684610676,0.00549928786498,1800,1800,"1,2,5,10,30,60,120,300,600,1200,1800,3600",no
synthetic_sine_a0.25,synthetic,43824,1,1.25,0.03125,1.03125,1.03125,4.37952704405e-11,49593.9559052,48091.1087565,50663,1.05347955807,0.978898918445,0.00999975416493,1800,3600,"1,2,5,10,30,60,120,300,600,1200,1800,3600",no
synthetic_sine_a0.75,synthetic,43824,1,1.75,0.28125,1.28125,1.28125,4.36897130939e-11,61616.7330943,48091.1087565,55491,1.15387233596,1.11039147059,0.00999972192299,1800,3600,"1,2,5,10,30,60,120,300,600,1200,1800,3600",no
synthetic_two_level_10pct_x10,synthetic,43824,1,5.26338545795,2.01940135585,3.01940135585,3.01940135584,1.39092196187e-10,145206.358984,48091.1087566,65734,1.36686389022,2.20899928475,0.00781101173992,600,3600,"1,2,5,10,30,60,120,300,600,1200,1800,3600",no
synthetic_two_level_02pct_x50,synthetic,43824,1,25.259371974,12.0038419631,13.0038419631,13.0038419631,4.97779374831e-11,625369.178098,48091.1087566,69228,1.43951765285,9.03347168918,0.00741948160083,120,3600,"1,2,5,10,30,60,120,300,600,1200,1800,3600",no
synthetic_bursts_5x48_x30,synthetic,43824,1,25.8884688091,3.41099052676,4.41099052676,4.41099052676,8.71870509349e-12,212129.425147,48091.1087566,50784,1.05599561568,4.177091705,0.0094722558735,120,3600,"1,2,5,10,30,60,120,300,600,1200,1800,3600",no
