scenario,seed,requested_total_cycles,window_size,event_count,paired_event_count,pair_gap_min,pair_gap_max,cluster_event_count,cluster_bit_count,control_quantization,control_source,control_policy_schedule,control_policy_level_map_output,safe_interval,level_intervals,threshold_levels,threshold_intervals,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
upsets,1,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",fixed,50000,632,10112,523,523,482,4,0,0,0,41603,10635,832,212,0
upsets,1,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",table,50000,246,3936,426,426,694,4,1295,0,0,16416,4362,328,87,0
upsets,1,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",threshold,50000,284,4544,469,469,583,4,776,0,0,18929,5013,378,100,0
upsets,2,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",fixed,50000,632,10112,507,507,562,5,0,0,0,41587,10619,831,212,0
upsets,2,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",table,50000,246,3936,432,432,647,4,1295,0,0,16422,4368,328,87,0
upsets,2,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",threshold,50000,284,4544,440,440,613,5,776,0,0,18900,4984,378,99,0
upsets,3,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",fixed,50000,632,10112,502,502,1290,5,0,0,0,41582,10614,831,212,0
upsets,3,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",table,50000,246,3936,436,436,770,5,1295,0,0,16426,4372,328,87,0
upsets,3,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",threshold,50000,284,4544,425,425,940,5,776,0,0,18885,4969,377,99,0
upsets,4,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",fixed,50000,632,10112,520,520,693,4,0,0,0,41600,10632,832,212,0
upsets,4,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",table,50000,246,3936,434,434,768,5,1295,0,0,16424,4370,328,87,0
upsets,4,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",threshold,50000,284,4544,471,471,541,3,776,0,0,18931,5015,378,100,0
upsets,5,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",fixed,50000,632,10112,500,500,617,5,0,0,0,41580,10612,831,212,0
upsets,5,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",table,50000,246,3936,448,448,406,6,1295,0,0,16438,4384,328,87,0
upsets,5,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",threshold,50000,284,4544,465,465,490,5,776,0,0,18925,5009,378,100,0
upsets,6,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",fixed,50000,632,10112,511,511,1091,8,0,0,0,41591,10623,831,212,0
upsets,6,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",table,50000,246,3936,435,435,701,8,1295,0,0,16425,4371,328,87,0
upsets,6,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",threshold,50000,284,4544,435,435,825,8,776,0,0,18895,4979,377,99,0
upsets,7,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",fixed,50000,632,10112,511,511,978,0,0,0,0,41591,10623,831,212,0
upsets,7,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",table,50000,246,3936,407,407,933,2,1295,0,0,16397,4343,327,86,0
upsets,7,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",threshold,50000,284,4544,461,461,620,0,776,0,0,18921,5005,378,100,0
upsets,8,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",fixed,50000,632,10112,506,506,778,4,0,0,0,41586,10618,831,212,0
upsets,8,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",table,50000,246,3936,425,425,608,2,1295,0,0,16415,4361,328,87,0
upsets,8,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",threshold,50000,284,4544,451,451,635,1,776,0,0,18911,4995,378,99,0
upsets,9,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",fixed,50000,632,10112,478,478,1034,4,0,0,0,41558,10590,831,211,0
upsets,9,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",table,50000,246,3936,417,417,663,2,1295,0,0,16407,4353,328,87,0
upsets,9,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",threshold,50000,284,4544,431,431,680,2,776,0,0,18891,4975,377,99,0
upsets,10,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",fixed,50000,632,10112,521,521,541,4,0,0,0,41601,10633,832,212,0
upsets,10,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",table,50000,246,3936,427,427,703,4,1295,0,0,16417,4363,328,87,0
upsets,10,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",threshold,50000,284,4544,456,456,712,6,776,0,0,18916,5000,378,100,0
upsets,11,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",fixed,50000,632,10112,508,508,582,4,0,0,0,41588,10620,831,212,0
upsets,11,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",table,50000,246,3936,449,449,514,2,1295,0,0,16439,4385,328,87,0
upsets,11,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",threshold,50000,284,4544,439,439,726,3,776,0,0,18899,4983,377,99,0
upsets,12,50000,43824,400,100,60,300,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",fixed,50000,632,10112,520,520,732,2,0,0,0,41600,10632,832,212,0
