scenario,seed,requested_total_cycles,window_size,event_count,paired_event_count,pair_gap_min,pair_gap_max,cluster_event_count,cluster_bit_count,control_quantization,control_source,control_policy_schedule,control_policy_level_map_output,safe_interval,level_intervals,threshold_levels,threshold_intervals,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
upsets,1,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",fixed,50000,632,10112,523,523,605,4,0,0,0,41603,10635,832,212,0
upsets,1,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",table,50000,246,3936,426,426,733,4,1295,0,0,16416,4362,328,87,0
upsets,1,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",threshold,50000,284,4544,469,469,635,4,776,0,0,18929,5013,378,100,0
upsets,2,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",fixed,50000,632,10112,508,508,754,6,0,0,0,41588,10620,831,212,0
upsets,2,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",table,50000,246,3936,430,430,729,5,1295,0,0,16420,4366,328,87,0
upsets,2,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",threshold,50000,284,4544,441,441,688,6,776,0,0,18901,4985,378,99,0
upsets,3,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",fixed,50000,632,10112,502,502,1432,6,0,0,0,41582,10614,831,212,0
upsets,3,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",table,50000,246,3936,438,438,814,6,1295,0,0,16428,4374,328,87,0
upsets,3,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",threshold,50000,284,4544,425,425,1002,6,776,0,0,18885,4969,377,99,0
upsets,4,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map.csv,1,"240,200,150,120,100,80,70,70","2,1,4,3","200,120,70",fixed,50000,632,10112,520,520,826,5,0,0,0,41600,10632,832,212,0
