scenario,comparison,metric,n,fixed_mean,adaptive_mean,delta_mean,delta_std,delta_se,ci95_low,ci95_high,relative_percent
no_clusters,table-fixed,scrub_cycles,30,632.000000,246.000000,-386.000000,0.000000,0.000000,-386.000000,-386.000000,-61.075949
no_clusters,table-fixed,reads,30,10112.000000,3936.000000,-6176.000000,0.000000,0.000000,-6176.000000,-6176.000000,-61.075949
no_clusters,table-fixed,writes,30,507.533333,419.133333,-88.400000,19.464557,3.553726,-95.667369,-81.132631,-17.417575
no_clusters,table-fixed,corrected,30,507.533333,419.133333,-88.400000,19.464557,3.553726,-95.667369,-81.132631,-17.417575
no_clusters,table-fixed,uncorrectable_detections,30,852.766667,750.466667,-102.300000,234.876218,42.882334,-189.994374,-14.605626,-11.996248
no_clusters,table-fixed,unique_uncorrectable_words,30,4.200000,4.966667,0.766667,1.774986,0.324067,0.103950,1.429383,18.253968
no_clusters,table-fixed,memory_busy_cycles,30,10619.533333,4355.133333,-6264.400000,19.464557,3.553726,-6271.667369,-6257.132631,-58.989409
no_clusters,table-fixed,busy_percent,30,21.186667,8.666667,-12.520000,0.048423,0.008841,-12.538080,-12.501920,-59.093770
no_clusters,threshold-fixed,scrub_cycles,30,632.000000,284.000000,-348.000000,0.000000,0.000000,-348.000000,-348.000000,-55.063291
no_clusters,threshold-fixed,reads,30,10112.000000,4544.000000,-5568.000000,0.000000,0.000000,-5568.000000,-5568.000000,-55.063291
no_clusters,threshold-fixed,writes,30,507.533333,439.633333,-67.900000,19.099287,3.487037,-75.030990,-60.769010,-13.378432
no_clusters,threshold-fixed,corrected,30,507.533333,439.633333,-67.900000,19.099287,3.487037,-75.030990,-60.769010,-13.378432
no_clusters,threshold-fixed,uncorrectable_detections,30,852.766667,748.900000,-103.866667,238.311117,43.509458,-192.843509,-14.889825,-12.179963
no_clusters,threshold-fixed,unique_uncorrectable_words,30,4.200000,4.733333,0.533333,1.569831,0.286611,-0.052785,1.119452,12.698413
no_clusters,threshold-fixed,memory_busy_cycles,30,10619.533333,4983.633333,-5635.900000,19.099287,3.487037,-5643.030990,-5628.769010,-53.071070
no_clusters,threshold-fixed,busy_percent,30,21.186667,9.920000,-11.266667,0.054667,0.009981,-11.287077,-11.246256,-53.178099
with_clusters,table-fixed,scrub_cycles,30,632.000000,246.000000,-386.000000,0.000000,0.000000,-386.000000,-386.000000,-61.075949
with_clusters,table-fixed,reads,30,10112.000000,3936.000000,-6176.000000,0.000000,0.000000,-6176.000000,-6176.000000,-61.075949
with_clusters,table-fixed,writes,30,497.800000,412.500000,-85.300000,18.458061,3.369965,-92.191579,-78.408421,-17.135396
with_clusters,table-fixed,corrected,30,497.800000,412.500000,-85.300000,18.458061,3.369965,-92.191579,-78.408421,-17.135396
with_clusters,table-fixed,uncorrectable_detections,30,1219.066667,861.566667,-357.500000,291.435182,53.208541,-466.311467,-248.688533,-29.325714
with_clusters,table-fixed,unique_uncorrectable_words,30,4.566667,5.266667,0.700000,1.764594,0.322169,0.041164,1.358836,15.328467
with_clusters,table-fixed,memory_busy_cycles,30,10609.800000,4348.500000,-6261.300000,18.458061,3.369965,-6268.191579,-6254.408421,-59.014308
with_clusters,table-fixed,busy_percent,30,21.176667,8.656667,-12.520000,0.048423,0.008841,-12.538080,-12.501920,-59.121675
with_clusters,threshold-fixed,scrub_cycles,30,632.000000,284.000000,-348.000000,0.000000,0.000000,-348.000000,-348.000000,-55.063291
with_clusters,threshold-fixed,reads,30,10112.000000,4544.000000,-5568.000000,0.000000,0.000000,-5568.000000,-5568.000000,-55.063291
with_clusters,threshold-fixed,writes,30,497.800000,431.400000,-66.400000,18.350233,3.350279,-73.251320,-59.548680,-13.338690
with_clusters,threshold-fixed,corrected,30,497.800000,431.400000,-66.400000,18.350233,3.350279,-73.251320,-59.548680,-13.338690
with_clusters,threshold-fixed,uncorrectable_detections,30,1219.066667,889.600000,-329.466667,292.090767,53.328234,-438.522905,-220.410428,-27.026140
with_clusters,threshold-fixed,unique_uncorrectable_words,30,4.566667,5.166667,0.600000,1.631585,0.297885,-0.009175,1.209175,13.138686
with_clusters,threshold-fixed,memory_busy_cycles,30,10609.800000,4975.400000,-5634.400000,18.350233,3.350279,-5641.251320,-5627.548680,-53.105619
with_clusters,threshold-fixed,busy_percent,30,21.176667,9.896667,-11.280000,0.048423,0.008841,-11.298080,-11.261920,-53.266173
