metric,value
input,data/upsets.xlsx
usable_series_length,43824
start_index,0
window_size,43824
total_cycles,50000
control_quantization,linear_max
control_thresholds,85.2831106846;255.849332054;426.415553423;596.981774792;767.547996161;938.114217531;1108.6804389
hours_per_cycle,0.876480000
cycles_per_hour,1.140927346
window_min,2.47950109076
window_max,1193.96354958
window_mean,7.07276729449
window_std,17.6719568576
window_cv2,6.24295991773
eta_theory_1_plus_cv2,7.24295991773
window_sum,309956.953914
control_level_changes,44
event_count,400
paired_event_count,100
cluster_event_count,10
codeword_count,16
injected_rows_no_clusters,600
injected_rows_with_clusters,610
