section,case,lambda,q_exact_words,q_quad_words,q_quad_bit_level,rel_error_words_percent,rel_error_bit_level_percent,g_D,a_D,lambda_min,lambda_max,fitted_slope,expected_slope,max_abs_log_residual,tau_seconds,E_inst,E_acc,E_total,E_acc_fraction_of_total
exact_vs_quadratic,word_poisson_vs_quadratic,0.0001,2.58286899439e-15,2.58286876134e-15,2.51664139054e-15,-9.0229541062e-06,-2.56411006511,,,,,,,,,,,,
exact_vs_quadratic,word_poisson_vs_quadratic,0.0003,2.32458209495e-14,2.3245818852e-14,2.26497725148e-14,-9.02295307965e-06,-2.56411006511,,,,,,,,,,,,
exact_vs_quadratic,word_poisson_vs_quadratic,0.001,2.58286899439e-13,2.58286876134e-13,2.51664139054e-13,-9.02294130481e-06,-2.5641100651,,,,,,,,,,,,
exact_vs_quadratic,word_poisson_vs_quadratic,0.003,2.32458169463e-12,2.3245818852e-12,2.26497725148e-12,8.19835234814e-06,-2.56409328538,,,,,,,,,,,,
exact_vs_quadratic,word_poisson_vs_quadratic,0.01,2.5828686741e-11,2.58286876134e-11,2.51664139054e-11,3.37759366864e-06,-2.56409798253,,,,,,,,,,,,
exact_vs_quadratic,word_poisson_vs_quadratic,0.03,2.32458183848e-10,2.3245818852e-10,2.26497725148e-10,2.010229825e-06,-2.56409931483,,,,,,,,,,,,
exact_vs_quadratic,word_poisson_vs_quadratic,0.1,2.5828686708e-09,2.58286876134e-09,2.51664139054e-09,3.50544569466e-06,-2.56409785795,,,,,,,,,,,,
exact_vs_quadratic,word_poisson_vs_quadratic,0.3,2.32458161701e-08,2.3245818852e-08,2.26497725148e-08,1.15372859535e-05,-2.56409003206,,,,,,,,,,,,
exact_vs_quadratic,word_poisson_vs_quadratic,1,2.58286753763e-07,2.58286876134e-07,2.51664139054e-07,4.7378075931e-05,-2.56405511026,,,,,,,,,,,,
exact_vs_quadratic,word_poisson_vs_quadratic,3,2.32457678187e-06,2.3245818852e-06,2.26497725148e-06,0.000219538050108,-2.56388736465,,,,,,,,,,,,
exact_vs_quadratic,word_poisson_vs_quadratic,10,2.58282651089e-05,2.58286876134e-05,2.51664139054e-05,0.00163582199699,-2.56250739565,,,,,,,,,,,,
slope_check,accumulation_only_g0,,,,,,,0,1,0.001,0.0316227766017,1.99999999997,2,5.07895947521e-11,,,,,
slope_check,instant_mbu_g_positive,,,,,,,0.0005,1,0.001,0.0316227766017,1.00000216181,1,1.99362816389e-06,,,,,
mission_floor,accumulation_only_g0,,,,,,,,,,,,,,3600,0,4.10118325135,4.10118325135,1
mission_floor,accumulation_only_g0,,,,,,,,,,,,,,1800,0,2.05059162567,2.05059162567,1
mission_floor,accumulation_only_g0,,,,,,,,,,,,,,600,0,0.683530541891,0.683530541891,1
mission_floor,accumulation_only_g0,,,,,,,,,,,,,,300,0,0.341765270946,0.341765270946,1
mission_floor,accumulation_only_g0,,,,,,,,,,,,,,60,0,0.0683530541891,0.0683530541891,1
mission_floor,accumulation_only_g0,,,,,,,,,,,,,,10,0,0.0113921756982,0.0113921756982,1
mission_floor,accumulation_only_g0,,,,,,,,,,,,,,1,0,0.00113921756982,0.00113921756982,1
mission_floor,accumulation_only_g0,,,,,,,,,,,,,,0.1,0,0.000113921756982,0.000113921756982,1
mission_floor,accumulation_only_g0,,,,,,,,,,,,,,0.01,0,1.13921756982e-05,1.13921756982e-05,1
mission_floor,instant_mbu_g_positive,,,,,,,,,,,,,,3600,0.0309956953914,4.10118325135,4.13217894674,0.99249894649
mission_floor,instant_mbu_g_positive,,,,,,,,,,,,,,1800,0.0309956953914,2.05059162567,2.08158732106,0.985109586767
mission_floor,instant_mbu_g_positive,,,,,,,,,,,,,,600,0.0309956953914,0.683530541891,0.714526237282,0.956620633681
mission_floor,instant_mbu_g_positive,,,,,,,,,,,,,,300,0.0309956953914,0.341765270946,0.372760966337,0.916848333944
mission_floor,instant_mbu_g_positive,,,,,,,,,,,,,,60,0.0309956953914,0.0683530541891,0.0993487495805,0.688011217834
mission_floor,instant_mbu_g_positive,,,,,,,,,,,,,,10,0.0309956953914,0.0113921756982,0.0423878710896,0.268760270458
mission_floor,instant_mbu_g_positive,,,,,,,,,,,,,,1,0.0309956953914,0.00113921756982,0.0321349129612,0.0354510862125
mission_floor,instant_mbu_g_positive,,,,,,,,,,,,,,0.1,0.0309956953914,0.000113921756982,0.0311096171484,0.00366194660765
mission_floor,instant_mbu_g_positive,,,,,,,,,,,,,,0.01,0.0309956953914,1.13921756982e-05,0.0310070875671,0.000367405538284
