seed,pair_id,first_cycle,second_cycle,gap_actual,gap_preferred,first_shift,second_shift,first_address,second_address,same_address,first_level,second_level,max_level,first_aggressive,second_aggressive,any_aggressive
1,0,60066,62722,2656,2656,0,0,197,197,1,2,2,2,0,0,0
1,1,71101,72508,1407,1407,0,0,33,33,1,2,2,2,0,0,0
1,2,15274,17751,2477,2477,0,0,90,90,1,2,1,2,0,0,0
1,3,14885,17406,2521,2521,0,0,33,33,1,1,1,1,0,0,0
1,4,491793,492769,976,976,0,0,154,154,1,0,0,0,0,0,0
1,5,153021,155063,2042,2042,0,0,244,244,1,1,1,1,0,0,0
1,6,220512,222359,1847,1847,0,0,76,76,1,0,0,0,0,0,0
1,7,405398,408274,2876,2876,0,0,33,33,1,0,0,0,0,0,0
1,8,122030,124330,2300,2300,0,0,12,12,1,1,2,2,0,0,0
1,9,12877,13941,1064,1064,0,0,7,7,1,2,1,2,0,0,0
1,10,486179,488158,1979,1979,0,0,17,17,1,6,0,6,1,0,1
1,11,159671,160574,903,903,0,0,42,42,1,1,1,1,0,0,0
1,12,167918,169888,1970,1970,0,0,1,1,1,1,1,1,0,0,0
1,13,66388,68466,2078,2078,0,0,75,75,1,2,2,2,0,0,0
1,14,93506,95760,2254,2254,0,0,215,215,1,1,1,1,0,0,0
1,15,233844,235508,1664,1664,0,0,32,32,1,0,1,1,0,0,0
1,16,196043,198269,2226,2226,0,0,42,42,1,1,1,1,0,0,0
1,17,130615,132309,1694,1694,0,0,144,144,1,1,1,1,0,0,0
1,18,65493,67054,1561,1561,0,0,245,245,1,2,2,2,0,0,0
1,19,366446,368280,1834,1834,0,0,38,38,1,0,0,0,0,0,0
1,20,480623,482614,1991,1991,0,0,68,68,1,1,0,1,0,0,0
1,21,375627,377717,2090,2090,0,0,14,14,1,0,1,1,0,0,0
1,22,445121,446391,1270,1270,0,0,217,217,1,0,0,0,0,0,0
1,23,38051,39604,1553,1553,0,0,62,62,1,2,2,2,0,0,0
1,24,359568,360972,1404,1404,0,0,233,233,1,0,0,0,0,0,0
1,25,480545,482045,1500,1500,0,0,4,4,1,0,0,0,0,0,0
1,26,52570,53302,732,732,0,0,20,20,1,2,2,2,0,0,0
1,27,182094,183040,946,946,0,0,17,17,1,1,1,1,0,0,0
1,28,141991,143448,1457,1457,0,0,251,251,1,1,1,1,0,0,0
1,29,122465,124395,1930,1930,0,0,37,37,1,1,2,2,0,0,0
1,30,59394,60737,1343,1343,0,0,152,152,1,2,2,2,0,0,0
1,31,111589,114130,2541,2541,0,0,10,10,1,2,1,2,0,0,0
1,32,384376,386747,2371,2371,0,0,175,175,1,0,0,0,0,0,0
1,33,61618,63939,2321,2321,0,0,253,253,1,2,2,2,0,0,0
1,34,486213,489067,2854,2854,0,0,230,230,1,6,0,6,1,0,1
1,35,86111,88859,2748,2748,0,0,132,132,1,1,1,1,0,0,0
1,36,230980,231640,660,660,0,0,234,234,1,0,0,0,0,0,0
1,37,172294,173844,1550,1550,0,0,243,243,1,1,1,1,0,0,0
1,38,419256,421428,2172,2172,0,0,56,56,1,0,0,0,0,0,0
1,39,342254,343901,1647,1647,0,0,27,27,1,0,1,1,0,0,0
2,0,280005,282032,2027,2027,0,0,221,221,1,0,0,0,0,0,0
2,1,132259,133280,1021,1021,0,0,2,2,1,1,1,1,0,0,0
2,2,382179,383016,837,837,0,0,246,246,1,3,1,3,0,0,0
2,3,486331,488781,2450,2450,0,0,19,19,1,6,0,6,1,0,1
2,4,243185,245948,2763,2763,0,0,110,110,1,1,1,1,0,0,0
2,5,148912,151373,2461,2461,0,0,87,87,1,1,1,1,0,0,0
2,6,238706,240532,1826,1826,0,0,63,63,1,0,1,1,0,0,0
2,7,100664,101376,712,712,0,0,139,139,1,1,1,1,0,0,0
2,8,246041,249004,2963,2963,0,0,127,127,1,1,1,1,0,0,0
2,9,310754,312747,1993,1993,0,0,108,108,1,2,0,2,0,0,0
2,10,110761,112143,1382,1382,0,0,248,248,1,1,1,1,0,0,0
2,11,311002,312215,1213,1213,0,0,213,213,1,2,0,2,0,0,0
2,12,185266,186537,1271,1271,0,0,53,53,1,1,1,1,0,0,0
2,13,322618,325256,2638,2638,0,0,141,141,1,3,0,3,0,0,0
2,14,196088,198041,1953,1953,0,0,0,0,1,1,1,1,0,0,0
2,15,128314,129325,1011,1011,0,0,215,215,1,1,1,1,0,0,0
2,16,132096,133847,1751,1751,0,0,130,130,1,1,1,1,0,0,0
2,17,66939,68969,2030,2030,0,0,181,181,1,2,2,2,0,0,0
2,18,36941,37743,802,802,0,0,153,153,1,2,2,2,0,0,0
2,19,78982,80631,1649,1649,0,0,135,135,1,2,2,2,0,0,0
2,20,178586,180519,1933,1933,0,0,238,238,1,1,1,1,0,0,0
2,21,123650,124593,943,943,0,0,76,76,1,4,1,4,0,0,0
2,22,159032,161244,2212,2212,0,0,41,41,1,1,1,1,0,0,0
2,23,239747,242197,2450,2450,0,0,247,247,1,1,0,1,0,0,0
2,24,388867,391504,2637,2637,0,0,215,215,1,0,0,0,0,0,0
2,25,3421,4361,940,940,0,0,134,134,1,1,1,1,0,0,0
2,26,264254,264990,736,736,0,0,203,203,1,0,0,0,0,0,0
2,27,80487,83160,2673,2673,0,0,200,200,1,2,2,2,0,0,0
2,28,57723,59407,1684,1684,0,0,3,3,1,1,2,2,0,0,0
2,29,58339,59754,1415,1415,0,0,97,97,1,2,2,2,0,0,0
2,30,7804,8921,1117,1117,0,0,127,127,1,1,1,1,0,0,0
2,31,90114,92268,2154,2154,0,0,102,102,1,1,1,1,0,0,0
2,32,385307,387632,2325,2325,0,0,36,36,1,0,0,0,0,0,0
2,33,297141,298328,1187,1187,0,0,236,236,1,0,0,0,0,0,0
2,34,377855,379559,1704,1704,0,0,218,218,1,0,0,0,0,0,0
2,35,250368,253012,2644,2644,0,0,242,242,1,1,0,1,0,0,0
2,36,185039,186724,1685,1685,0,0,161,161,1,1,1,1,0,0,0
2,37,17217,19526,2309,2309,0,0,94,94,1,2,1,2,0,0,0
2,38,377250,379024,1774,1774,0,0,100,100,1,4,0,4,0,0,0
2,39,76757,79408,2651,2651,0,0,172,172,1,2,2,2,0,0,0
3,0,15291,16307,1016,1016,0,0,198,198,1,2,1,2,0,0,0
3,1,486188,488611,2423,2423,0,0,114,114,1,6,0,6,1,0,1
3,2,104842,105465,623,623,0,0,80,80,1,1,2,2,0,0,0
3,3,123662,124654,992,992,0,0,58,58,1,4,1,4,0,0,0
3,4,82831,84429,1598,1598,0,0,207,207,1,2,2,2,0,0,0
3,5,68759,70747,1988,1988,0,0,135,135,1,2,2,2,0,0,0
3,6,180329,181785,1456,1456,0,0,157,157,1,0,0,0,0,0,0
3,7,167922,170373,2451,2451,0,0,145,145,1,1,1,1,0,0,0
3,8,178981,181377,2396,2396,0,0,86,86,1,1,0,1,0,0,0
3,9,497245,499999,2754,2754,0,0,37,37,1,0,0,0,0,0,0
3,10,377162,379726,2564,2564,0,0,10,10,1,5,0,5,0,0,0
3,11,241899,244438,2539,2539,0,0,245,245,1,0,1,1,0,0,0
3,12,281162,283172,2010,2010,0,0,241,241,1,0,0,0,0,0,0
3,13,377148,378997,1849,1849,0,0,45,45,1,4,0,4,0,0,0
3,14,486357,487422,1065,1065,0,0,121,121,1,6,0,6,1,0,1
3,15,185605,187808,2203,2203,0,0,71,71,1,1,1,1,0,0,0
3,16,175003,176835,1832,1832,0,0,3,3,1,1,1,1,0,0,0
3,17,282072,284155,2083,2083,0,0,215,215,1,0,0,0,0,0,0
3,18,138559,140760,2201,2201,0,0,14,14,1,1,1,1,0,0,0
3,19,335813,338383,2570,2570,0,0,242,242,1,5,0,5,0,0,0
3,20,32429,34493,2064,2064,0,0,245,245,1,2,1,2,0,0,0
3,21,322503,323933,1430,1430,0,0,29,29,1,3,0,3,0,0,0
3,22,235227,236026,799,799,0,0,197,197,1,2,0,2,0,0,0
3,23,261189,262190,1001,1001,0,0,231,231,1,0,0,0,0,0,0
3,24,204539,206865,2326,2326,0,0,193,193,1,0,0,0,0,0,0
3,25,333042,335135,2093,2093,0,0,186,186,1,0,0,0,0,0,0
3,26,67762,70516,2754,2754,0,0,100,100,1,2,2,2,0,0,0
3,27,327504,329796,2292,2292,0,0,205,205,1,0,0,0,0,0,0
3,28,169593,172252,2659,2659,0,0,102,102,1,1,1,1,0,0,0
3,29,256471,257309,838,838,0,0,11,11,1,1,2,2,0,0,0
3,30,486459,487457,998,998,0,0,202,202,1,5,0,5,0,0,0
3,31,34641,35740,1099,1099,0,0,150,150,1,1,1,1,0,0,0
3,32,139001,141330,2329,2329,0,0,80,80,1,1,1,1,0,0,0
3,33,92775,95413,2638,2638,0,0,14,14,1,1,1,1,0,0,0
3,34,221938,222612,674,674,0,0,162,162,1,0,0,0,0,0,0
3,35,486426,487903,1477,1477,0,0,101,101,1,6,0,6,1,0,1
3,36,74049,76244,2195,2195,0,0,170,170,1,2,2,2,0,0,0
3,37,200886,202850,1964,1964,0,0,106,106,1,1,1,1,0,0,0
3,38,171975,172581,606,606,0,0,122,122,1,1,1,1,0,0,0
3,39,24351,27349,2998,2998,0,0,176,176,1,1,2,2,0,0,0
4,0,204455,207055,2600,2600,0,0,28,28,1,0,1,1,0,0,0
4,1,359731,361306,1575,1575,0,0,81,81,1,0,0,0,0,0,0
4,2,154947,156127,1180,1180,0,0,208,208,1,1,1,1,0,0,0
4,3,96198,97212,1014,1014,0,0,227,227,1,1,1,1,0,0,0
4,4,32040,33531,1491,1491,0,0,194,194,1,2,1,2,0,0,0
4,5,19722,20729,1007,1007,0,0,1,1,1,1,1,1,0,0,0
4,6,164919,167469,2550,2550,0,0,219,219,1,1,1,1,0,0,0
4,7,456000,457292,1292,1292,0,0,79,79,1,0,0,0,0,0,0
4,8,284585,287245,2660,2660,0,0,252,252,1,0,0,0,0,0,0
4,9,245013,247216,2203,2203,0,0,213,213,1,1,1,1,0,0,0
4,10,143659,145093,1434,1434,0,0,187,187,1,1,1,1,0,0,0
4,11,451256,453735,2479,2479,0,0,185,185,1,0,0,0,0,0,0
4,12,343450,344865,1415,1415,0,0,193,193,1,6,0,6,1,0,1
4,13,492812,493991,1179,1179,0,0,197,197,1,0,0,0,0,0,0
4,14,382462,383604,1142,1142,0,0,169,169,1,3,0,3,0,0,0
4,15,254115,256739,2624,2624,0,0,150,150,1,2,0,2,0,0,0
4,16,138847,140670,1823,1823,0,0,227,227,1,1,1,1,0,0,0
4,17,382168,382869,701,701,0,0,163,163,1,3,2,3,0,0,0
4,18,157677,158801,1124,1124,0,0,155,155,1,1,1,1,0,0,0
4,19,224658,226128,1470,1470,0,0,110,110,1,0,0,0,0,0,0
4,20,168936,170435,1499,1499,0,0,20,20,1,1,1,1,0,0,0
4,21,208755,210285,1530,1530,0,0,90,90,1,0,0,0,0,0,0
4,22,217227,218350,1123,1123,0,0,170,170,1,0,0,0,0,0,0
4,23,449837,452434,2597,2597,0,0,95,95,1,0,0,0,0,0,0
4,24,251714,253818,2104,2104,0,0,122,122,1,1,1,1,0,0,0
4,25,26273,28280,2007,2007,0,0,119,119,1,1,2,2,0,0,0
4,26,377429,378202,773,773,0,0,77,77,1,4,0,4,0,0,0
4,27,311072,313113,2041,2041,0,0,71,71,1,2,0,2,0,0,0
4,28,369115,371486,2371,2371,0,0,165,165,1,1,1,1,0,0,0
4,29,280610,281436,826,826,0,0,205,205,1,0,0,0,0,0,0
4,30,52770,55546,2776,2776,0,0,96,96,1,2,2,2,0,0,0
4,31,15434,18397,2963,2963,0,0,7,7,1,2,1,2,0,0,0
4,32,130680,132429,1749,1749,0,0,13,13,1,1,1,1,0,0,0
4,33,18749,21422,2673,2673,0,0,98,98,1,1,2,2,0,0,0
4,34,25722,28359,2637,2637,0,0,236,236,1,2,2,2,0,0,0
4,35,183304,185677,2373,2373,0,0,140,140,1,1,1,1,0,0,0
4,36,397215,398084,869,869,0,0,64,64,1,0,0,0,0,0,0
4,37,486325,488448,2123,2123,0,0,91,91,1,6,0,6,1,0,1
4,38,76149,77803,1654,1654,0,0,10,10,1,2,2,2,0,0,0
4,39,65640,68313,2673,2673,0,0,221,221,1,2,2,2,0,0,0
5,0,382389,384872,2483,2483,0,0,177,177,1,3,0,3,0,0,0
