kind,name,runs,unique_mean,unique_std,busy_mean,busy_std,scrub_mean
adaptive,table,10,4.500000,2.121320,14.200000,0.000000,276.000000
adaptive,threshold,10,5.300000,2.213594,12.700000,0.000000,248.000000
fixed,1089,10,2.000000,1.414214,23.500000,0.000000,458.000000
fixed,1150,10,2.100000,2.078995,22.300000,0.000000,434.000000
fixed,1200,10,2.500000,1.715938,21.300000,0.000000,416.000000
fixed,1244,10,2.800000,1.813529,20.600000,0.000000,401.000000
fixed,1300,10,3.200000,1.873796,19.700000,0.000000,384.000000
fixed,1400,10,3.800000,2.043961,18.300000,0.000000,356.000000
fixed,1500,10,3.200000,1.873796,17.100000,0.000000,332.000000
fixed,1600,10,4.300000,2.540779,16.000000,0.000000,312.000000
fixed,1700,10,5.100000,2.469818,15.100000,0.000000,293.000000
fixed,1800,10,4.800000,2.299758,14.200000,0.000000,277.000000
fixed,1900,10,5.500000,2.758824,13.500000,0.000000,262.000000
fixed,2021,10,6.100000,2.469818,12.700000,0.000000,247.000000
fixed,2200,10,7.000000,2.788867,11.700000,0.000000,226.000000
fixed,2400,10,8.500000,3.719319,10.700000,0.000000,207.000000
