scenario,seed,requested_total_cycles,addr_width,window_size,event_count,paired_event_count,pair_gap_min,pair_gap_max,cluster_event_count,cluster_bit_count,control_quantization,control_source,control_policy_schedule,control_policy_level_map_output,control_delay_points,safe_interval,fixed_interval,level_intervals,threshold_levels,threshold_intervals,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
upsets,1,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,458,117400,478,478,11,0,0,0,0,470535,117878,941,235,0
upsets,1,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",table,500000,276,70656,459,459,856,4,1295,0,0,283359,71115,566,142,0
upsets,1,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",threshold,500000,248,63488,470,470,585,1,42,0,0,254670,63958,509,127,0
upsets,2,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,458,117400,476,476,497,1,0,0,0,470533,117876,941,235,0
upsets,2,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",table,500000,276,70656,462,462,811,4,1295,0,0,283362,71118,566,142,0
upsets,2,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",threshold,500000,248,63488,463,463,969,4,42,0,0,254663,63951,509,127,0
upsets,3,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,458,117400,467,467,416,5,0,0,0,470524,117867,941,235,0
upsets,3,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",table,500000,276,70656,455,455,854,9,1295,0,0,283355,71111,566,142,0
upsets,3,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",threshold,500000,248,63488,455,455,686,9,42,0,0,254655,63943,509,127,0
upsets,4,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,458,117400,473,473,506,2,0,0,0,470530,117873,941,235,0
