fixed_interval,scenario,seed,requested_total_cycles,addr_width,window_size,event_count,paired_event_count,pair_gap_min,pair_gap_max,cluster_event_count,cluster_bit_count,control_quantization,control_source,control_policy_schedule,control_policy_level_map_output,control_delay_points,safe_interval,fixed_interval,level_intervals,threshold_levels,threshold_intervals,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
1089,upsets,1,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,458,117400,477,477,1553,5,0,0,0,470534,117877,941,235,0
1089,upsets,2,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,458,117400,474,474,2516,8,0,0,0,470531,117874,941,235,0
1089,upsets,3,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,458,117400,463,463,2411,10,0,0,0,470520,117863,941,235,0
1089,upsets,4,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,458,117400,471,471,2387,6,0,0,0,470528,117871,941,235,0
1089,upsets,5,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,458,117400,474,474,2126,9,0,0,0,470530,117874,941,235,0
1089,upsets,6,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,458,117400,468,468,3298,10,0,0,0,470525,117868,941,235,0
1089,upsets,7,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,458,117400,475,475,2193,7,0,0,0,470532,117875,941,235,0
1089,upsets,8,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,458,117400,466,466,2862,10,0,0,0,470523,117866,941,235,0
1089,upsets,9,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,458,117400,466,466,2369,10,0,0,0,470523,117866,941,235,0
1089,upsets,10,500000,8,43824,400,40,600,3000,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_with_clusters/risk_policy_level_map_1089.csv,0,1089,1089,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,458,117400,473,473,1936,9,0,0,0,470530,117873,941,235,0
