kind,name,runs,unique_mean,unique_std,busy_mean,busy_std,scrub_mean
adaptive,table,10,10.900000,1.663330,14.200000,0.000000,276.000000
adaptive,threshold,10,11.700000,2.626785,12.700000,0.000000,248.000000
fixed,1089,10,8.400000,1.837873,23.500000,0.000000,458.000000
fixed,1150,10,8.600000,2.011080,22.300000,0.000000,434.000000
fixed,1200,10,8.900000,2.078995,21.300000,0.000000,416.000000
fixed,1244,10,9.300000,1.828782,20.600000,0.000000,401.000000
fixed,1300,10,9.600000,2.065591,19.700000,0.000000,384.000000
fixed,1400,10,10.200000,2.043961,18.300000,0.000000,356.000000
fixed,1500,10,9.600000,2.366432,17.100000,0.000000,332.000000
fixed,1600,10,10.800000,3.011091,16.000000,0.000000,312.000000
fixed,1700,10,11.500000,2.758824,15.100000,0.000000,293.000000
fixed,1800,10,11.200000,2.347576,14.200000,0.000000,277.000000
fixed,1900,10,12.000000,2.538591,13.500000,0.000000,262.000000
fixed,2021,10,12.500000,3.064129,12.700000,0.000000,247.000000
fixed,2200,10,13.500000,2.592725,11.700000,0.000000,226.000000
fixed,2400,10,14.800000,4.104198,10.700000,0.000000,207.000000
