comparison,metric,n,fixed_mean,adaptive_mean,delta_mean,delta_std,delta_se,ci95_low,ci95_high,relative_percent
table-fixed,scrub_cycles,10,401.0,276.0,-125.0,0.0,0.0,-125.0,-125.0,-31.17206982543641
table-fixed,reads,10,102734.9,70656.0,-32078.9,0.31622776601683794,0.09999999999999999,-32079.126200000002,-32078.6738,-31.22492940568395
table-fixed,writes,10,469.5,460.9,-8.6,7.862710869809612,2.486407493196202,-14.224253749609808,-2.9757462503901912,-1.8317358892438764
table-fixed,corrected,10,469.5,460.9,-8.6,7.862710869809612,2.486407493196202,-14.224253749609808,-2.9757462503901912,-1.8317358892438764
table-fixed,uncorrectable_detections,10,557.4,767.8,210.4,371.55385432890705,117.4956453093759,-55.375149689808296,476.17514968980834,37.74668101901687
table-fixed,unique_uncorrectable_words,10,2.8,4.5,1.7,1.4181364924121764,0.44845413490245695,0.6855967468506423,2.7144032531493574,60.714285714285715
table-fixed,memory_busy_cycles,10,103204.4,71116.9,-32087.5,7.961713941664124,2.517715013437559,-32093.195071360395,-32081.804928639605,-31.091213165330164
table-fixed,busy_percent,10,20.6,14.2,-6.400000000000002,0.0,0.0,-6.400000000000002,-6.400000000000002,-31.06796116504855
threshold-fixed,scrub_cycles,10,401.0,248.0,-153.0,0.0,0.0,-153.0,-153.0,-38.15461346633416
threshold-fixed,reads,10,102734.9,63488.0,-39246.9,0.31622776601683794,0.09999999999999999,-39247.1262,-39246.673800000004,-38.202110480469635
threshold-fixed,writes,10,469.5,459.3,-10.2,4.4671641514002545,1.412641340027806,-13.395394711142895,-7.004605288857102,-2.1725239616613417
threshold-fixed,corrected,10,469.5,459.3,-10.2,4.4671641514002545,1.412641340027806,-13.395394711142895,-7.004605288857102,-2.1725239616613417
threshold-fixed,uncorrectable_detections,10,557.4,828.8,271.4,327.82929162056956,103.6687245240552,36.90134512658713,505.89865487341285,48.69034804449228
threshold-fixed,unique_uncorrectable_words,10,2.8,5.3,2.5,1.7795130420052185,0.5627314338711377,1.2271014965834866,3.7728985034165134,89.28571428571429
threshold-fixed,memory_busy_cycles,10,103204.4,63947.3,-39257.1,4.408325456829762,1.394034911088432,-39260.25330696888,-39253.94669303112,-38.03820379751251
threshold-fixed,busy_percent,10,20.6,12.7,-7.900000000000002,0.0,0.0,-7.900000000000002,-7.900000000000002,-38.3495145631068
