scenario,comparison,metric,n,fixed_mean,adaptive_mean,delta_mean,delta_std,delta_se,ci95_low,ci95_high,relative_percent
no_clusters,table-fixed,scrub_cycles,10,401.000000,276.000000,-125.000000,0.000000,0.000000,-125.000000,-125.000000,-31.172070
no_clusters,table-fixed,reads,10,102734.900000,70656.000000,-32078.900000,0.316228,0.100000,-32079.126200,-32078.673800,-31.224929
no_clusters,table-fixed,writes,10,469.500000,460.900000,-8.600000,7.862711,2.486407,-14.224254,-2.975746,-1.831736
no_clusters,table-fixed,corrected,10,469.500000,460.900000,-8.600000,7.862711,2.486407,-14.224254,-2.975746,-1.831736
no_clusters,table-fixed,uncorrectable_detections,10,557.400000,767.800000,210.400000,371.553854,117.495645,-55.375150,476.175150,37.746681
no_clusters,table-fixed,unique_uncorrectable_words,10,2.800000,4.500000,1.700000,1.418136,0.448454,0.685597,2.714403,60.714286
no_clusters,table-fixed,memory_busy_cycles,10,103204.400000,71116.900000,-32087.500000,7.961714,2.517715,-32093.195071,-32081.804929,-31.091213
no_clusters,table-fixed,busy_percent,10,20.600000,14.200000,-6.400000,0.000000,0.000000,-6.400000,-6.400000,-31.067961
no_clusters,threshold-fixed,scrub_cycles,10,401.000000,248.000000,-153.000000,0.000000,0.000000,-153.000000,-153.000000,-38.154613
no_clusters,threshold-fixed,reads,10,102734.900000,63488.000000,-39246.900000,0.316228,0.100000,-39247.126200,-39246.673800,-38.202110
no_clusters,threshold-fixed,writes,10,469.500000,459.300000,-10.200000,4.467164,1.412641,-13.395395,-7.004605,-2.172524
no_clusters,threshold-fixed,corrected,10,469.500000,459.300000,-10.200000,4.467164,1.412641,-13.395395,-7.004605,-2.172524
no_clusters,threshold-fixed,uncorrectable_detections,10,557.400000,828.800000,271.400000,327.829292,103.668725,36.901345,505.898655,48.690348
no_clusters,threshold-fixed,unique_uncorrectable_words,10,2.800000,5.300000,2.500000,1.779513,0.562731,1.227101,3.772899,89.285714
no_clusters,threshold-fixed,memory_busy_cycles,10,103204.400000,63947.300000,-39257.100000,4.408325,1.394035,-39260.253307,-39253.946693,-38.038204
no_clusters,threshold-fixed,busy_percent,10,20.600000,12.700000,-7.900000,0.000000,0.000000,-7.900000,-7.900000,-38.349515
with_clusters,table-fixed,scrub_cycles,10,401.000000,276.000000,-125.000000,0.000000,0.000000,-125.000000,-125.000000,-31.172070
with_clusters,table-fixed,reads,10,102734.900000,70656.000000,-32078.900000,0.316228,0.100000,-32079.126200,-32078.673800,-31.224929
with_clusters,table-fixed,writes,10,467.600000,459.000000,-8.600000,7.862711,2.486407,-14.224254,-2.975746,-1.839179
with_clusters,table-fixed,corrected,10,467.600000,459.000000,-8.600000,7.862711,2.486407,-14.224254,-2.975746,-1.839179
with_clusters,table-fixed,uncorrectable_detections,10,2293.100000,1951.500000,-341.600000,437.526431,138.358006,-654.565809,-28.634191,-14.896865
with_clusters,table-fixed,unique_uncorrectable_words,10,9.300000,10.900000,1.600000,1.577621,0.498888,0.471516,2.728484,17.204301
with_clusters,table-fixed,memory_busy_cycles,10,103202.500000,71115.000000,-32087.500000,7.961714,2.517715,-32093.195071,-32081.804929,-31.091786
with_clusters,table-fixed,busy_percent,10,20.600000,14.200000,-6.400000,0.000000,0.000000,-6.400000,-6.400000,-31.067961
with_clusters,threshold-fixed,scrub_cycles,10,401.000000,248.000000,-153.000000,0.000000,0.000000,-153.000000,-153.000000,-38.154613
with_clusters,threshold-fixed,reads,10,102734.900000,63488.000000,-39246.900000,0.316228,0.100000,-39247.126200,-39246.673800,-38.202110
with_clusters,threshold-fixed,writes,10,467.600000,457.400000,-10.200000,4.467164,1.412641,-13.395395,-7.004605,-2.181352
with_clusters,threshold-fixed,corrected,10,467.600000,457.400000,-10.200000,4.467164,1.412641,-13.395395,-7.004605,-2.181352
with_clusters,threshold-fixed,uncorrectable_detections,10,2293.100000,1900.300000,-392.800000,376.843262,119.168303,-662.358701,-123.241299,-17.129650
with_clusters,threshold-fixed,unique_uncorrectable_words,10,9.300000,11.700000,2.400000,1.837873,0.581187,1.085356,3.714644,25.806452
with_clusters,threshold-fixed,memory_busy_cycles,10,103202.500000,63945.400000,-39257.100000,4.408325,1.394035,-39260.253307,-39253.946693,-38.038904
with_clusters,threshold-fixed,busy_percent,10,20.600000,12.700000,-7.900000,0.000000,0.000000,-7.900000,-7.900000,-38.349515
