section,name,metric,value
pass_duration,addr_width_4,strategy,fixed
pass_duration,addr_width_4,trace_rows,62
pass_duration,addr_width_4,positive_duration_rows,62
pass_duration,addr_width_4,pass_duration_min,66
pass_duration,addr_width_4,pass_duration_max,66
pass_duration,addr_width_4,pass_duration_mean,66
pass_duration,addr_width_4,pass_duration_median,66.0
pass_duration,addr_width_4,pass_duration_mode,66
pass_duration,addr_width_4,pass_duration_mode_count,62
pass_duration,addr_width_4,scrub_cycles_observed,62
pass_duration,addr_width_4,addr_width,4
pass_duration,addr_width_4,depth,16
pass_duration,addr_width_4,trace_path,results/paper/unsaturated_control/trace_addr_width_4.csv
pass_duration,addr_width_8,strategy,fixed
pass_duration,addr_width_8,trace_rows,8
pass_duration,addr_width_8,positive_duration_rows,8
pass_duration,addr_width_8,pass_duration_min,1026
pass_duration,addr_width_8,pass_duration_max,1026
pass_duration,addr_width_8,pass_duration_mean,1026
pass_duration,addr_width_8,pass_duration_median,1026.0
pass_duration,addr_width_8,pass_duration_mode,1026
pass_duration,addr_width_8,pass_duration_mode_count,8
pass_duration,addr_width_8,scrub_cycles_observed,8
pass_duration,addr_width_8,addr_width,8
pass_duration,addr_width_8,depth,256
pass_duration,addr_width_8,trace_path,results/paper/unsaturated_control/trace_addr_width_8.csv
scaled_level_interval,level0,base_interval,120
scaled_level_interval,level0,ratio_to_base_pass,1.8181818181818181
scaled_level_interval,level0,scaled_interval,1866
scaled_level_interval,level0,effective_wait,840
scaled_level_interval,level0,scaled_ratio_to_new_pass,1.8187134502923976
scaled_level_interval,level1,base_interval,115
scaled_level_interval,level1,ratio_to_base_pass,1.7424242424242424
scaled_level_interval,level1,scaled_interval,1788
scaled_level_interval,level1,effective_wait,762
scaled_level_interval,level1,scaled_ratio_to_new_pass,1.7426900584795322
scaled_level_interval,level2,base_interval,110
scaled_level_interval,level2,ratio_to_base_pass,1.6666666666666667
scaled_level_interval,level2,scaled_interval,1710
scaled_level_interval,level2,effective_wait,684
scaled_level_interval,level2,scaled_ratio_to_new_pass,1.6666666666666667
scaled_level_interval,level3,base_interval,105
scaled_level_interval,level3,ratio_to_base_pass,1.5909090909090908
scaled_level_interval,level3,scaled_interval,1633
scaled_level_interval,level3,effective_wait,607
scaled_level_interval,level3,scaled_ratio_to_new_pass,1.5916179337231968
scaled_level_interval,level4,base_interval,100
scaled_level_interval,level4,ratio_to_base_pass,1.5151515151515151
scaled_level_interval,level4,scaled_interval,1555
scaled_level_interval,level4,effective_wait,529
scaled_level_interval,level4,scaled_ratio_to_new_pass,1.5155945419103314
scaled_level_interval,level5,base_interval,90
scaled_level_interval,level5,ratio_to_base_pass,1.3636363636363635
scaled_level_interval,level5,scaled_interval,1400
scaled_level_interval,level5,effective_wait,374
scaled_level_interval,level5,scaled_ratio_to_new_pass,1.364522417153996
scaled_level_interval,level6,base_interval,80
scaled_level_interval,level6,ratio_to_base_pass,1.2121212121212122
scaled_level_interval,level6,scaled_interval,1244
scaled_level_interval,level6,effective_wait,218
scaled_level_interval,level6,scaled_ratio_to_new_pass,1.2124756335282652
scaled_level_interval,level7,base_interval,70
scaled_level_interval,level7,ratio_to_base_pass,1.0606060606060606
scaled_level_interval,level7,scaled_interval,1089
scaled_level_interval,level7,effective_wait,63
scaled_level_interval,level7,scaled_ratio_to_new_pass,1.0614035087719298
scaled_threshold_interval,low,base_interval,130
scaled_threshold_interval,low,ratio_to_base_pass,1.9696969696969697
scaled_threshold_interval,low,scaled_interval,2021
scaled_threshold_interval,low,effective_wait,995
scaled_threshold_interval,low,scaled_ratio_to_new_pass,1.969785575048733
scaled_threshold_interval,medium,base_interval,100
scaled_threshold_interval,medium,ratio_to_base_pass,1.5151515151515151
scaled_threshold_interval,medium,scaled_interval,1555
scaled_threshold_interval,medium,effective_wait,529
scaled_threshold_interval,medium,scaled_ratio_to_new_pass,1.5155945419103314
scaled_threshold_interval,high,base_interval,80
scaled_threshold_interval,high,ratio_to_base_pass,1.2121212121212122
scaled_threshold_interval,high,scaled_interval,1244
scaled_threshold_interval,high,effective_wait,218
scaled_threshold_interval,high,scaled_ratio_to_new_pass,1.2124756335282652
scaled_fixed_interval,fixed,base_interval,80
scaled_fixed_interval,fixed,ratio_to_base_pass,1.2121212121212122
scaled_fixed_interval,fixed,scaled_interval,1244
scaled_fixed_interval,fixed,effective_wait,218
scaled_fixed_interval,fixed,scaled_ratio_to_new_pass,1.2124756335282652
