scenario,seed,requested_total_cycles,window_size,event_count,paired_event_count,pair_gap_min,pair_gap_max,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
upsets,1,10000,10000,80,20,60,300,fixed,10000,68,1088,91,91,114,0,0,0,0,4511,1179,451,117,0
upsets,1,10000,10000,80,20,60,300,table,10000,60,960,90,90,114,1,13,0,0,3990,1050,399,105,0
upsets,1,10000,10000,80,20,60,300,threshold,10000,60,960,90,90,114,1,4,0,0,3990,1050,399,105,0
upsets,2,10000,10000,80,20,60,300,fixed,10000,68,1088,94,94,120,3,0,0,0,4514,1182,451,118,0
upsets,2,10000,10000,80,20,60,300,table,10000,60,960,86,86,160,5,13,0,0,3986,1046,398,104,0
upsets,2,10000,10000,80,20,60,300,threshold,10000,60,960,86,86,160,5,4,0,0,3986,1046,398,104,0
upsets,3,10000,10000,80,20,60,300,fixed,10000,68,1088,101,101,67,2,0,0,0,4521,1189,452,118,0
upsets,3,10000,10000,80,20,60,300,table,10000,60,960,89,89,129,2,13,0,0,3989,1049,398,104,0
upsets,3,10000,10000,80,20,60,300,threshold,10000,60,960,89,89,129,2,4,0,0,3989,1049,398,104,0
upsets,4,10000,10000,80,20,60,300,fixed,10000,68,1088,74,74,229,3,0,0,0,4494,1162,449,116,0
upsets,4,10000,10000,80,20,60,300,table,10000,60,960,78,78,170,4,13,0,0,3978,1038,397,103,0
upsets,4,10000,10000,80,20,60,300,threshold,10000,60,960,78,78,170,4,4,0,0,3978,1038,397,103,0
upsets,5,10000,10000,80,20,60,300,fixed,10000,68,1088,87,87,147,5,0,0,0,4507,1175,450,117,0
upsets,5,10000,10000,80,20,60,300,table,10000,60,960,86,86,76,3,13,0,0,3986,1046,398,104,0
upsets,5,10000,10000,80,20,60,300,threshold,10000,60,960,86,86,76,3,4,0,0,3986,1046,398,104,0
upsets,6,10000,10000,80,20,60,300,fixed,10000,68,1088,92,92,114,3,0,0,0,4512,1180,451,118,0
upsets,6,10000,10000,80,20,60,300,table,10000,60,960,95,95,106,2,13,0,0,3995,1055,399,105,0
upsets,6,10000,10000,80,20,60,300,threshold,10000,60,960,95,95,106,2,4,0,0,3995,1055,399,105,0
upsets,7,10000,10000,80,20,60,300,fixed,10000,68,1088,99,99,71,1,0,0,0,4519,1187,451,118,0
upsets,7,10000,10000,80,20,60,300,table,10000,60,960,91,91,124,2,13,0,0,3991,1051,399,105,0
upsets,7,10000,10000,80,20,60,300,threshold,10000,60,960,91,91,124,2,4,0,0,3991,1051,399,105,0
upsets,8,10000,10000,80,20,60,300,fixed,10000,68,1088,103,103,74,0,0,0,0,4523,1191,452,119,0
upsets,8,10000,10000,80,20,60,300,table,10000,60,960,99,99,127,3,13,0,0,3999,1059,399,105,0
upsets,8,10000,10000,80,20,60,300,threshold,10000,60,960,99,99,127,3,4,0,0,3999,1059,399,105,0
upsets,9,10000,10000,80,20,60,300,fixed,10000,68,1088,97,97,88,2,0,0,0,4517,1185,451,118,0
upsets,9,10000,10000,80,20,60,300,table,10000,60,960,96,96,80,3,13,0,0,3996,1056,399,105,0
upsets,9,10000,10000,80,20,60,300,threshold,10000,60,960,96,96,80,3,4,0,0,3996,1056,399,105,0
upsets,10,10000,10000,80,20,60,300,fixed,10000,68,1088,98,98,74,1,0,0,0,4518,1186,451,118,0
upsets,10,10000,10000,80,20,60,300,table,10000,60,960,88,88,84,2,13,0,0,3988,1048,398,104,0
upsets,10,10000,10000,80,20,60,300,threshold,10000,60,960,88,88,84,2,4,0,0,3988,1048,398,104,0
