scenario,seed,requested_total_cycles,window_size,event_count,paired_event_count,pair_gap_min,pair_gap_max,cluster_event_count,cluster_bit_count,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
upsets,1,10000,10000,80,20,60,300,10,2,fixed,10000,68,1088,86,86,251,4,0,0,0,4506,1174,450,117,0
upsets,1,10000,10000,80,20,60,300,10,2,table,10000,60,960,85,85,235,4,13,0,0,3985,1045,398,104,0
upsets,1,10000,10000,80,20,60,300,10,2,threshold,10000,60,960,85,85,235,4,4,0,0,3985,1045,398,104,0
upsets,2,10000,10000,80,20,60,300,10,2,fixed,10000,68,1088,94,94,158,4,0,0,0,4514,1182,451,118,0
upsets,2,10000,10000,80,20,60,300,10,2,table,10000,60,960,82,82,207,6,13,0,0,3982,1042,398,104,0
upsets,2,10000,10000,80,20,60,300,10,2,threshold,10000,60,960,82,82,207,6,4,0,0,3982,1042,398,104,0
upsets,3,10000,10000,80,20,60,300,10,2,fixed,10000,68,1088,99,99,133,2,0,0,0,4519,1187,451,118,0
upsets,3,10000,10000,80,20,60,300,10,2,table,10000,60,960,95,95,164,3,13,0,0,3995,1055,399,105,0
upsets,3,10000,10000,80,20,60,300,10,2,threshold,10000,60,960,95,95,164,3,4,0,0,3995,1055,399,105,0
upsets,4,10000,10000,80,20,60,300,10,2,fixed,10000,68,1088,70,70,350,6,0,0,0,4490,1158,449,115,0
upsets,4,10000,10000,80,20,60,300,10,2,table,10000,60,960,75,75,263,6,13,0,0,3975,1035,397,103,0
upsets,4,10000,10000,80,20,60,300,10,2,threshold,10000,60,960,75,75,263,6,4,0,0,3975,1035,397,103,0
upsets,5,10000,10000,80,20,60,300,10,2,fixed,10000,68,1088,85,85,221,5,0,0,0,4505,1173,450,117,0
upsets,5,10000,10000,80,20,60,300,10,2,table,10000,60,960,81,81,143,4,13,0,0,3981,1041,398,104,0
upsets,5,10000,10000,80,20,60,300,10,2,threshold,10000,60,960,81,81,143,4,4,0,0,3981,1041,398,104,0
upsets,6,10000,10000,80,20,60,300,10,2,fixed,10000,68,1088,87,87,193,4,0,0,0,4507,1175,450,117,0
upsets,6,10000,10000,80,20,60,300,10,2,table,10000,60,960,88,88,184,5,13,0,0,3988,1048,398,104,0
upsets,6,10000,10000,80,20,60,300,10,2,threshold,10000,60,960,88,88,184,5,4,0,0,3988,1048,398,104,0
upsets,7,10000,10000,80,20,60,300,10,2,fixed,10000,68,1088,98,98,147,3,0,0,0,4518,1186,451,118,0
upsets,7,10000,10000,80,20,60,300,10,2,table,10000,60,960,92,92,164,4,13,0,0,3992,1052,399,105,0
upsets,7,10000,10000,80,20,60,300,10,2,threshold,10000,60,960,92,92,164,4,4,0,0,3992,1052,399,105,0
upsets,8,10000,10000,80,20,60,300,10,2,fixed,10000,68,1088,100,100,213,2,0,0,0,4520,1188,452,118,0
upsets,8,10000,10000,80,20,60,300,10,2,table,10000,60,960,96,96,246,5,13,0,0,3996,1056,399,105,0
upsets,8,10000,10000,80,20,60,300,10,2,threshold,10000,60,960,96,96,246,5,4,0,0,3996,1056,399,105,0
upsets,9,10000,10000,80,20,60,300,10,2,fixed,10000,68,1088,91,91,208,4,0,0,0,4511,1179,451,117,0
upsets,9,10000,10000,80,20,60,300,10,2,table,10000,60,960,92,92,180,4,13,0,0,3992,1052,399,105,0
upsets,9,10000,10000,80,20,60,300,10,2,threshold,10000,60,960,92,92,180,4,4,0,0,3992,1052,399,105,0
upsets,10,10000,10000,80,20,60,300,10,2,fixed,10000,68,1088,92,92,206,4,0,0,0,4512,1180,451,118,0
upsets,10,10000,10000,80,20,60,300,10,2,table,10000,60,960,84,84,188,5,13,0,0,3984,1044,398,104,0
upsets,10,10000,10000,80,20,60,300,10,2,threshold,10000,60,960,84,84,188,5,4,0,0,3984,1044,398,104,0
