00000000 0000000000
00000001 4000000007
FFFFFFFF 3F7FFFFFF4
AAAAAAAA 6AD5552AD2
55555555 55AAAAD526
12345678 44C68A67C9
87654321 616CA8B205
6AA79987 1AD4F3983C
BB91433A 2E72283359
029A7245 00534E2427
D1F6F86C 34BEDF0660
D340BBCD 34E817BCEE
CD8778E7 3330EF8E37
4C73A942 138E75149A
DAEA58BA 765D4B8B53
5E503A67 174A072637
EE897110 7BD12E9180
3193CA54 0C32792529
452EC40A 1125D8C0D3
90E5E945 641CBD9425
6FACAA50 5B7595A58B
29645F8B 0A2C8BF855
5F811CB9 5770234BC4
1FCFF454 47F9FE45A3
DFC9E3B1 77F93CBB05
6ED4E94B 5B5A9D94D6
42D6CB5C 50DAD9B5EA
8FE46024 63FC8C02A9
A091250E 681224507A
2CA1C789 4B9438F846
9C9CEA0C 67139D20E8
8D9FE5B9 23B3FC5B4F
2FD2B7A4 4BFA56FA22
5ADAD121 56DB5A9285
BCF74D7A 6F9EE9D75A
F543BBCF 3DA8773C74
BB9D58E4 6E73AB0EAA
175F0CD2 456BE1CD10
87F26AEE 617E4D2E70
FA882692 7ED104699B
BC428D42 6F88515411
6980A81F 5AB01581F5
95C5FB98 65B8BF3949
8101E89A 20A03D09D2
2AA4857E 0A5490D7F8
25ECE845 093D9D04AD
34A9AF41 4D9535F48C
B80E3B0D 2E01C7306C
13ED748B 04FDAEC8D4
30A1F6D5 0C143EEDAD
D64A3CE0 754947CE8A
57708107 15EE101037
527122DC 144E242D60
06057C82 01C0AFC812
7576714A 5D2ECE94DA
56EAA301 55DD543086
06E0F458 41DC1E45CA
F7ACEE22 7DF59D629A
82BDE024 20D7BC02A8
FA928906 7ED2511033
B0D26EE6 2C9A4DEE38
BE99854A 2FD33054D3
6A5CCC2C 1ACB9942EB
00E266D0 401C4C6D09
01B5577D 4036AA77EC
F0B37868 3C166F86C3
A9F559FC 6ABEAB1FEB
DEEA959E 77DD5259F8
29EF41D0 0A3DE89D09
C555663F 31AAACE37E
94820A06 259041A032
2DCAABD5 4BB9553DA5
495CFA4F 522B9F24FD
1978CEC0 462F196C89
A70CE1B5 29E19C9B2E
6A1ECCDA 1AC3D94D53
1B1BCF72 466379F713
E2B2848B 38D650485C
AE711399 2B4E22394D
93FD7234 647FAE23A9
2E80DBD5 4BD01B3DAF
BC90A6EC 2F92146EEA
600027E8 180004FE48
3B8D0E76 4EF1A1E739
F5CDB941 3DB9B7148D
860A7DA1 61414FDA0D
9893588C 26926B88E3
B59A5969 2D334B16C4
E9C329A8 3A38659A49
D3285151 34E50A1585
5473DA68 558E7BA641
CE9FB6A8 7353F66AC8
0A4DE3E4 02C9BC3EA8
3B788B66 0EEF113639
1EAB5CD8 47D56BCD40
DF8960AD 77F12C8A67
7FCD33D2 1FF9A6BD9B
3764B52E 0DEC965270
BCB8A084 6F971408A3
CD4944B6 332928CBB2
C18C6DA1 70318DDA04
8E1A11F0 63C3429F09
AB721AB0 2AEE432B81
2F927291 4BF24E2987
41FAD296 10BF5A29BA
96AF0DEA 25D5E15E51
6F055718 5B60AA71C1
84AB5616 21156AE138
EA80DB06 3A501B3039
F56AE7EA 3DAD5C7E53
213F191F 48A7E391F7
0AA25068 42D44A06C8
FAD2B6C5 7EDA566C26
2A04F77A 4A409E775B
4D23BED5 13A4776DAD
FBB91133 3EF722139E
DD533730 37AA66F308
D50B612B 75216C125E
026530CD 004CA68C66
26784184 094F0818A9
F70AE8C0 7DE15D0C8A
3AA725CB 0ED4E4DC56
5987BAF1 56B0F7AF06
8A04F74F 22409E7477
578B2426 15F164C23A
282FE557 4A05FC55BF
62D1C049 185A3884CD
52E1FBB0 145C3F3B80
03499F84 0069337822
0CA02F4D 0314057466
0F967BCC 4372CF3CE3
B6307BAD 2D460FBAED
71F2F9C4 1CBE5F9C2A
141CB03E 45039603F2
635A8CE2 186B514E93
FE9E6246 7F53CC24B0
CC905983 73120B981F
EBAA7701 3A754EF00E
2DF2B7C8 0BBE56FC4A
C9F0B072 32BE16071A
02FF5F56 405FEB7539
C5BC647A 31B78C4753
B65B9045 2D4B7204A4
5E2503DD 1744A03D64
372139F3 4DE4279F1D
ADBFB00E 6B37F68073
8334BB82 60E697B811
C2E1DAC4 705C3BACA9
1F1AF1FA 07E35E9FDA
7B142708 5E6284F0C3
9F318042 6766300493
0FC01B11 0378033185
03898F4E 007131F478
A0485922 28090B9212
7DE6002D 5FBCC00266
53650FC7 546CA1FC3C
C5A0FF6D 71B41F766C
9C2ECC16 6705D9C1BA
F74FD9EC 7DE9FB9EE3
6BBB69F5 5AF76D9FAC
EC2FC96A 3B85F91651
F3D90EBD 3C7B216BEC
8CC05570 23980A5780
339BB47E 0C737647FA
5D41EB25 17283DB2AE
C4D3C54C 319A78D461
A9B04E95 2AB609692E
B2D4F32A 6CDA9EB25A
1E8FCB74 07D1F9B7AB
8E7AE9AF 63CF5D1A7E
26501578 094A025743
147DE9B0 050FBD1B81
7EB14F84 1FD629F82B
2A3A4667 0A47486636
E47B342B 790F66425E
F79FCAA0 3DF3F9AA83
55E6FA5A 55BCDFA553
3B0B6398 4EE16CB9C2
34085693 4D810AE997
29DDF4C7 0A3BBECCBC
29AA57A5 4A354AFAA5
49CDBEC7 5239B76CBC
266FDF5C 494DFBF560
8980BB2C 62301732E2
17314875 45662987AC
85056138 2120AC93C1
B21AB98F 2CC35718F5
00DA5A80 001B4B2800
2583BF90 0930777983
00D0BAC4 401A17AC21
A85DFFCA 6A8BBF7CD1
7EFE369A 1FDFC669DB
